# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.16
metadata : {}


# id : NWRW1800000033.16.1.1
작년 SK 영업이익 36% ‘껑충’… 증가율 1위

작년	작년/NNG
SK	SK/SL
영업이익	영업/NNG+이익/NNG
36%	36/SN+%/SW
‘껑충’…	‘/SS+껑충/MAG+’/SS+…/SE
증가율	증가/NNG+율/XSN
1위	1/SN+위/NNB


# id : NWRW1800000033.16.2.1
10대그룹 중 4곳만 늘어

10대그룹	10/SN+대/NNG+그룹/NNG
중	중/NNB
4곳만	4/SN+곳/NNG+만/JX
늘어	늘/VV+어/EF


# id : NWRW1800000033.16.3.1
한진, 유럽위기에 ―98%

한진,	한진/NNP+,/SP
유럽위기에	유럽/NNP+위기/NNG+에/JKB
―98%	―/SS+98/SN+%/SW


# id : NWRW1800000033.16.4.1
지난해 10대 그룹 가운데 영업이익이 가장 크게 증가한 곳은 SK그룹이었다.

지난해	지난해/NNG
10대	10/SN+대/NNG
그룹	그룹/NNG
가운데	가운데/NNG
영업이익이	영업/NNG+이익/NNG+이/JKS
가장	가장/MAG
크게	크/VA+게/EC
증가한	증가/NNG+하/XSV+ㄴ/ETM
곳은	곳/NNG+은/JX
SK그룹이었다.	SK그룹/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.16.4.2
영업이익이 늘어난 곳은 10대 그룹 중 4곳에 불과했고 한진그룹은 유럽 재정위기의 충격으로 최악의 성적표를 기록했다.

영업이익이	영업/NNG+이익/NNG+이/JKS
늘어난	늘어나/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
10대	10/SN+대/NNG
그룹	그룹/NNG
중	중/NNB
4곳에	4/SN+곳/NNG+에/JKB
불과했고	불과/MAG+하/XSA+았/EP+고/EC
한진그룹은	한진그룹/NNP+은/JX
유럽	유럽/NNP
재정위기의	재정/NNG+위기/NNG+의/JKG
충격으로	충격/NNG+으로/JKB
최악의	최악/NNG+의/JKG
성적표를	성적표/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.16.5.1
12일 한국거래소가 분석한 10대 그룹 상장사의 지난해 실적(K-IFRS 연결기준)을 살펴보면 SK그룹은 전년도보다 영업이익이 36.0% 급증해 10대 그룹 중 영업이익 증가율 1위를 기록했다.

12일	12/SN+일/NNB
한국거래소가	한국거래소/NNP+가/JKS
분석한	분석/NNG+하/XSV+ㄴ/ETM
10대	10/SN+대/NNG
그룹	그룹/NNG
상장사의	상장사/NNG+의/JKG
지난해	지난해/NNG
실적(K-IFRS	실적/NNG+(/SS+K/SL+-/SO+IFRS/SL
연결기준)을	연결/NNG+기준/NNG+)/SS+을/JKO
살펴보면	살펴보/VV+면/EC
SK그룹은	SK그룹/NNP+은/JX
전년도보다	전년도/NNG+보다/JKB
영업이익이	영업/NNG+이익/NNG+이/JKS
36.0%	36/SN+./SP+0/SN+%/SW
급증해	급증/NNG+하/XSV+아/EC
중	중/NNB
영업이익	영업/NNG+이익/NNG
증가율	증가/NNG+율/XSN
1위를	1/SN+위/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.16.6.1
