# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.342
metadata : {}


# id : NWRW1800000030.342.1.1
나눔의 메시지… 정치참여 선언보다 더 극적 효과 •안철수 원장 주식 절반 기부 - 야권의 쏟아지는 통합신당 참여 압박에 '기부정치'로 대답

나눔의	나누/VV+ㅁ/ETN+의/JKG
메시지…	메시지/NNG+…/SE
정치참여	정치/NNG+참여/NNG
선언보다	선언/NNG+보다/JKB
더	더/MAG
극적	극/NNG+적/XSN
효과	효과/NNG
•안철수	•/SW+안철수/NNP
원장	원장/NNG
주식	주식/NNG
절반	절반/NNG
기부	기부/NNG
-	-/SO
야권의	야권/NNG+의/JKG
쏟아지는	쏟아지/VV+는/ETM
통합신당	통합신당/NNP
참여	참여/NNG
압박에	압박/NNG+에/JKB
'기부정치'로	'/SS+기부/NNG+정치/NNG+'/SS+로/JKB
대답	대답/NNG


# id : NWRW1800000030.342.2.1
안철수 서울대 융합과학기술대학원장이 자신의 안철수연구소 지분 절반을 사회에 돌려주는 방식을 빌려 본격적인 정치권 진입 절차를 밟기 시작했다.

안철수	안철수/NNP
서울대	서울대/NNP
융합과학기술대학원장이	융합/NNG+과학/NNG+기술/NNG+대학원장/NNG+이/JKS
자신의	자신/NNG+의/JKG
안철수연구소	안철수연구소/NNP
지분	지분/NNG
절반을	절반/NNG+을/JKO
사회에	사회/NNG+에/JKB
돌려주는	돌려주/VV+는/ETM
방식을	방식/NNG+을/JKO
빌려	빌리/VV+어/EC
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
정치권	정치/NNG+권/XSN
진입	진입/NNG
절차를	절차/NNG+를/JKO
밟기	밟/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.342.2.2
그는 정치권의 잇단 '정치참여' 요구에 대해 '공헌과 나눔'이라는 고도의 정치적 메시지로 답했다.

그는	그/NP+는/JX
정치권의	정치/NNG+권/XSN+의/JKG
잇단	잇달/VV+ㄴ/ETM
'정치참여'	'/SS+정치/NNG+참여/NNG+'/SS
요구에	요구/NNG+에/JKB
대해	대하/VV+아/EC
'공헌과	'/SS+공헌/NNG+과/JC
나눔'이라는	나누/VV+ㅁ/ETN+'/SS+이/VCP+라는/ETM
고도의	고도/NNG+의/JKG
정치적	정치/NNG+적/XSN
메시지로	메시지/NNG+로/JKB
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.342.2.3
이는 직접적인 정치 참여 선언보다 훨씬 더 극적인 효과가 있다는 평가를 받고 있다.

이는	이/NP+는/JX
직접적인	직접/NNG+적/XSN+이/VCP+ㄴ/ETM
정치	정치/NNG
참여	참여/NNG
선언보다	선언/NNG+보다/JKB
훨씬	훨씬/MAG
더	더/MAG
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
효과가	효과/NNG+가/JKS
있다는	있/VA+다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.342.3.1
◇출사표 같은 안철수 서신

◇출사표	◇/SW+출사표/NNG
같은	같/VA+은/ETM
안철수	안철수/NNP
서신	서신/NNG


# id : NWRW1800000030.342.4.1
안 원장이 안철수연구소 직원들에게 보낸 이메일은 자신의 재산 사회 환원 결심 이유를 설명하는 내용이다.

안	안/NNP
원장이	원장/NNG+이/JKS
안철수연구소	안철수연구소/NNP
직원들에게	직원/NNG+들/XSN+에게/JKB
보낸	보내/VV+ㄴ/ETM
이메일은	이메일/NNG+은/JX
자신의	자신/NNG+의/JKG
재산	재산/NNG
사회	사회/NNG
환원	환원/NNG
결심	결심/NNG
이유를	이유/NNG+를/JKO
설명하는	설명/NNG+하/XSV+는/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.342.4.2
그러나 안 원장의 정치적 소신을 밝힌 '출사표' 같다는 인상도 줬다.

그러나	그러나/MAJ
안	안/NNP
원장의	원장/NNG+의/JKG
정치적	정치/NNG+적/XSN
소신을	소신/NNG+을/JKO
밝힌	밝히/VV+ㄴ/ETM
'출사표'	'/SS+출사표/NNG+'/SS
같다는	같/VA+다는/ETM
인상도	인상/NNG+도/JX
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.342.5.1
