# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.34
metadata : {}


# id : NWRW1800000045.34.1.1
[Money&life]年 6∼7%대 수익 기대… 분산투자로 주식보다 안정적

[Money&life]年	[/SS+Money/SL+&/SW+life/SL+]/SS+年/SH
6∼7%대	6/SN+∼/SO+7/SN+%/SW+대/XSN
수익	수익/NNG
기대…	기대/NNG+…/SE
분산투자로	분산/NNG+투자/NNG+로/JKB
주식보다	주식/NNG+보다/JKB
안정적	안정/NNG+적/XSN


# id : NWRW1800000045.34.2.1
KDB대우증권

KDB대우증권	KDB대우증권/NNP


# id : NWRW1800000045.34.3.1
미국의 연내 금리 인상 가능성으로 금융시장의 불안감이 높아진 가운데 KDB대우증권은 글로벌 자산 배분 포트폴리오 투자 상품인 ‘글로벌 두루두루 랩’을 유망 상품으로 추천했다.

미국의	미국/NNP+의/JKG
연내	연내/NNG
금리	금리/NNG
인상	인상/NNG
가능성으로	가능/NNG+성/XSN+으로/JKB
금융시장의	금융/NNG+시장/NNG+의/JKG
불안감이	불안감/NNG+이/JKS
높아진	높아지/VV+ㄴ/ETM
가운데	가운데/NNG
KDB대우증권은	KDB대우증권/NNP+은/JX
글로벌	글로벌/NNG
자산	자산/NNG
배분	배분/NNG
포트폴리오	포트폴리오/NNG
투자	투자/NNG
상품인	상품/NNG+이/VCP+ㄴ/ETM
‘글로벌	‘/SS+글로벌/NNG
두루두루	두루두루/MAG
랩’을	랩/NNG+’/SS+을/JKO
유망	유망/NNG
상품으로	상품/NNG+으로/JKB
추천했다.	추천/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.34.4.1
이 상품은 올해 4월 대우증권의 핵심 역량을 집중해 만든 투자 상품이다.

이	이/MMD
상품은	상품/NNG+은/JX
올해	올해/NNG
4월	4/SN+월/NNB
대우증권의	대우증권/NNP+의/JKG
핵심	핵심/NNG
역량을	역량/NNG+을/JKO
집중해	집중/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
투자	투자/NNG
상품이다.	상품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.34.4.2
세계의 다양한 자산에 분산 투자해 국내·해외 주식 투자보다 안정적이고 국내·해외 채권 투자보다는 높은 수익을 추구하도록 설계됐다.

세계의	세계/NNG+의/JKG
다양한	다양/NNG+하/XSA+ㄴ/ETM
자산에	자산/NNG+에/JKB
분산	분산/NNG
투자해	투자/NNG+하/XSV+아/EC
국내·해외	국내/NNG+·/SP+해외/NNG
주식	주식/NNG
투자보다	투자/NNG+보다/JKB
안정적이고	안정/NNG+적/XSN+이/VCP+고/EC
채권	채권/NNG
투자보다는	투자/NNG+보다/JKB+는/JX
높은	높/VA+은/ETM
수익을	수익/NNG+을/JKO
추구하도록	추구/NNG+하/XSV+도록/EC
설계됐다.	설계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.34.5.1
주식과 대안 자산의 편입 비중에 따라 안정형, 중립형, 수익형 등 3개 유형으로 나뉜다.

주식과	주식/NNG+과/JC
대안	대안/NNG
자산의	자산/NNG+의/JKG
편입	편입/NNG
비중에	비중/NNG+에/JKB
따라	따르/VV+아/EC
안정형,	안정/NNG+형/XSN+,/SP
중립형,	중립/NNG+형/XSN+,/SP
수익형	수익/NNG+형/XSN
등	등/NNB
3개	3/SN+개/NNB
유형으로	유형/NNG+으로/JKB
나뉜다.	나뉘/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.34.5.2
대우증권 관계자는 “연 6∼7%대 수익을 기대하는 고객이나 국내외 증시의 높은 변동성이 부담스러워 안정적인 투자처를 원하는 고객에게 알맞은 ‘중위험·중수익’ 상품”이라고 설명했다.

대우증권	대우증권/NNP
관계자는	관계자/NNG+는/JX
“연	“/SS+연/NNG
6∼7%대	6/SN+∼/SO+7/SN+%/SW+대/XSN
수익을	수익/NNG+을/JKO
기대하는	기대/NNG+하/XSV+는/ETM
고객이나	고객/NNG+이나/JC
국내외	국내외/NNG
증시의	증시/NNG+의/JKG
높은	높/VA+은/ETM
변동성이	변동/NNG+성/XSN+이/JKS
부담스러워	부담/NNG+스럽/XSA+어/EC
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
투자처를	투자처/NNG+를/JKO
원하는	원/NNG+하/XSV+는/ETM
고객에게	고객/NNG+에게/JKB
알맞은	알맞/VA+은/ETM
‘중위험·중수익’	‘/SS+중위험/NNG+·/SP+중수익/NNG+’/SS
상품”이라고	상품/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.34.6.1
이 상품은 대우증권의 리서치센터를 비롯해 운용, 상품개발, 상품전략, 위험관리 등의 각 부서가 3개월마다 정기적인 회의를 열어 통일된 의견을 도출한 뒤 운용하는 게 특징이다.

이	이/MMD
상품은	상품/NNG+은/JX
대우증권의	대우증권/NNP+의/JKG
리서치센터를	리서치/NNG+센터/NNG+를/JKO
비롯해	비롯하/VV+아/EC
운용,	운용/NNG+,/SP
상품개발,	상품/NNG+개발/NNG+,/SP
상품전략,	상품/NNG+전략/NNG+,/SP
위험관리	위험/NNG+관리/NNG
등의	등/NNB+의/JKG
각	각/MMD
부서가	부서/NNG+가/JKS
3개월마다	3/SN+개월/NNB+마다/JX
정기적인	정기/NNG+적/XSN+이/VCP+ㄴ/ETM
회의를	회의/NNG+를/JKO
열어	열/VV+어/EC
통일된	통일/NNG+되/XSV+ㄴ/ETM
의견을	의견/NNG+을/JKO
도출한	도출/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
운용하는	운용/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.34.6.2
3개월마다 기회가 보이는 자산의 투자 비중은 늘리고 위험이 감지되는 자산의 비중은 줄여 주는 과정을 반복하는 식이다.

3개월마다	3/SN+개월/NNB+마다/JX
기회가	기회/NNG+가/JKS
보이는	보이/VV+는/ETM
자산의	자산/NNG+의/JKG
투자	투자/NNG
비중은	비중/NNG+은/JX
늘리고	늘리/VV+고/EC
위험이	위험/NNG+이/JKS
감지되는	감지/NNG+되/XSV+는/ETM
줄여	줄이/VV+어/EC
주는	주/VX+는/ETM
과정을	과정/NNG+을/JKO
반복하는	반복/NNG+하/XSV+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.34.6.3
회사 관계자는 “이 상품에 투자하면 고객이 투자 상품을 골라 직접 매수해야 하는 번거로움을 덜 수 있다”고 강조했다.

회사	회사/NNG
관계자는	관계자/NNG+는/JX
“이	“/SS+이/MMD
상품에	상품/NNG+에/JKB
투자하면	투자/NNG+하/XSV+면/EC
고객이	고객/NNG+이/JKS
투자	투자/NNG
상품을	상품/NNG+을/JKO
골라	고르/VV+아/EC
직접	직접/MAG
매수해야	매수/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
번거로움을	번거로움/NNG+을/JKO
덜	덜/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.34.7.1
대우증권은 최근 부서 간 의견 조율을 통해 주식, 채권, 대안 자산의 투자 비중을 42 대 38 대 20으로 결정했다.

대우증권은	대우증권/NNP+은/JX
최근	최근/MAG
부서	부서/NNG
간	간/NNB
의견	의견/NNG
조율을	조율/NNG+을/JKO
통해	통하/VV+아/EC
주식,	주식/NNG+,/SP
채권,	채권/NNG+,/SP
대안	대안/NNG
자산의	자산/NNG+의/JKG
투자	투자/NNG
비중을	비중/NNG+을/JKO
42	42/SN
대	대/NNB
38	38/SN
20으로	20/SN+으로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.34.7.2
주식이 투자 매력이 가장 높은 글로벌 자산으로 꼽혔다.

주식이	주식/NNG+이/JKS
투자	투자/NNG
매력이	매력/NNG+이/JKS
가장	가장/MAG
높은	높/VA+은/ETM
글로벌	글로벌/NNG
자산으로	자산/NNG+으로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.34.7.3
주식 중에서도 선진국 주식이 한국 등 신흥국 시장보다 우선순위가 높은 것으로 추천됐다.

주식	주식/NNG
중에서도	중/NNB+에서/JKB+도/JX
선진국	선진국/NNG
주식이	주식/NNG+이/JKS
한국	한국/NNP
등	등/NNB
신흥국	신흥국/NNG
시장보다	시장/NNG+보다/JKB
우선순위가	우선순위/NNG+가/JKS
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
추천됐다.	추천/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.34.7.4
채권은 국내 채권이 선진국이나 다른 신흥국보다 투자 매력이 높은 것으로 전망됐다.

채권은	채권/NNG+은/JX
국내	국내/NNG
채권이	채권/NNG+이/JKS
선진국이나	선진국/NNG+이나/JC
다른	다른/MMD
신흥국보다	신흥국/NNG+보다/JKB
투자	투자/NNG
매력이	매력/NNG+이/JKS
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
전망됐다.	전망/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.34.7.5
대안 자산 중에서는 에너지 분야가 최우선 순위로 꼽혔다.

대안	대안/NNG
자산	자산/NNG
중에서는	중/NNB+에서/JKB+는/JX
에너지	에너지/NNG
분야가	분야/NNG+가/JKS
최우선	최/XPN+우선/NNG
순위로	순위/NNG+로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.34.8.1
김성호 대우증권 상품개발운용본부장은 “글로벌 자산 배분 상품도 시장 상황에 따라 손실이 날 수 있지만 과거 성과를 보면 하락장에서 방어 능력이 뛰어나고 회복 속도가 빨라 손실을 만회하는 데 오래 걸리지 않았다”고 설명했다.

김성호	김성호/NNP
대우증권	대우증권/NNP
상품개발운용본부장은	상품/NNG+개발/NNG+운용/NNG+본부장/NNG+은/JX
“글로벌	“/SS+글로벌/NNG
자산	자산/NNG
배분	배분/NNG
상품도	상품/NNG+도/JX
시장	시장/NNG
상황에	상황/NNG+에/JKB
따라	따르/VV+아/EC
손실이	손실/NNG+이/JKS
날	나/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
과거	과거/NNG
성과를	성과/NNG+를/JKO
보면	보/VV+면/EC
하락장에서	하락장/NNG+에서/JKB
방어	방어/NNG
능력이	능력/NNG+이/JKS
뛰어나고	뛰어나/VA+고/EC
회복	회복/NNG
속도가	속도/NNG+가/JKS
빨라	빠르/VA+아/EC
손실을	손실/NNG+을/JKO
만회하는	만회/NNG+하/XSV+는/ETM
데	데/NNB
오래	오래/MAG
걸리지	걸리/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.34.8.2
그는 “글로벌 두루두루 랩은 투자 자산이 안정적으로 잘 분산돼 있고 시장 상황에 따라 능동적으로 대응하기 때문에 일부 투자 지역이나 자산의 위험이 커져도 전체 자산 가치를 안정적으로 방어할 수 있다”고 덧붙였다.

그는	그/NP+는/JX
“글로벌	“/SS+글로벌/NNG
두루두루	두루두루/MAG
랩은	랩/NNG+은/JX
투자	투자/NNG
자산이	자산/NNG+이/JKS
안정적으로	안정/NNG+적/XSN+으로/JKB
잘	잘/MAG
분산돼	분산/NNG+되/XSV+어/EC
있고	있/VX+고/EC
시장	시장/NNG
상황에	상황/NNG+에/JKB
따라	따르/VV+아/EC
능동적으로	능동/NNG+적/XSN+으로/JKB
대응하기	대응/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
일부	일부/NNG
지역이나	지역/NNG+이나/JC
자산의	자산/NNG+의/JKG
위험이	위험/NNG+이/JKS
커져도	커지/VV+어도/EC
전체	전체/NNG
자산	자산/NNG
가치를	가치/NNG+를/JKO
방어할	방어/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.34.9.1
KDB자산운용의 ‘글로벌 두루두루 펀드’도 이 랩 상품과 같은 포트폴리오로 운용된다.

KDB자산운용의	KDB자산운용/NNP+의/JKG
‘글로벌	‘/SS+글로벌/NNG
두루두루	두루두루/MAG
펀드’도	펀드/NNG+’/SS+도/JX
이	이/MMD
랩	랩/NNG
상품과	상품/NNG+과/JKB
같은	같/VA+은/ETM
포트폴리오로	포트폴리오/NNG+로/JKB
운용된다.	운용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.34.9.2
일반 펀드는 물론이고 연금저축펀드, 퇴직연금펀드 등으로도 가입할 수 있다.

일반	일반/NNG
펀드는	펀드/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
연금저축펀드,	연금/NNG+저축/NNG+펀드/NNG+,/SP
퇴직연금펀드	퇴직/NNG+연금/NNG+펀드/NNG
