# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.397
metadata : {}


# id : NWRW1800000030.397.1.1
[호남] 전남도 "2014년 귀농 1만가구 유치"

[호남]	[/SS+호남/NNP+]/SS
전남도	전남도/NNP
"2014년	"/SS+2014/SN+년/NNB
귀농	귀농/NNG
1만가구	1/SN+만/NR+가구/NNG
유치"	유치/NNG+"/SS


# id : NWRW1800000030.397.2.1
•지난해 귀농인 전국 두 번째… 조례·책자발간·지원센터건립

•지난해	•/SW+지난해/NNG
귀농인	귀농인/NNG
전국	전국/NNG
두	두/MMN
번째…	번/NNB+째/XSN+…/SE
조례·책자발간·지원센터건립	조례/NNG+·/SP+책자/NNG+발간/NNG+·/SP+지원/NNG+센터/NNG+건립/NNG


# id : NWRW1800000030.397.3.1
2004년 전남 나주시 반남면 덕산리로 귀농한 나근수(46)·박은순(47)씨 부부는 "행복하다"고 했다.

2004년	2004/SN+년/NNB
전남	전남/NNP
나주시	나주시/NNP
반남면	반남면/NNP
덕산리로	덕산리/NNP+로/JKB
귀농한	귀농/NNG+하/XSV+ㄴ/ETM
나근수(46)·박은순(47)씨	나근수/NNP+(/SS+46/SN+)/SS+·/SP+박은순/NNP+(/SS+47/SN+)/SS+씨/NNB
부부는	부부/NNG+는/JX
"행복하다"고	"/SS+행복/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.397.3.2
귀농 전 광주에서 줄곧 건강식품점을 운영할 때는 도심 생활이 답답했다고 한다.

귀농	귀농/NNG
전	전/NNG
광주에서	광주/NNP+에서/JKB
줄곧	줄곧/MAG
건강식품점을	건강식품점/NNG+을/JKO
운영할	운영/NNG+하/XSV+ㄹ/ETM
때는	때/NNG+는/JX
도심	도심/NNG
생활이	생활/NNG+이/JKS
답답했다고	답답하/VA+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.397.3.3
귀농 후 '인생'이 바뀌었다고 한다.

귀농	귀농/NNG
후	후/NNG
'인생'이	'/SS+인생/NNG+'/SS+이/JKS
바뀌었다고	바뀌/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.397.3.4
친환경 재료를 '생산'하고 '가공'해 '판매'하기 위해 나주에서 친환경 농법으로 쌀·밀·콩·고추·감자 등을 직접 재배하기 시작했다.

친환경	친/XPN+환경/NNG
재료를	재료/NNG+를/JKO
'생산'하고	'/SS+생산/NNG+'/SS+하/XSV+고/EC
