# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.175
metadata : {}


# id : NWRW1800000033.175.1.1
[휴지통]“개그가 아닙니다” 개그맨 전유성-도의원 막말 싸움

[휴지통]“개그가	[/SS+휴지통/NNG+]/SS+“/SS+개그/NNG+가/JKC
아닙니다”	아니/VCN+ㅂ니다/EF+”/SS
개그맨	개그맨/NNG
전유성-도의원	전유성/NNP+-/SO+도/NNG+의원/NNG
막말	막말/NNG
싸움	싸움/NNG


# id : NWRW1800000033.175.2.1
‘개나소나콘서트’ 예산삭감에 “이런 건방진…” “네가 잘났냐”

‘개나소나콘서트’	‘/SS+개/NNG+나/JX+소/NNG+나/JX+콘서트/NNG+’/SS
예산삭감에	예산/NNG+삭감/NNG+에/JKB
“이런	“/SS+이런/MMD
건방진…”	건방지/VA+ㄴ/ETM+…/SE+”/SS
“네가	“/SS+네/NP+가/JKS
잘났냐”	잘나/VV+았/EP+냐/EF+”/SS


# id : NWRW1800000033.175.3.1
18일 오후 1시경 경북 청도군 화양읍 청도소싸움축제 행사장 입구.

18일	18/SN+일/NNB
오후	오후/NNG
1시경	1/SN+시/NNB+경/XSN
경북	경북/NNP
청도군	청도군/NNP
화양읍	화양읍/NNP
청도소싸움축제	청도/NNP+소싸움/NNG+축제/NNG
행사장	행사장/NNG
입구.	입구/NNG+./SF


# id : NWRW1800000033.175.3.2
개그맨 전유성 씨(63)와 경북도의회 박권현 의원(55)이 딱 마주쳤다.

개그맨	개그맨/NNG
전유성	전유성/NNP
씨(63)와	씨/NNB+(/SS+63/SN+)/SS+와/JC
경북도의회	경북도의회/NNP
박권현	박권현/NNP
의원(55)이	의원/NNG+(/SS+55/SN+)/SS+이/JKS
딱	딱/MAG
마주쳤다.	마주치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.175.3.3
악수나 인사를 해야 할 상황이지만 두 사람은 보자마자 서로 헐뜯는 말싸움을 시작했다.

악수나	악수/NNG+나/JC
인사를	인사/NNG+를/JKO
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
상황이지만	상황/NNG+이/VCP+지만/EC
두	두/MMN
사람은	사람/NNG+은/JX
