# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.368
metadata : {}


# id : NWRW1800000046.368.1.1
親朴·非朴 이해관계 얽혀 與도 사무총장 인선 난항

親朴·非朴	親朴/SH+·/SP+非朴/SH
이해관계	이해관계/NNG
얽혀	얽히/VV+어/EC
與도	與/SH+도/JX
사무총장	사무총장/NNG
인선	인선/NNG
난항	난항/NNG


# id : NWRW1800000046.368.2.1
한선교·신상진·정두언 거론

한선교·신상진·정두언	한선교/NNP+·/SP+신상진/NNP+·/SP+정두언/NNP
거론	거론/NNG


# id : NWRW1800000046.368.3.1
새정치민주연합이 당 사무총장 인선을 놓고 파열음을 내고 있는 가운데 새누리당도 사무총장 인선에 난항을 겪고 있다.

새정치민주연합이	새정치민주연합/NNP+이/JKS
당	당/NNG
사무총장	사무총장/NNG
인선을	인선/NNG+을/JKO
놓고	놓/VV+고/EC
파열음을	파열음/NNG+을/JKO
내고	내/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
새누리당도	새누리당/NNP+도/JX
인선에	인선/NNG+에/JKB
난항을	난항/NNG+을/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.368.3.2
사무총장은 내년 총선을 대비한 공천 업무에 직접 관여하는 자리다.

사무총장은	사무총장/NNG+은/JX
내년	내년/NNG
총선을	총선/NNG+을/JKO
대비한	대비/NNG+하/XSV+ㄴ/ETM
공천	공천/NNG
업무에	업무/NNG+에/JKB
직접	직접/MAG
관여하는	관여/NNG+하/XSV+는/ETM
자리다.	자리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.368.4.1
김무성 대표는 새누리당 당세(黨勢)가 상대적으로 약한 수도권 선거를 대비해 비(非)영남권 출신 3선 의원을 찾아왔던 것으로 알려졌다.

김무성	김무성/NNP
대표는	대표/NNG+는/JX
새누리당	새누리당/NNP
당세(黨勢)가	당세/NNG+(/SS+黨勢/SH+)/SS+가/JKS
상대적으로	상대/NNG+적/XSN+으로/JKB
약한	약하/VA+ㄴ/ETM
수도권	수도/NNG+권/XSN
선거를	선거/NNG+를/JKO
대비해	대비/NNG+하/XSV+아/EC
비(非)영남권	비/XPN+(/SS+非/SH+)/SS+영남/NNP+권/XSN
출신	출신/NNG
3선	3/SN+선/NNB
의원을	의원/NNG+을/JKO
찾아왔던	찾아오/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.368.4.2
이 때문에 신상진(경기 성남중원)·진영(서울 용산)·정두언(서울 서대문을)·한선교(경기 용인병)·황진하(경기 파주을) 의원 등이 주로 거론됐다.

이	이/NP
때문에	때문/NNB+에/JKB
신상진(경기	신상진/NNP+(/SS+경기/NNP
성남중원)·진영(서울	성남/NNP+중원/NNP+)/SS+·/SP+진영/NNP+(/SS+서울/NNP
용산)·정두언(서울	용산/NNP+)/SS+·/SP+정두언/NNP+(/SS+서울/NNP
서대문을)·한선교(경기	서대문을/NNP+)/SS+·/SP+한선교/NNP+(/SS+경기/NNP
용인병)·황진하(경기	용인병/NNP+)/SS+·/SP+황진하/NNP+(/SS+경기/NNP
파주을)	파주을/NNP+)/SS
의원	의원/NNG
등이	등/NNB+이/JKS
주로	주로/MAG
거론됐다.	거론/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.368.4.3
그러나 여당 역시 계파별 이해관계가 얽히고 있다.

그러나	그러나/MAJ
여당	여당/NNG
역시	역시/MAG
계파별	계파/NNG+별/XSN
이해관계가	이해관계/NNG+가/JKS
얽히고	얽히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.368.4.4
진영 의원은 2013년 보건복지부 장관을 그만둘 당시 청와대에 반기(反旗)를 들었던 것 때문에 청와대와 친박(親朴) 측 거부감이 강하다.

진영	진영/NNP
의원은	의원/NNG+은/JX
2013년	2013/SN+년/NNB
보건복지부	보건/NNG+복지부/NNG
장관을	장관/NNG+을/JKO
그만둘	그만두/VV+ㄹ/ETM
당시	당시/NNG
청와대에	청와대/NNP+에/JKB
반기(反旗)를	반기/NNG+(/SS+反旗/SH+)/SS+를/JKO
들었던	들/VV+었/EP+던/ETM
것	것/NNB
때문에	때문/NNB+에/JKB
청와대와	청와대/NNP+와/JC
친박(親朴)	친/XPN+박/NNP+(/SS+親朴/SH+)/SS
측	측/NNB
거부감이	거부감/NNG+이/JKS
강하다.	강하/VA+다/EF+./SF


# id : NWRW1800000046.368.4.5
정두언 의원 역시 비박(非朴) 색채가 강하다.

정두언	정두언/NNP
의원	의원/NNG
역시	역시/MAG
비박(非朴)	비/XPN+박/NNP+(/SS+非朴/SH+)/SS
색채가	색채/NNG+가/JKS
강하다.	강하/VA+다/EF+./SF


# id : NWRW1800000046.368.4.6
한선교 의원은 원조 친박이어서 비박계의 거부감이 강하다.

한선교	한선교/NNP
의원은	의원/NNG+은/JX
원조	원조/NNG
친박이어서	친/XPN+박/NNP+이/VCP+어서/EC
비박계의	비/XPN+박/NNP+계/XSN+의/JKG
거부감이	거부감/NNG+이/JKS
강하다.	강하/VA+다/EF+./SF


# id : NWRW1800000046.368.4.7
황진하 의원 역시 2007년 한나라당 대선 후보 경선 때부터 친박 진영에서 활동했다.

황진하	황진하/NNP
의원	의원/NNG
역시	역시/MAG
2007년	2007/SN+년/NNB
한나라당	한나라당/NNP
대선	대선/NNG
후보	후보/NNG
경선	경선/NNG
때부터	때/NNG+부터/JX
친박	친/XPN+박/NNP
진영에서	진영/NNG+에서/JKB
활동했다.	활동/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.368.4.8
신상진 의원은 3선이긴 하지만 지난 4월 재·보궐선거를 통해 국회에 들어온 지 얼마 되지 않았다는 점이 약점이다.

신상진	신상진/NNP
의원은	의원/NNG+은/JX
3선이긴	3/SN+선/NNB+이/VCP+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
재·보궐선거를	재/XPN+·/SP+보궐/NNG+선거/NNG+를/JKO
통해	통하/VV+아/EC
국회에	국회/NNG+에/JKB
들어온	들어오/VV+ㄴ/ETM
지	지/NNB
얼마	얼마/NNG
되지	되/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
점이	점/NNG+이/JKS
약점이다.	약점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.368.4.9
김 대표는 지난 17일 "당직은 명단 놓고 하면 두 시간이면 끝난다. 원칙만 세워놓으면 언제든지 할 수 있다"고 했었다.

김	김/NNP
대표는	대표/NNG+는/JX
지난	지나/VV+ㄴ/ETM
17일	17/SN+일/NNB
"당직은	"/SS+당직/NNG+은/JX
명단	명단/NNG
놓고	놓/VV+고/EC
하면	하/VV+면/EC
두	두/MMN
시간이면	시간/NNB+이/VCP+면/EC
끝난다.	끝나/VV+ㄴ다/EF+./SF
원칙만	원칙/NNG+만/JX
세워놓으면	세우/VV+어/EC+놓/VX+으면/EC
언제든지	언제/NP+든지/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000046.368.4.10
그러나 각 후보에 대해 다양한 반대 의견이 나오면서 여전히 고민을 계속하고 있는 것으로 알려졌다.

그러나	그러나/MAJ
각	각/MMD
후보에	후보/NNG+에/JKB
대해	대하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
반대	반대/NNG
의견이	의견/NNG+이/JKS
나오면서	나오/VV+면서/EC
여전히	여전히/MAG
고민을	고민/NNG+을/JKO
계속하고	계속/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.368.5.1
새누리당 핵심 관계자는 24일 "여러 의견이 엇갈리면서 영남 중진으로까지 범위를 넓혀서도 찾고 있지만 쉽지가 않다"며 "사무총장 인선이 이번 주를 넘길 것 같다"고 말했다.

새누리당	새누리당/NNP
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
24일	24/SN+일/NNB
"여러	"/SS+여러/MMN
의견이	의견/NNG+이/JKS
엇갈리면서	엇갈리/VV+면서/EC
영남	영남/NNP
중진으로까지	중진/NNG+으로/JKB+까지/JX
범위를	범위/NNG+를/JKO
넓혀서도	넓히/VV+어서/EC+도/JX
찾고	찾/VV+고/EC
있지만	있/VX+지만/EC
쉽지가	쉽/VA+지/EC+가/JX
않다"며	않/VX+다/EF+"/SS+며/EC
"사무총장	"/SS+사무총장/NNG
인선이	인선/NNG+이/JKS
이번	이번/NNG
주를	주/NNG+를/JKO
넘길	넘기/VV+ㄹ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


