# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.119
metadata : {}


# id : NWRW1800000049.119.1.1
[책의 향기]물리학자가 보는 세상은 어떤 모습일까

[책의	[/SS+책/NNG+의/JKG
향기]물리학자가	향기/NNG+]/SS+물리학자/NNG+가/JKS
보는	보/VV+는/ETM
세상은	세상/NNG+은/JX
어떤	어떤/MMD
모습일까	모습/NNG+이/VCP+ㄹ까/EF


# id : NWRW1800000049.119.2.1
◇김상욱의 과학공부/김상욱 지음/336쪽·1만6000원·동아시아

◇김상욱의	◇/SW+김상욱/NNP+의/JKG
과학공부/김상욱	과학/NNG+공부/NNG+//SP+김상욱/NNP
지음/336쪽·1만6000원·동아시아	짓/VV+음/ETN+//SP+336/SN+쪽/NNG+·/SP+1/SN+만/NR+6000/SN+원/NNB+·/SP+동아시아/NNP


# id : NWRW1800000049.119.3.1
“정규분포는 상위 10%가 있으면 하위 10%도 있다는 것을 이야기해준다.

“정규분포는	“/SS+정규/NNG+분포/NNG+는/JX
상위	상위/NNG
10%가	10/SN+%/SW+가/JKS
있으면	있/VA+으면/EC
하위	하위/NNG
10%도	10/SN+%/SW+도/JX
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
이야기해준다.	이야기/NNG+하/XSV+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.119.3.2
모든 것이 완벽히 효율적으로 돌아갈 수는 없다는 것이다.

모든	모든/MMN
것이	것/NNB+이/JKS
완벽히	완벽히/MAG
효율적으로	효율/NNG+적/XSN+으로/JKB
돌아갈	돌아가/VV+ㄹ/ETM
수는	수/NNB+는/JX
없다는	없/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.119.3.3
잉여인 것과 아닌 것을 나누려면 그 기준이 옳다는 전제가 있어야 한다.

잉여인	잉여/NNG+이/VCP+ㄴ/ETM
것과	것/NNB+과/JC
아닌	아니/VCN+ㄴ/ETM
것을	것/NNB+을/JKO
나누려면	나누/VV+려면/EC
그	그/MMD
기준이	기준/NNG+이/JKS
옳다는	옳/VA+다는/ETM
전제가	전제/NNG+가/JKS
있어야	있/VA+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.119.3.4
(…) 사실 잉여를 판단하는 ‘가치’라는 것도 대개 근거 없는 경우가 많다.”

(…)	(/SS+…/SE+)/SS
사실	사실/MAG
잉여를	잉여/NNG+를/JKO
판단하는	판단/NNG+하/XSV+는/ETM
‘가치’라는	‘/SS+가치/NNG+’/SS+이/VCP+라는/ETM
것도	것/NNB+도/JX
대개	대개/MAG
근거	근거/NNG
없는	없/VA+는/ETM
경우가	경우/NNG+가/JKS
많다.”	많/VA+다/EF+./SF+”/SS


# id : NWRW1800000049.119.4.1
물리학자가 보는 세상은 수식과 기호로 가득 차 있을까?

물리학자가	물리학자/NNG+가/JKS
보는	보/VV+는/ETM
세상은	세상/NNG+은/JX
수식과	수식/NNG+과/JC
기호로	기호/NNG+로/JKB
가득	가득/MAG
차	차/VV+아/EC
있을까?	있/VX+을까/EF+?/SF


# id : NWRW1800000049.119.4.2
양자물리학자이자 부산대 물리교육과 교수인 저자의 이 책은 그렇지만은 않다는 것을 보여준다.

양자물리학자이자	양자/NNG+물리학자/NNG+이/VCP+자/EC
부산대	부산대/NNP
물리교육과	물리/NNG+교육과/NNG
교수인	교수/NNG+이/VCP+ㄴ/ETM
저자의	저자/NNG+의/JKG
이	이/MMD
책은	책/NNG+은/JX
그렇지만은	그렇/VA+지/EC+만/JX+은/JX
않다는	않/VX+다는/ETM
것을	것/NNB+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.119.4.3
책은 KAIST와 포스텍, 독일 막스플랑크 복잡계연구소 연구원 등을 거친 저자가 일간지 등에 기고한 칼럼을 모았다.

책은	책/NNG+은/JX
KAIST와	KAIST/SL+와/JC
포스텍,	포스텍/NNP+,/SP
독일	독일/NNP
막스플랑크	막스플랑크/NNP
복잡계연구소	복잡계/NNG+연구소/NNG
연구원	연구원/NNG
등을	등/NNB+을/JKO
거친	거치/VV+ㄴ/ETM
저자가	저자/NNG+가/JKS
일간지	일간지/NNG
등에	등/NNB+에/JKB
기고한	기고/NNG+하/XSV+ㄴ/ETM
칼럼을	칼럼/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.119.5.1
과학자인 저자가 세상을 보는 기준은 ‘과학적 합리성’이다.

과학자인	과학자/NNG+이/VCP+ㄴ/ETM
저자가	저자/NNG+가/JKS
세상을	세상/NNG+을/JKO
보는	보/VV+는/ETM
기준은	기준/NNG+은/JX
‘과학적	‘/SS+과학/NNG+적/XSN
합리성’이다.	합리/NNG+성/XSN+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000049.119.5.2
저자는 일본 후쿠시마 원전 사고에 관해 ‘과학은 완벽하지 않다.

저자는	저자/NNG+는/JX
일본	일본/NNP
후쿠시마	후쿠시마/NNP
원전	원전/NNG
사고에	사고/NNG+에/JKB
관해	관하/VV+아/EC
‘과학은	‘/SS+과학/NNG+은/JX
완벽하지	완벽/NNG+하/XSA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.119.5.3
미래도 완벽하게 예측 가능한 것이 아니다’라는 합리적 인식의 부재를 지적한다.

미래도	미래/NNG+도/JX
완벽하게	완벽/NNG+하/XSA+게/EC
예측	예측/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
것이	것/NNB+이/JKC
아니다’라는	아니/VCN+다/EF+’/SS+이/VCP+라는/ETM
합리적	합리/NNG+적/XSN
인식의	인식/NNG+의/JKG
부재를	부재/NNG+를/JKO
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.119.5.4
안전장치가 달렸다고 실탄이 장전된 총을 어린이에게 맡긴 것과 비슷하다는 것이다.

안전장치가	안전장치/NNG+가/JKS
달렸다고	달리/VV+었/EP+다고/EC
실탄이	실탄/NNG+이/JKS
장전된	장전/NNG+되/XSV+ㄴ/ETM
총을	총/NNG+을/JKO
어린이에게	어린이/NNG+에게/JKB
맡긴	맡기/VV+ㄴ/ETM
것과	것/NNB+과/JKB
비슷하다는	비슷하/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.119.5.5
책은 과학적 합리성을 바탕으로 세월호 참사를 비롯한 사회 문제에 대한 의견을 드러내고 문학, 역사, 정치 등에 관해서도 물리학자의 시선을 보여준다.

책은	책/NNG+은/JX
과학적	과학/NNG+적/XSN
합리성을	합리/NNG+성/XSN+을/JKO
바탕으로	바탕/NNG+으로/JKB
세월호	세월호/NNP
참사를	참사/NNG+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
사회	사회/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
드러내고	드러내/VV+고/EC
문학,	문학/NNG+,/SP
역사,	역사/NNG+,/SP
정치	정치/NNG
등에	등/NNB+에/JKB
관해서도	관하/VV+아서/EC+도/JX
물리학자의	물리학자/NNG+의/JKG
시선을	시선/NNG+을/JKO
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.119.6.1
또 ‘미래는 결정돼 있고, 자유의지는 없나?’ ‘양자역학에서 관측이란 무슨 의미인가’ ‘중력파 검출은 어떻게 한 것일까’와 같은 주제를 여러 가지 비유로 쉽게 풀어낸다.

또	또/MAG
‘미래는	‘/SS+미래/NNG+는/JX
결정돼	결정/NNG+되/XSV+어/EC
있고,	있/VX+고/EC+,/SP
자유의지는	자유/NNG+의지/NNG+는/JX
없나?’	없/VA+나/EF+?/SF+’/SS
‘양자역학에서	‘/SS+양자/NNG+역학/NNG+에서/JKB
관측이란	관측/NNG+이란/JX
무슨	무슨/MMD
의미인가’	의미/NNG+이/VCP+ㄴ가/EF+’/SS
‘중력파	‘/SS+중력파/NNG
검출은	검출/NNG+은/JX
어떻게	어떻/VA+게/EC
한	하/VV+ㄴ/ETM
것일까’와	것/NNB+이/VCP+ㄹ까/EF+’/SS+와/JKB
같은	같/VA+은/ETM
주제를	주제/NNG+를/JKO
여러	여러/MMN
가지	가지/NNB
비유로	비유/NNG+로/JKB
쉽게	쉽/VA+게/EC
풀어낸다.	풀어내/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.119.6.2
전체 구성이 다소 산만한 느낌도 있으나 과학과 예술처럼 근본적으로 다른 것들의 소통을 시도한 책이다.

전체	전체/NNG
구성이	구성/NNG+이/JKS
다소	다소/MAG
산만한	산만하/VA+ㄴ/ETM
느낌도	느낌/NNG+도/JX
있으나	있/VA+으나/EC
과학과	과학/NNG+과/JC
예술처럼	예술/NNG+처럼/JKB
근본적으로	근본/NNG+적/XSN+으로/JKB
다른	다른/MMD
것들의	것/NNB+들/XSN+의/JKG
소통을	소통/NNG+을/JKO
시도한	시도/NNG+하/XSV+ㄴ/ETM
책이다.	책/NNG+이/VCP+다/EF+./SF


