# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.128
metadata : {}


# id : NWRW1800000053.128.1.1
빌보드 “BTS, 미국인이 생각하는 관객 참여 개념을 근본부터 뒤집어”

빌보드	빌보드/NNP
“BTS,	“/SS+BTS/SL+,/SP
미국인이	미국인/NNG+이/JKS
생각하는	생각/NNG+하/XSV+는/ETM
관객	관객/NNG
참여	참여/NNG
개념을	개념/NNG+을/JKO
근본부터	근본/NNG+부터/JX
뒤집어”	뒤집/VV+어/EF+”/SS


# id : NWRW1800000053.128.2.1
해외팬들의 열광적 반응 집중조명 “타이틀곡 ‘DNA’가 시작되자 멤버 이름 외치는 함성으로 가득… 한국 팬 문화까지 그대로 따라해”

해외팬들의	해외/NNG+팬/NNG+들/XSN+의/JKG
열광적	열광/NNG+적/XSN
반응	반응/NNG
집중조명	집중/NNG+조명/NNG
“타이틀곡	“/SS+타이틀곡/NNG
‘DNA’가	‘/SS+DNA/SL+’/SS+가/JKS
시작되자	시작/NNG+되/XSV+자/EC
멤버	멤버/NNG
이름	이름/NNG
외치는	외치/VV+는/ETM
함성으로	함성/NNG+으로/JKB
가득…	가득/MAG+…/SE
한국	한국/NNP
팬	팬/NNG
문화까지	문화/NNG+까지/JX
그대로	그대로/MAG
따라해”	따르/VV+아/EC+하/VV+아/EF+”/SS


# id : NWRW1800000053.128.3.1
“서양인들이 생각하는 적절한 관객 참여의 개념을 근본부터 뒤집었다.”

“서양인들이	“/SS+서양인/NNG+들/XSN+이/JKS
생각하는	생각/NNG+하/XSV+는/ETM
적절한	적절하/VA+ㄴ/ETM
관객	관객/NNG
참여의	참여/NNG+의/JKG
개념을	개념/NNG+을/JKO
근본부터	근본/NNG+부터/JX
뒤집었다.”	뒤집/VV+었/EP+다/EF+./SF+”/SS


# id : NWRW1800000053.128.4.1
19일(현지 시간) 미국 빌보드는 아미(ARMY·방탄소년단의 팬을 일컫는 말)의 독특한 응원 문화를 집중 조명했다.

19일(현지	19/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
미국	미국/NNP
빌보드는	빌보드/NNP+는/JX
아미(ARMY·방탄소년단의	아미/NNP+(/SS+ARMY/SL+·/SP+방탄소년단/NNP+의/JKG
팬을	팬/NNG+을/JKO
일컫는	일컫/VV+는/ETM
말)의	말/NNG+)/SS+의/JKG
독특한	독특/NNG+하/XSA+ㄴ/ETM
응원	응원/NNG
문화를	문화/NNG+를/JKO
집중	집중/NNG
조명했다.	조명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.128.4.2
빌보드는 “방탄의 ‘DNA’ 퍼포먼스도 놀라웠지만 관객석의 반응도 눈에 띄었다”며 이같이 평했다.

빌보드는	빌보드/NNP+는/JX
“방탄의	“/SS+방탄/NNP+의/JKG
‘DNA’	‘/SS+DNA/SL+’/SS
퍼포먼스도	퍼포먼스/NNG+도/JX
놀라웠지만	놀랍/VA+었/EP+지만/EC
관객석의	관객석/NNG+의/JKG
반응도	반응/NNG+도/JX
눈에	눈/NNG+에/JKB
띄었다”며	띄/VV+었/EP+다/EF+”/SS+며/EC
이같이	이/NP+같이/JKB
평했다.	평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.128.5.1
빌보드는 “방송을 통해서는 잘 들리지 않았겠지만 ‘DNA’가 시작하는 순간 마이크로소프트시어터는 방탄 멤버들의 이름을 외치는 팬들의 함성으로 가득 찼다”며 “이는 한국의 아이돌 팬들이 좋아하는 아티스트의 퍼포먼스를 응원하기 위해 다 함께 맞춰 부르는 ‘팬 찬트’”라고 자세히 설명했다.

빌보드는	빌보드/NNP+는/JX
“방송을	“/SS+방송/NNG+을/JKO
통해서는	통하/VV+아서/EC+는/JX
잘	잘/MAG
들리지	들리/VV+지/EC
않았겠지만	않/VX+았/EP+겠/EP+지만/EC
‘DNA’가	‘/SS+DNA/SL+’/SS+가/JKS
시작하는	시작/NNG+하/XSV+는/ETM
순간	순간/NNG
마이크로소프트시어터는	마이크로소프트시어터/NNP+는/JX
방탄	방탄/NNP
멤버들의	멤버/NNG+들/XSN+의/JKG
이름을	이름/NNG+을/JKO
외치는	외치/VV+는/ETM
팬들의	팬/NNG+들/XSN+의/JKG
함성으로	함성/NNG+으로/JKB
가득	가득/MAG
찼다”며	차/VV+았/EP+다/EF+”/SS+며/EC
“이는	“/SS+이/NP+는/JX
한국의	한국/NNP+의/JKG
아이돌	아이돌/NNG
팬들이	팬/NNG+들/XSN+이/JKS
좋아하는	좋아하/VV+는/ETM
아티스트의	아티스트/NNG+의/JKG
퍼포먼스를	퍼포먼스/NNG+를/JKO
응원하기	응원/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
다	다/MAG
함께	함께/MAG
맞춰	맞추/VV+어/EC
부르는	부르/VV+는/ETM
‘팬	‘/SS+팬/NNG
찬트’”라고	찬트/NNG+’/SS+”/SS+라고/JKQ
자세히	자세히/MAG
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.128.6.1
