# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.36
metadata : {}


# id : NWRW1800000052.36.1.1
경제단체 “김영란법 합헌 결정 존중…금액 기준 높여야”

경제단체	경제/NNG+단체/NNG
“김영란법	“/SS+김영란법/NNG
합헌	합헌/NNG
결정	결정/NNG
존중…금액	존중/NNG+…/SE+금액/NNG
기준	기준/NNG
높여야”	높이/VV+어야/EC+”/SS


# id : NWRW1800000052.36.2.1
‘김영란법’ 경제계 반응

‘김영란법’	‘/SS+김영란법/NNG+’/SS
경제계	경제/NNG+계/XSN
반응	반응/NNG


# id : NWRW1800000052.36.3.1
헌법재판소의 ‘김영란법’ 합헌 결정에 대해 전국자영업자총연대는 ‘강한 유감’과 ‘실망’을 금할 수 없다며 반발했다.

헌법재판소의	헌법/NNG+재판소/NNG+의/JKG
‘김영란법’	‘/SS+김영란법/NNG+’/SS
합헌	합헌/NNG
결정에	결정/NNG+에/JKB
대해	대하/VV+아/EC
전국자영업자총연대는	전국자영업자총연대/NNP+는/JX
‘강한	‘/SS+강하/VA+ㄴ/ETM
유감’과	유감/NNG+’/SS+과/JC
‘실망’을	‘/SS+실망/NNG+’/SS+을/JKO
금할	금하/VV+ㄹ/ETM
수	수/NNB
없다며	없/VA+다며/EC
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.36.3.2
경제단체들은 헌재 결정을 존중한다면서도, 정부가 구체적인 가이드라인을 제시하고 수수 금지액 기준을 올려야 한다고 주장했다.

경제단체들은	경제/NNG+단체/NNG+들/XSN+은/JX
헌재	헌재/NNG
결정을	결정/NNG+을/JKO
존중한다면서도,	존중/NNG+하/XSV+ㄴ다면서/EC+도/JX+,/SP
정부가	정부/NNG+가/JKS
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
가이드라인을	가이드라인/NNG+을/JKO
제시하고	제시/NNG+하/XSV+고/EC
수수	수수/NNG
금지액	금지액/NNG
기준을	기준/NNG+을/JKO
올려야	올리/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.36.3.3
