# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.349
metadata : {}


# id : NWRW1800000046.349.1.1
사상최고 나스닥이 15년前 '버블'과 다른 이유… 실적을 보라

사상최고	사상/NNG+최고/NNG
나스닥이	나스닥/NNP+이/JKS
15년前	15/SN+년/NNB+前/SH
'버블'과	'/SS+버블/NNG+'/SS+과/JC
다른	다른/MMD
이유…	이유/NNG+…/SE
실적을	실적/NNG+을/JKO
보라	보/VV+라/EF


# id : NWRW1800000046.349.2.1
2000년처럼 低금리 돈 풀려… 소비재·기술株 중심 급등세

2000년처럼	2000/SN+년/NNB+처럼/JKB
低금리	低/SH+금리/NNG
돈	돈/NNG
풀려…	풀리/VV+어/EF+…/SE
소비재·기술株	소비재/NNG+·/SP+기술/NNG+株/SH
중심	중심/NNG
급등세	급등세/NNG


# id : NWRW1800000046.349.3.1
미국 증시에서 기술주를 대표하는 나스닥지수가 15년 전 닷컴버블 붕괴의 악몽을 떨치고 부활했다.

미국	미국/NNP
증시에서	증시/NNG+에서/JKB
기술주를	기술주/NNG+를/JKO
대표하는	대표/NNG+하/XSV+는/ETM
나스닥지수가	나스닥/NNP+지수/NNG+가/JKS
15년	15/SN+년/NNB
전	전/NNG
닷컴버블	닷컴/NNG+버블/NNG
붕괴의	붕괴/NNG+의/JKG
악몽을	악몽/NNG+을/JKO
떨치고	떨치/VV+고/EC
부활했다.	부활/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.349.3.2
23일(현지 시각) 미국 뉴욕 증시에서 나스닥지수는 전날보다 20.89포인트(0.41%) 오른 5056.06으로 마감하며, 종가 기준으로 사상 최고치를 기록했다.

23일(현지	23/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
미국	미국/NNP
뉴욕	뉴욕/NNP
증시에서	증시/NNG+에서/JKB
나스닥지수는	나스닥/NNP+지수/NNG+는/JX
전날보다	전날/NNG+보다/JKB
20.89포인트(0.41%)	20/SN+./SP+89/SN+포인트/NNG+(/SS+0/SN+./SP+41/SN+%/SW+)/SS
오른	오르/VV+ㄴ/ETM
5056.06으로	5056/SN+./SP+06/SN+으로/JKB
마감하며,	마감/NNG+하/XSV+며/EC+,/SP
종가	종가/NNG
기준으로	기준/NNG+으로/JKB
사상	사상/NNG
최고치를	최고/NNG+치/XSN+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.349.3.3
종전 기록은 닷컴버블이 절정이던 2000년 3월 10일의 5048.62였다.

종전	종전/NNG
기록은	기록/NNG+은/JX
닷컴버블이	닷컴/NNG+버블/NNG+이/JKS
절정이던	절정/NNG+이/VCP+던/ETM
2000년	2000/SN+년/NNB
3월	3/SN+월/NNB
10일의	10/SN+일/NNB+의/JKG
5048.62였다.	5048/SN+./SP+62/SN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.349.4.1
나스닥지수는 닷컴버블 붕괴 이후 2년 6개월간 폭락세를 거듭하며 2002년 10월 4일엔 1139.9까지 떨어졌었다.

나스닥지수는	나스닥/NNP+지수/NNG+는/JX
닷컴버블	닷컴/NNG+버블/NNG
붕괴	붕괴/NNG
이후	이후/NNG
2년	2/SN+년/NNB
6개월간	6/SN+개월/NNB+간/XSN
폭락세를	폭락세/NNG+를/JKO
거듭하며	거듭/MAG+하/XSV+며/EC
2002년	2002/SN+년/NNB
10월	10/SN+월/NNB
4일엔	4/SN+일/NNB+에/JKB+ㄴ/JX
1139.9까지	1139/SN+./SP+9/SN+까지/JX
떨어졌었다.	떨어지/VV+었었/EP+다/EF+./SF


# id : NWRW1800000046.349.4.2
이후 완만한 회복세를 이어가다 2008년 글로벌 금융 위기를 맞고 다시 한 번 곤두박질쳤다.

이후	이후/NNG
완만한	완만하/VA+ㄴ/ETM
회복세를	회복세/NNG+를/JKO
이어가다	잇/VV+어/EC+가/VX+다/EC
2008년	2008/SN+년/NNB
글로벌	글로벌/NNG
금융	금융/NNG
위기를	위기/NNG+를/JKO
맞고	맞/VV+고/EC
다시	다시/MAG
한	한/MMN
번	번/NNB
곤두박질쳤다.	곤두박질치/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.349.4.3
그러다 2013년 이후 본격적인 상승세를 이어가며 사상 최고치를 경신했다.

그러다	그러/VV+다/EC
2013년	2013/SN+년/NNB
이후	이후/NNG
본격적인	본격/NNG+적/XSN+이/VCP+ㄴ/ETM
상승세를	상승세/NNG+를/JKO
이어가며	잇/VV+어/EC+가/VX+며/EC
사상	사상/NNG
최고치를	최고/NNG+치/XSN+를/JKO
경신했다.	경신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.349.5.1
◇나스닥, '닷컴 버블' 때와 닮은꼴

◇나스닥,	◇/SW+나스닥/NNP+,/SP
'닷컴	'/SS+닷컴/NNG
버블'	버블/NNG+'/SS
때와	때/NNG+와/JKB
닮은꼴	닮은꼴/NNG


# id : NWRW1800000046.349.6.1
나스닥 시장의 화려한 부활은 지난 2000년 전후 나스닥 호황 때와 여러 점에서 비슷하다.

나스닥	나스닥/NNP
시장의	시장/NNG+의/JKG
화려한	화려하/VA+ㄴ/ETM
부활은	부활/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2000년	2000/SN+년/NNB
전후	전후/NNG
호황	호황/NNG
때와	때/NNG+와/JKB
여러	여러/MMN
점에서	점/NNG+에서/JKB
비슷하다.	비슷하/VA+다/EF+./SF


# id : NWRW1800000046.349.6.2
극심한 경제 불황 이후 산업 구조의 급속한 재편이 일어나면서 신기술·신사업 위주의 나스닥 시장이 각광을 받게 된 것이다.

극심한	극심하/VA+ㄴ/ETM
경제	경제/NNG
불황	불황/NNG
이후	이후/NNG
산업	산업/NNG
구조의	구조/NNG+의/JKG
