# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.163
metadata : {}


# id : NWRW1800000044.163.1.1
“인천 아시안게임에 북한선수단 참가 낙관”

“인천	“/SS+인천/NNP
아시안게임에	아시안/NNP+게임/NNG+에/JKB
북한선수단	북한/NNP+선수단/NNG
참가	참가/NNG
낙관”	낙관/NNG+”/SS


# id : NWRW1800000044.163.2.1
[한겨레] 김영수 조직위원장 “물밑 접촉중”

[한겨레]	[/SS+한겨레/NNP+]/SS
김영수	김영수/NNP
조직위원장	조직/NNG+위원장/NNG
“물밑	“/SS+물밑/NNG
접촉중”	접촉/NNG+중/NNB+”/SS


# id : NWRW1800000044.163.3.1
오는 9월 인천에서 열리는 아시안게임에 북한 선수단 참가가 기대된다.

오는	오/VV+는/ETM
9월	9/SN+월/NNB
인천에서	인천/NNP+에서/JKB
열리는	열리/VV+는/ETM
아시안게임에	아시안/NNP+게임/NNG+에/JKB
북한	북한/NNP
선수단	선수단/NNG
참가가	참가/NNG+가/JKS
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.163.4.1
김영수 2014 인천아시아경기대회 조직위원회 위원장(사진)은 8일 “북한 선수단은 2002년 부산 아시안게임부터 도하·광저우 아시안게임까지 꾸준히 참가해왔고, 이번 인천 아시안게임에 굳이 안 올 이유가 없다.

김영수	김영수/NNP
2014	2014/SN
인천아시아경기대회	인천/NNP+아시아/NNP+경기/NNG+대회/NNG
조직위원회	조직/NNG+위원회/NNG
위원장(사진)은	위원장/NNG+(/SS+사진/NNG+)/SS+은/JX
8일	8/SN+일/NNB
“북한	“/SS+북한/NNP
선수단은	선수단/NNG+은/JX
2002년	2002/SN+년/NNB
부산	부산/NNP
아시안게임부터	아시안/NNP+게임/NNG+부터/JX
도하·광저우	도하/NNP+·/SP+광저우/NNP
아시안게임까지	아시안/NNP+게임/NNG+까지/JX
꾸준히	꾸준히/MAG
참가해왔고,	참가/NNG+하/XSV+아/EC+오/VX+았/EP+고/EC+,/SP
이번	이번/NNG
인천	인천/NNP
아시안게임에	아시안/NNP+게임/NNG+에/JKB
굳이	굳이/MAG
안	안/MAG
올	오/VV+ㄹ/ETM
이유가	이유/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000044.163.4.2
북한 선수단의 대회 참가는 낙관적이다”라고 밝혔다.

북한	북한/NNP
선수단의	선수단/NNG+의/JKG
대회	대회/NNG
참가는	참가/NNG+는/JX
낙관적이다”라고	낙관/NNG+적/XSN+이/VCP+다/EF+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.163.5.1
김 위원장은 이날 인천 송도컨벤시아에서 연 신년 기자간담회에서 “물밑으로 여러 루트를 통해 북한과 접촉하고 있다”면서 이렇게 말했다.

김	김/NNP
위원장은	위원장/NNG+은/JX
이날	이날/NNG
인천	인천/NNP
송도컨벤시아에서	송도컨벤시아/NNP+에서/JKB
연	열/VV+ㄴ/ETM
신년	신년/NNG
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“물밑으로	“/SS+물밑/NNG+으로/JKB
여러	여러/MMN
루트를	루트/NNG+를/JKO
통해	통하/VV+아/EC
북한과	북한/NNP+과/JKB
접촉하고	접촉/NNG+하/XSV+고/EC
있다”면서	있/VX+다/EF+”/SS+면서/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.163.5.2
그는 “지금 남북관계가 매우 어렵지만 조만간 온기를 되찾을 것으로 본다”고도 했다.

그는	그/NP+는/JX
“지금	“/SS+지금/MAG
남북관계가	남북/NNP+관계/NNG+가/JKS
매우	매우/MAG
어렵지만	어렵/VA+지만/EC
조만간	조만간/MAG
온기를	온기/NNG+를/JKO
되찾을	되찾/VV+을/ETM
것으로	것/NNB+으로/JKB
본다”고도	보/VV+ㄴ다/EF+”/SS+고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.163.6.1
김 위원장은 대회 하이라이트인 개막식과 관련해 “아이티(IT) 강국의 면모를 보여주되, 인천과 한국의 문화적 정서를 담으면서도 동시에 국제적 보편성이 있는 내용으로 고심하고 있다.

김	김/NNP
위원장은	위원장/NNG+은/JX
대회	대회/NNG
하이라이트인	하이라이트/NNG+이/VCP+ㄴ/ETM
개막식과	개막식/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“아이티(IT)	“/SS+아이티/NNG+(/SS+IT/SL+)/SS
강국의	강국/NNG+의/JKG
면모를	면모/NNG+를/JKO
보여주되,	보이/VV+어/EC+주/VX+되/EC+,/SP
인천과	인천/NNP+과/JC
한국의	한국/NNP+의/JKG
문화적	문화/NNG+적/XSN
정서를	정서/NNG+를/JKO
담으면서도	담/VV+으면서/EC+도/JX
동시에	동시/NNG+에/JKB
국제적	국제/NNG+적/XSN
보편성이	보편/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
내용으로	내용/NNG+으로/JKB
고심하고	고심/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.163.6.2
정말 재미있는 개막식이 될 것이라는 점은 확실하다”고 말했다.

정말	정말/MAG
