# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.15
metadata : {}


# id : NWRW1800000025.15.1.1
18도에 묶인 정부청사… 장관도 “너무 추워”

18도에	18/SN+도/NNB+에/JKB
묶인	묶이/VV+ㄴ/ETM
정부청사…	정부/NNG+청사/NNG+…/SE
장관도	장관/NNG+도/JX
“너무	“/SS+너무/MAG
추워”	춥/VA+어/EF+”/SS


# id : NWRW1800000025.15.2.1
14일 정부과천청사에서 열린 위기관리대책회의 시작에 앞서 윤증현 기획재정부 장관이 마이크를 잡았다.

14일	14/SN+일/NNB
정부과천청사에서	정부과천청사/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
위기관리대책회의	위기관리/NNG+대책/NNG+회의/NNG
시작에	시작/NNG+에/JKB
앞서	앞서/VV+어/EC
윤증현	윤증현/NNP
기획재정부	기획/NNG+재정부/NNG
장관이	장관/NNG+이/JKS
마이크를	마이크/NNG+를/JKO
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.15.2.2
“정부청사가 너무 춥다”며 운을 뗀 그는 강병규 행안부 2차관에게 “세종로 중앙청사 회의를 갔는데 너무 추웠고, 청와대를 가도 똑같더라.

“정부청사가	“/SS+정부/NNG+청사/NNG+가/JKS
너무	너무/MAG
춥다”며	춥/VA+다/EF+”/SS+며/EC
운을	운/NNG+을/JKO
뗀	떼/VV+ㄴ/ETM
그는	그/NP+는/JX
강병규	강병규/NNP
행안부	행안부/NNG
2차관에게	2/SN+차관/NNG+에게/JKB
“세종로	“/SS+세종로/NNP
중앙청사	중앙/NNG+청사/NNG
회의를	회의/NNG+를/JKO
갔는데	가/VV+았/EP+는데/EC
추웠고,	춥/VA+었/EP+고/EC+,/SP
청와대를	청와대/NNP+를/JKO
가도	가/VV+아도/EC
똑같더라.	똑같/VA+더라/EF+./SF


# id : NWRW1800000025.15.2.3
제발 좀 잘 봐 달라”고 말했다.

제발	제발/MAG
좀	좀/MAG
잘	잘/MAG
봐	보/VV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.15.3.1
농담하듯 건넨 말이었지만, 이 소식을 접한 정부과천청사 공무원들은 “얼마나 추우면 장관까지 그렇게 말했겠느냐”며 한숨을 쉬었다.

농담하듯	농담/NNG+하/XSV+듯/EC
건넨	건네/VV+ㄴ/ETM
말이었지만,	말/NNG+이/VCP+었/EP+지만/EC+,/SP
이	이/MMD
소식을	소식/NNG+을/JKO
접한	접하/VV+ㄴ/ETM
정부과천청사	정부과천청사/NNP
공무원들은	공무원/NNG+들/XSN+은/JX
“얼마나	“/SS+얼마나/MAG
추우면	춥/VA+으면/EC
장관까지	장관/NNG+까지/JX
그렇게	그렇/VA+게/EC
말했겠느냐”며	말/NNG+하/XSV+았/EP+겠/EP+느냐/EF+”/SS+며/EC
한숨을	한/XPN+숨/NNG+을/JKO
쉬었다.	쉬/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.15.3.2
유례없는 한파에 정부의 에너지 절약방침이 더해지면서 과천에서 일하는 공무원들은 어느 때보다 추운 겨울을 보내고 있기 때문.

유례없는	유례없/VA+는/ETM
한파에	한파/NNG+에/JKB
정부의	정부/NNG+의/JKG
에너지	에너지/NNG
절약방침이	절약/NNG+방침/NNG+이/JKS
더해지면서	더/MAG+하/XSV+아/EC+지/VX+면서/EC
과천에서	과천/NNP+에서/JKB
일하는	일/NNG+하/XSV+는/ETM
공무원들은	공무원/NNG+들/XSN+은/JX
어느	어느/MMD
때보다	때/NNG+보다/JKB
추운	춥/VA+ㄴ/ETM
겨울을	겨울/NNG+을/JKO
보내고	보내/VV+고/EC
있기	있/VX+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000025.15.4.1
정부는 전력사용량이 연일 사상 최고치를 경신하자 12일 에너지 절약을 호소하는 담화문을 발표하고, 공무원이 솔선수범하는 차원에서 모든 청사의 겨울철 난방 권장온도를 19도에서 18도로 낮췄다.

정부는	정부/NNG+는/JX
전력사용량이	전력/NNG+사용량/NNG+이/JKS
연일	연일/MAG
사상	사상/NNG
최고치를	최고/NNG+치/XSN+를/JKO
경신하자	경신/NNG+하/XSV+자/EC
12일	12/SN+일/NNB
에너지	에너지/NNG
절약을	절약/NNG+을/JKO
호소하는	호소/NNG+하/XSV+는/ETM
담화문을	담화문/NNG+을/JKO
발표하고,	발표/NNG+하/XSV+고/EC+,/SP
공무원이	공무원/NNG+이/JKS
솔선수범하는	솔선수범/NNG+하/XSV+는/ETM
차원에서	차원/NNG+에서/JKB
모든	모든/MMN
청사의	청사/NNG+의/JKG
겨울철	겨울철/NNG
난방	난방/NNG
권장온도를	권장/NNG+온도/NNG+를/JKO
19도에서	19/SN+도/NNB+에서/JKB
18도로	18/SN+도/NNB+로/JKB
낮췄다.	낮추/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.15.4.2
또 개인 난방기의 사용도 엄격히 제한하기로 했다.

또	또/MAG
개인	개인/NNG
난방기의	난방기/NNG+의/JKG
사용도	사용/NNG+도/JX
엄격히	엄격히/MAG
제한하기로	제한/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.15.5.1
실제로 지식경제부는 12일 개별 난방기를 일제히 치웠다.

실제로	실제로/MAG
지식경제부는	지식/NNG+경제부/NNG+는/JX
12일	12/SN+일/NNB
개별	개별/NNG
난방기를	난방기/NNG+를/JKO
일제히	일제히/MAG
치웠다.	치우/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.15.5.2
몰래 사용하는 것을 막기 위해 공익근무요원들이 아침에 각 사무실을 돌며 전열기가 있는지 살펴본다.

몰래	몰래/MAG
사용하는	사용/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
공익근무요원들이	공익/NNG+근무/NNG+요원/NNG+들/XSN+이/JKS
아침에	아침/NNG+에/JKB
각	각/MMD
