# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.250
metadata : {}


# id : NWRW1800000048.250.1.1
‘차벽’ 없으니 ‘충돌’도 없었다

‘차벽’	‘/SS+차/NNG+벽/NNG+’/SS
없으니	없/VA+으니/EC
‘충돌’도	‘/SS+충돌/NNG+’/SS+도/JX
없었다	없/VA+었/EP+다/EF


# id : NWRW1800000048.250.2.1
세월호 1주기 2차 추모제

세월호	세월호/NNP
1주기	1/SN+주기/NNB
2차	2/SN+차/NNB
추모제	추모제/NNG


# id : NWRW1800000048.250.3.1
시민 5천여명 참여

시민	시민/NNG
5천여명	5/SN+천/NR+여/XSN+명/NNB
참여	참여/NNG


# id : NWRW1800000048.250.4.1
광화문까지 평화롭게 행진

광화문까지	광화문/NNP+까지/JX
평화롭게	평화/NNG+롭/XSA+게/EC
행진	행진/NNG


# id : NWRW1800000048.250.5.1
경찰의 차벽도, 시민과 경찰의 충돌도 없었다.

경찰의	경찰/NNG+의/JKG
차벽도,	차/NNG+벽/NNG+도/JX+,/SP
시민과	시민/NNG+과/JC
충돌도	충돌/NNG+도/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000048.250.5.2
지난해 1년간 경찰이 사용한 캡사이신 최루액의 2.4배(465.75ℓ)를 단 하룻밤에 쏴버린 지난 18일 세월호 1주기 추모집회와는 판이했다.

지난해	지난해/NNG
1년간	1/SN+년/NNB+간/XSN
경찰이	경찰/NNG+이/JKS
사용한	사용/NNG+하/XSV+ㄴ/ETM
캡사이신	캡사이신/NNG
최루액의	최루액/NNG+의/JKG
2.4배(465.75ℓ)를	2/SN+./SP+4/SN+배/NNG+(/SS+465/SN+./SP+75/SN+ℓ/SW+)/SS+를/JKO
단	단/MMA
하룻밤에	하룻밤/NNG+에/JKB
쏴버린	쏘/VV+아/EC+버리/VX+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
18일	18/SN+일/NNB
세월호	세월호/NNP
1주기	1/SN+주기/NNB
추모집회와는	추모/NNG+집회/NNG+와/JKB+는/JX
판이했다.	판이하/VA+았/EP+다/EF+./SF


# id : NWRW1800000048.250.6.1
지난 25일 오후 서울 광화문광장 등지에서 세월호 1주기 2차 추모행진 및 추모문화제가 열렸다.

지난	지나/VV+ㄴ/ETM
25일	25/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
광화문광장	광화문광장/NNP
등지에서	등지/NNB+에서/JKB
세월호	세월호/NNP
1주기	1/SN+주기/NNB
2차	2/SN+차/NNB
추모행진	추모/NNG+행진/NNG
및	및/MAG
추모문화제가	추모/NNG+문화제/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.250.6.2
앞서 청량리역, 용산역, 홍익대 입구, 성신여대 입구 등 네곳에서 각각 출발한 시민 3000여명(경찰 추산 1800여명)은 희생자들을 추모하는 노란 우산과 풍선, 국화를 들고 광화문광장 분향소까지 행진했다.

앞서	앞서/MAG
청량리역,	청량리역/NNP+,/SP
용산역,	용산역/NNP+,/SP
홍익대	홍익대/NNP
입구,	입구/NNG+,/SP
성신여대	성신여대/NNP
입구	입구/NNG
등	등/NNB
네곳에서	네/MMN+곳/NNG+에서/JKB
각각	각각/MAG
출발한	출발/NNG+하/XSV+ㄴ/ETM
시민	시민/NNG
3000여명(경찰	3000/SN+여/XSN+명/NNB+(/SS+경찰/NNG
추산	추산/NNG
1800여명)은	1800/SN+여/XSN+명/NNB+)/SS+은/JX
희생자들을	희생자/NNG+들/XSN+을/JKO
추모하는	추모/NNG+하/XSV+는/ETM
노란	노랗/VA+ㄴ/ETM
우산과	우산/NNG+과/JC
풍선,	풍선/NNG+,/SP
국화를	국화/NNG+를/JKO
들고	들/VV+고/EC
광화문광장	광화문광장/NNP
분향소까지	분향소/NNG+까지/JX
행진했다.	행진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.250.6.3
유모차를 끌고 나온 주부, 고등학생, 성직자 등은 1개 차선을 이용해 평화롭게 행진했다.

유모차를	유모차/NNG+를/JKO
끌고	끌/VV+고/EC
나온	나오/VV+ㄴ/ETM
주부,	주부/NNG+,/SP
고등학생,	고등학생/NNG+,/SP
성직자	성직자/NNG
등은	등/NNB+은/JX
1개	1/SN+개/NNB
차선을	차선/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
평화롭게	평화/NNG+롭/XSA+게/EC
행진했다.	행진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.250.7.1
광화문광장 추모문화제에는 5000여명(경찰 추산 2300명)이 참여했다.

광화문광장	광화문광장/NNP
추모문화제에는	추모/NNG+문화제/NNG+에/JKB+는/JX
5000여명(경찰	5000/SN+여/XSN+명/NNB+(/SS+경찰/NNG
추산	추산/NNG
2300명)이	2300/SN+명/NNB+)/SS+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.250.7.2
