# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.296
metadata : {}


# id : NWRW1800000046.296.1.1
[2030 프리즘] 열심히 일할 기회도 없다면

[2030	[/SS+2030/SN
프리즘]	프리즘/NNG+]/SS
열심히	열심히/MAG
일할	일/NNG+하/XSV+ㄹ/ETM
기회도	기회/NNG+도/JX
없다면	없/VA+다면/EC


# id : NWRW1800000046.296.2.1
첫사랑의 아련한 추억을 그린 일본 영화 '클로즈드 노트'에서 가장 인상적이었던 것은 지금은 기억에도 흐릿해진 첫사랑을 곱씹게 하는 러브 스토리가 아니라, 초등학교 교사로 등장한 여주인공이 직장에서 겪은 일화다.

첫사랑의	첫사랑/NNG+의/JKG
아련한	아련하/VA+ㄴ/ETM
추억을	추억/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
일본	일본/NNP
영화	영화/NNG
'클로즈드	'/SS+클로즈드/NNP
노트'에서	노트/NNP+'/SS+에서/JKB
가장	가장/MAG
인상적이었던	인상/NNG+적/XSN+이/VCP+었/EP+던/ETM
것은	것/NNB+은/JX
지금은	지금/NNG+은/JX
기억에도	기억/NNG+에/JKB+도/JX
흐릿해진	흐릿하/VA+아/EC+지/VX+ㄴ/ETM
첫사랑을	첫사랑/NNG+을/JKO
곱씹게	곱씹/VV+게/EC
하는	하/VX+는/ETM
러브	러브/NNG
스토리가	스토리/NNG+가/JKC
아니라,	아니/VCN+라/EC+,/SP
초등학교	초등학교/NNG
교사로	교사/NNG+로/JKB
등장한	등장/NNG+하/XSV+ㄴ/ETM
여주인공이	여주인공/NNG+이/JKS
직장에서	직장/NNG+에서/JKB
겪은	겪/VV+은/ETM
일화다.	일화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.296.2.2
마음에 상처를 입고 등교 거부 중인 학생을 학교로 돌아오게 하기 위해 고군분투하던 주인공은 아이의 마음을 다치게 한 것이 집단 따돌림이 아닌, 자신이 무심코 던진 "열심히 해"라는 말이라는 사실을 알고 어안이 벙벙해진다.

마음에	마음/NNG+에/JKB
상처를	상처/NNG+를/JKO
입고	입/VV+고/EC
등교	등교/NNG
거부	거부/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
학생을	학생/NNG+을/JKO
학교로	학교/NNG+로/JKB
돌아오게	돌아오/VV+게/EC
하기	하/VX+기/ETN
위해	위하/VV+아/EC
고군분투하던	고군분투/NNG+하/XSV+던/ETM
주인공은	주인공/NNG+은/JX
아이의	아이/NNG+의/JKG
마음을	마음/NNG+을/JKO
다치게	다치/VV+게/EC
한	하/VX+ㄴ/ETM
것이	것/NNB+이/JKS
집단	집단/NNG
따돌림이	따돌림/NNG+이/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
자신이	자신/NNG+이/JKS
무심코	무심코/MAG
던진	던지/VV+ㄴ/ETM
"열심히	"/SS+열심히/MAG
해"라는	하/VV+아/EF+"/SS+이/VCP+라는/ETM
