# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.203
metadata : {}


# id : NWRW1800000022.203.1.1
[제주] 해안어장 6곳 '해산물 채취 체험장'으로 개방

[제주]	[/SS+제주/NNP+]/SS
해안어장	해안/NNG+어장/NNG
6곳	6/SN+곳/NNG
'해산물	'/SS+해산물/NNG
채취	채취/NNG
체험장'으로	체험장/NNG+'/SS+으로/JKB
개방	개방/NNG


# id : NWRW1800000022.203.2.1
제주 해안의 마을어장 6곳이 해산물 채취 체험장으로 연중 개방된다.

제주	제주/NNP
해안의	해안/NNG+의/JKG
마을어장	마을/NNG+어장/NNG
6곳이	6/SN+곳/NNG+이/JKS
해산물	해산물/NNG
채취	채취/NNG
체험장으로	체험장/NNG+으로/JKB
연중	연중/NNG
개방된다.	개방/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.203.3.1
제주도는 관광객들이 해산물을 채취하는 바릇잡이의 참맛을 즐길 수 있도록 제주시 귀덕2리·귀일·함덕 어촌계와 서귀포시 하모·온평·대포 어촌계의 공동어장 6곳을 다음 달부터 연중 개방한다고 7일 밝혔다.

제주도는	제주도/NNP+는/JX
관광객들이	관광객/NNG+들/XSN+이/JKS
해산물을	해산물/NNG+을/JKO
채취하는	채취/NNG+하/XSV+는/ETM
바릇잡이의	바릇잡이/NNG+의/JKG
참맛을	참맛/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
제주시	제주시/NNP
귀덕2리·귀일·함덕	귀덕2리/NNP+·/SP+귀일/NNP+·/SP+함덕/NNP
어촌계와	어촌계/NNG+와/JC
서귀포시	서귀포시/NNP
하모·온평·대포	하모/NNP+·/SP+온평/NNP+·/SP+대포/NNP
어촌계의	어촌계/NNG+의/JKG
공동어장	공동/NNG+어장/NNG
6곳을	6/SN+곳/NNG+을/JKO
다음	다음/NNG
달부터	달/NNG+부터/JX
연중	연중/NNG
개방한다고	개방/NNG+하/XSV+ㄴ다고/EC
