# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.216
metadata : {}


# id : NWRW1800000030.216.1.1
퇴출선수에서 없어선 안 될 선수로

퇴출선수에서	퇴출/NNG+선수/NNG+에서/JKB
없어선	없/VA+어서/EC+ㄴ/JX
안	안/MAG
될	되/VV+ㄹ/ETM
선수로	선수/NNG+로/JKB


# id : NWRW1800000030.216.2.1
•삼성 최형우, 이대호와 홈런경쟁

•삼성	•/SW+삼성/NNP
최형우,	최형우/NNP+,/SP
이대호와	이대호/NNP+와/JKB
홈런경쟁	홈런/NNG+경쟁/NNG


# id : NWRW1800000030.216.3.1
삼성의 최형우(28·사진)가 롯데 이대호와 홈런왕 레이스를 뜨겁게 달구고 있다.

삼성의	삼성/NNP+의/JKG
최형우(28·사진)가	최형우/NNP+(/SS+28/SN+·/SP+사진/NNG+)/SS+가/JKS
롯데	롯데/NNP
이대호와	이대호/NNP+와/JKB
홈런왕	홈런왕/NNG
레이스를	레이스/NNG+를/JKO
뜨겁게	뜨겁/VA+게/EC
달구고	달구/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.216.4.1
최형우는 지난 12일 대구구장에서 벌어진 KIA와의 경기에서 자신이 가장 까다로운 투수라고 여기는 윤석민을 상대로 연타석 홈런을 뽑아내며 한 달간 이어진 홈런 기근을 끝냈다.

최형우는	최형우/NNP+는/JX
지난	지나/VV+ㄴ/ETM
12일	12/SN+일/NNB
대구구장에서	대구구장/NNP+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
KIA와의	KIA/SL+와/JKB+의/JKG
경기에서	경기/NNG+에서/JKB
자신이	자신/NNG+이/JKS
가장	가장/MAG
까다로운	까다롭/VA+ㄴ/ETM
투수라고	투수/NNG+이/VCP+라고/EC
여기는	여기/VV+는/ETM
윤석민을	윤석민/NNP+을/JKO
상대로	상대/NNG+로/JKB
연타석	연타석/NNG
홈런을	홈런/NNG+을/JKO
뽑아내며	뽑아내/VV+며/EC
한	한/MMN
달간	달/NNB+간/XSN
이어진	이어지/VV+ㄴ/ETM
홈런	홈런/NNG
기근을	기근/NNG+을/JKO
끝냈다.	끝내/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.216.4.2
21개의 홈런을 기록하며 올 시즌 홈런 부문 1위를 달리고 있는 이대호(22개)에 홈런 1개 차로 바짝 따라붙었다.

21개의	21/SN+개/NNB+의/JKG
홈런을	홈런/NNG+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
올	올/NNG
시즌	시즌/NNG
홈런	홈런/NNG
부문	부문/NNG
1위를	1/SN+위/NNB+를/JKO
