# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.377
metadata : {}


# id : NWRW1800000049.377.1.1
남북적십자회담 사진설명에 연도 틀려

남북적십자회담	남북/NNP+적십자/NNP+회담/NNG
사진설명에	사진/NNG+설명/NNG+에/JKB
연도	연도/NNG
틀려	틀리/VV+어/EF


# id : NWRW1800000049.377.2.1
공개되자마자 곳곳에 오류 지적 1972년을 1971년으로 잘못 표기… ‘소련, 이북서 군정 실시’ 표현도 논란

공개되자마자	공개/NNG+되/XSV+자마자/EC
곳곳에	곳곳/NNG+에/JKB
오류	오류/NNG
지적	지적/NNG
1972년을	1972/SN+년/NNB+을/JKO
1971년으로	1971/SN+년/NNB+으로/JKB
잘못	잘못/MAG
표기…	표기/NNG+…/SE
‘소련,	‘/SS+소련/NNP+,/SP
이북서	이북/NNG+서/JKB
군정	군정/NNG
실시’	실시/NNG+’/SS
표현도	표현/NNG+도/JX
논란	논란/NNG


# id : NWRW1800000049.377.3.1
국정 역사 교과서 현장 검토본은 28일 공개되자마자 “오류가 있다”는 학자들의 지적이 이어졌다.

국정	국정/NNG
역사	역사/NNG
교과서	교과서/NNG
현장	현장/NNG
검토본은	검토본/NNG+은/JX
28일	28/SN+일/NNB
공개되자마자	공개/NNG+되/XSV+자마자/EC
“오류가	“/SS+오류/NNG+가/JKS
있다”는	있/VA+다/EF+”/SS+는/ETM
학자들의	학자/NNG+들/XSN+의/JKG
지적이	지적/NNG+이/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.377.4.1
먼저 ‘중학 역사 교과서 2’ 154쪽에 나오는 ‘제2차 남북 적십자 회담’ 사진설명에 나오는 연도가 잘못됐다는 지적이 나왔다.

먼저	먼저/MAG
‘중학	‘/SS+중학/NNG
역사	역사/NNG
교과서	교과서/NNG
2’	2/SN+’/SS
154쪽에	154/SN+쪽/NNG+에/JKB
나오는	나오/VV+는/ETM
‘제2차	‘/SS+제/XPN+2/SN+차/NNB
남북	남북/NNP
적십자	적십자/NNP
