# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.191
metadata : {}


# id : NWRW1800000036.191.1.1
실직·노숙인도 ‘긴급 복지지원’

실직·노숙인도	실직/NNG+·/SP+노숙인/NNG+도/JX
‘긴급	‘/SS+긴급/NNG
복지지원’	복지/NNG+지원/NNG+’/SS


# id : NWRW1800000036.191.2.1
[한겨레] 복지부, ‘위기 관리’ 대상 확대…생계·의료비 등 지급

[한겨레]	[/SS+한겨레/NNP+]/SS
복지부,	복지부/NNG+,/SP
‘위기	‘/SS+위기/NNG
관리’	관리/NNG+’/SS
대상	대상/NNG
확대…생계·의료비	확대/NNG+…/SE+생계/NNG+·/SP+의료비/NNG
등	등/NNB
지급	지급/NNG


# id : NWRW1800000036.191.3.1
실직, 휴·폐업 등과 같이 가정의 생계를 위협하는 위기 상황이 생겨도 긴급복지지원을 받을 수 있게 된다.

실직,	실직/NNG+,/SP
휴·폐업	휴·폐업/NNG
등과	등/NNB+과/JKB
같이	같이/MAG
가정의	가정/NNG+의/JKG
생계를	생계/NNG+를/JKO
위협하는	위협/NNG+하/XSV+는/ETM
위기	위기/NNG
상황이	상황/NNG+이/JKS
생겨도	생기/VV+어도/EC
긴급복지지원을	긴급/NNG+복지/NNG+지원/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.191.4.1
보건복지부는 이달 30일부터 긴급복지지원 대상에 실직, 휴·폐업, 교도소 출소, 노숙 등과 같은 위기 상황을 당한 사람들도 포함하기로 했다고 20일 밝혔다.

보건복지부는	보건/NNG+복지부/NNG+는/JX
이달	이달/NNG
30일부터	30/SN+일/NNB+부터/JX
긴급복지지원	긴급/NNG+복지/NNG+지원/NNG
대상에	대상/NNG+에/JKB
실직,	실직/NNG+,/SP
휴·폐업,	휴·폐업/NNG+,/SP
교도소	교도소/NNG
출소,	출소/NNG+,/SP
노숙	노숙/NNG
등과	등/NNB+과/JKB
같은	같/VA+은/ETM
위기	위기/NNG
상황을	상황/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
사람들도	사람/NNG+들/XSN+도/JX
포함하기로	포함/NNG+하/XSV+기/ETN+로/JKB
했다고	하/VV+았/EP+다고/EC
20일	20/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.191.4.2
긴급복지지원은 한 가정의 주요 소득자에게 사망, 중병 등이 생겨 생계유지가 곤란해진 저소득층(최저생계비 150% 이하 소득)에게 생계비나 의료비 등을 지원하는 제도다.

긴급복지지원은	긴급/NNG+복지/NNG+지원/NNG+은/JX
한	한/MMN
가정의	가정/NNG+의/JKG
주요	주요/NNG
소득자에게	소득자/NNG+에게/JKB
사망,	사망/NNG+,/SP
중병	중병/NNG
등이	등/NNB+이/JKS
생겨	생기/VV+어/EC
생계유지가	생계유지/NNG+가/JKS
곤란해진	곤란/NNG+하/XSA+아/EC+지/VX+ㄴ/ETM
저소득층(최저생계비	저/XPN+소득/NNG+층/XSN+(/SS+최저/NNG+생계비/NNG
150%	150/SN+%/SW
이하	이하/NNG
소득)에게	소득/NNG+)/SS+에게/JKB
생계비나	생계비/NNG+나/JC
의료비	의료비/NNG
등을	등/NNB+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
제도다.	제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.191.5.1
이번에 새로 지원 대상이 된 실직의 경우 6개월 이상 근무 뒤 실직했는데도 고용보험에 가입돼 있지 않아 실업급여를 받지 못하는 사람이나 65살 이상의 노동자 등이 대상이 된다.

이번에	이번/NNG+에/JKB
새로	새로/MAG
지원	지원/NNG
대상이	대상/NNG+이/JKC
된	되/VV+ㄴ/ETM
실직의	실직/NNG+의/JKG
경우	경우/NNG
6개월	6/SN+개월/NNB
이상	이상/NNG
근무	근무/NNG
뒤	뒤/NNG
실직했는데도	실직/NNG+하/XSV+았/EP+는데/EC+도/JX
고용보험에	고용/NNG+보험/NNG+에/JKB
가입돼	가입/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않아	않/VX+아/EC
실업급여를	실업/NNG+급여/NNG+를/JKO
받지	받/VV+지/EC
못하는	못하/VX+는/ETM
사람이나	사람/NNG+이나/JC
65살	65/SN+살/NNB
이상의	이상/NNG+의/JKG
노동자	노동자/NNG
등이	등/NNB+이/JKS
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.191.5.2
또 휴·폐업은 간이 과세자로서 1년 이상의 영업을 하다가 영업손실 등의 이유로 문을 닫거나 쉬는 곳이 해당되며, 교도소 등에서 출소했으나 돌아갈 가정이 없고 기초생활수급권자가 될 수 없는 사람도 지원 대상이 된다.

또	또/MAG
휴·폐업은	휴·폐업/NNG+은/JX
간이	간이/NNG
과세자로서	과세자/NNG+로서/JKB
1년	1/SN+년/NNB
이상의	이상/NNG+의/JKG
영업을	영업/NNG+을/JKO
하다가	하/VV+다가/EC
영업손실	영업/NNG+손실/NNG
등의	등/NNB+의/JKG
이유로	이유/NNG+로/JKB
문을	문/NNG+을/JKO
닫거나	닫/VV+거나/EC
쉬는	쉬/VV+는/ETM
곳이	곳/NNG+이/JKS
해당되며,	해당/NNG+되/XSV+며/EC+,/SP
교도소	교도소/NNG
등에서	등/NNB+에서/JKB
출소했으나	출소/NNG+하/XSV+았/EP+으나/EC
돌아갈	돌아가/VV+ㄹ/ETM
가정이	가정/NNG+이/JKS
없고	없/VA+고/EC
기초생활수급권자가	기초/NNG+생활/NNG+수급권자/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
사람도	사람/NNG+도/JX
지원	지원/NNG
대상이	대상/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.191.5.3
아울러 6개월 미만의 초기 노숙인도 지원 대상에 포함된다.

아울러	아울러/MAG
6개월	6/SN+개월/NNB
미만의	미만/NNG+의/JKG
초기	초기/NNG
노숙인도	노숙인/NNG+도/JX
지원	지원/NNG
대상에	대상/NNG+에/JKB
포함된다.	포함/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.191.6.1
복지부 관계자는 “그동안 긴급복지지원 대상이 지나치게 제한돼 있었다”며 “실제로 자주 생기는 실직이나 자영업자의 휴·폐업 등을 지원 대상에 포함해 위기에 빠진 가구가 빈곤층으로 전락하는 것을 막는 데 도움을 주려 한다”고 말했다.

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
“그동안	“/SS+그동안/NNG
긴급복지지원	긴급/NNG+복지/NNG+지원/NNG
대상이	대상/NNG+이/JKS
지나치게	지나치/VA+게/EC
제한돼	제한/NNG+되/XSV+어/EC
있었다”며	있/VX+었/EP+다/EF+”/SS+며/EC
“실제로	“/SS+실제로/MAG
자주	자주/MAG
생기는	생기/VV+는/ETM
실직이나	실직/NNG+이나/JC
자영업자의	자영업자/NNG+의/JKG
휴·폐업	휴·폐업/NNG
등을	등/NNB+을/JKO
지원	지원/NNG
대상에	대상/NNG+에/JKB
포함해	포함/NNG+하/XSV+아/EC
위기에	위기/NNG+에/JKB
빠진	빠지/VV+ㄴ/ETM
가구가	가구/NNG+가/JKS
빈곤층으로	빈곤/NNG+층/XSN+으로/JKB
전락하는	전락/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
막는	막/VV+는/ETM
데	데/NNB
도움을	도움/NNG+을/JKO
주려	주/VV+려/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.191.7.1
긴급복지지원은 생계비의 경우 4인 가구 기준 약 101만원을 최대 6차례까지, 의료비는 최대 300만원을 2차례까지, 주거비는 4인 가구 기준 약 36만원을 6차례까지 받을 수 있다.

긴급복지지원은	긴급/NNG+복지/NNG+지원/NNG+은/JX
생계비의	생계비/NNG+의/JKG
경우	경우/NNG
4인	4/SN+인/NNG
가구	가구/NNG
기준	기준/NNG
약	약/MMA
101만원을	101/SN+만/NR+원/NNB+을/JKO
최대	최대/NNG
6차례까지,	6/SN+차례/NNG+까지/JX+,/SP
의료비는	의료비/NNG+는/JX
300만원을	300/SN+만/NR+원/NNB+을/JKO
2차례까지,	2/SN+차례/NNG+까지/JX+,/SP
주거비는	주거비/NNG+는/JX
36만원을	36/SN+만/NR+원/NNB+을/JKO
6차례까지	6/SN+차례/NNG+까지/JX
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.191.7.2
이 밖에도 전기요금, 장제비, 난방비, 사회복지시설 이용비용 등도 지원된다.

이	이/NP
밖에도	밖/NNG+에/JKB+도/JX
전기요금,	전기/NNG+요금/NNG+,/SP
장제비,	장제비/NNG+,/SP
난방비,	난방비/NNG+,/SP
사회복지시설	사회/NNG+복지/NNG+시설/NNG
이용비용	이용/NNG+비용/NNG
등도	등/NNB+도/JX
지원된다.	지원/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.191.7.3
지난해에는 전국적으로 5만900여명에게 총 455억4200만원이 지원돼, 책정된 예산인 588억8600만원의 77%가 지출됐다.

지난해에는	지난해/NNG+에/JKB+는/JX
전국적으로	전국/NNG+적/XSN+으로/JKB
5만900여명에게	5/SN+만/NR+900/SN+여/XSN+명/NNB+에게/JKB
총	총/MMA
455억4200만원이	455/SN+억/NR+4200/SN+만/NR+원/NNB+이/JKS
지원돼,	지원/NNG+되/XSV+어/EC+,/SP
책정된	책정/NNG+되/XSV+ㄴ/ETM
예산인	예산/NNG+이/VCP+ㄴ/ETM
588억8600만원의	588/SN+억/NR+8600/SN+만/NR+원/NNB+의/JKG
77%가	77/SN+%/SW+가/JKS
지출됐다.	지출/NNG+되/XSV+었/EP+다/EF+./SF


