# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.278
metadata : {}


# id : NWRW1800000025.278.1.1
[해운대 37층 주상복합 화재]4층서 발화 10여분만에 가연성 외벽 타고 37층 옥상까지

[해운대	[/SS+해운대/NNP
37층	37/SN+층/NNG
주상복합	주상/NNG+복합/NNG
화재]4층서	화재/NNG+]/SS+4/SN+층/NNG+서/JKB
발화	발화/NNG
10여분만에	10/SN+여/XSN+분/NNB+만/NNB+에/JKB
가연성	가연/NNG+성/XSN
외벽	외벽/NNG
타고	타/VV+고/EC
옥상까지	옥상/NNG+까지/JX


# id : NWRW1800000025.278.2.1
불은 순식간이었다.

불은	불/NNG+은/JX
순식간이었다.	순식/NNG+간/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.278.2.2
1일 오전 11시 33분 부산 해운대구 마린시티 내 쌍둥이 주상복합아파트인 우신골든스위트 4층에서 시작된 불은 10여분만에 채 안 돼 옥상으로 번졌다.

1일	1/SN+일/NNB
오전	오전/NNG
11시	11/SN+시/NNB
33분	33/SN+분/NNB
부산	부산/NNP
해운대구	해운대구/NNP
마린시티	마린시티/NNP
내	내/NNB
쌍둥이	쌍둥이/NNG
주상복합아파트인	주상/NNG+복합/NNG+아파트/NNG+이/VCP+ㄴ/ETM
우신골든스위트	우신골든스위트/NNP
4층에서	4/SN+층/NNG+에서/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
불은	불/NNG+은/JX
10여분만에	10/SN+여/XSN+분/NNB+만/NNB+에/JKB
채	채/MAG
안	안/MAG
돼	되/VV+어/EC
옥상으로	옥상/NNG+으로/JKB
번졌다.	번지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.278.2.3
소방관들은 현장에 도착하자마자 서둘러 건물로 들어갔고, 조금 있다가 입주민 10명이 손으로 입을 틀어막고 빠져나오기 시작했다.

소방관들은	소방관/NNG+들/XSN+은/JX
현장에	현장/NNG+에/JKB
도착하자마자	도착/NNG+하/XSV+자마자/EC
서둘러	서두르/VV+어/EC
건물로	건물/NNG+로/JKB
들어갔고,	들어가/VV+았/EP+고/EC+,/SP
조금	조금/MAG
있다가	있/VV+다가/EC
입주민	입주민/NNG
10명이	10/SN+명/NNB+이/JKS
손으로	손/NNG+으로/JKB
입을	입/NNG+을/JKO
틀어막고	틀어막/VV+고/EC
빠져나오기	빠져나오/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.2.4
바깥에 있던 소방관들이 살수차를 이용해 불길이 치솟는 쪽으로 연방 물을 뿌려댔지만 15층 이상으로는 올라가지 않아 무용지물이었다.

바깥에	바깥/NNG+에/JKB
있던	있/VA+던/ETM
소방관들이	소방관/NNG+들/XSN+이/JKS
살수차를	살수차/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
불길이	불길/NNG+이/JKS
치솟는	치솟/VV+는/ETM
쪽으로	쪽/NNB+으로/JKB
연방	연방/MAG
물을	물/NNG+을/JKO
뿌려댔지만	뿌리/VV+어/EC+대/VX+었/EP+지만/EC
15층	15/SN+층/NNG
이상으로는	이상/NNG+으로/JKB+는/JX
올라가지	올라가/VV+지/EC
않아	않/VX+아/EC
무용지물이었다.	무용지물/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.278.3.1
○ 외벽 마감재 잔해 50m까지 날아가

○	○/SW
외벽	외벽/NNG
마감재	마감재/NNG
잔해	잔해/NNG
50m까지	50/SN+m/SW+까지/JX
날아가	날아가/VV+아/EF


# id : NWRW1800000025.278.4.1
해운대 앞바다에서 바라본 마린시티 상공은 시커먼 연기로 뒤덮여 있었다.

해운대	해운대/NNP
앞바다에서	앞바다/NNG+에서/JKB
바라본	바라보/VV+ㄴ/ETM
마린시티	마린시티/NNP
상공은	상공/NNG+은/JX
시커먼	시커멓/VA+ㄴ/ETM
연기로	연기/NNG+로/JKB
뒤덮여	뒤덮이/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.278.4.2
이날 낮 12시 반이 되자 100m가량 높이인 옥상 위로 소방헬기들이 물을 쏟아 부었다.

이날	이날/NNG
낮	낮/NNG
12시	12/SN+시/NNB
반이	반/NNG+이/JKC
되자	되/VV+자/EC
100m가량	100/SN+m/SW+가량/XSN
높이인	높이/NNG+이/VCP+ㄴ/ETM
옥상	옥상/NNG
위로	위/NNG+로/JKB
소방헬기들이	소방/NNG+헬기/NNG+들/XSN+이/JKS
물을	물/NNG+을/JKO
쏟아	쏟/VV+아/EC
부었다.	붓/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.278.4.3
불이 난 지 1시간 만에 옥상 전체가 불덩이로 뒤덮였다.

불이	불/NNG+이/JKS
난	나/VV+ㄴ/ETM
지	지/NNB
1시간	1/SN+시간/NNB
만에	만/NNB+에/JKB
옥상	옥상/NNG
전체가	전체/NNG+가/JKS
불덩이로	불덩이/NNG+로/JKB
뒤덮였다.	뒤덮이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.278.4.4
헬기가 소방수를 뿌려댔지만 역부족이었다.

헬기가	헬기/NNG+가/JKS
소방수를	소방수/NNG+를/JKO
뿌려댔지만	뿌리/VV+어/EC+대/VX+었/EP+지만/EC
역부족이었다.	역부족/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.278.4.5
급기야 30분 뒤 산림청 헬기와 경남도소방본부, 육군, 해양경찰청 헬기까지 부산으로 투입됐다.

급기야	급기야/MAG
30분	30/SN+분/NNB
뒤	뒤/NNG
산림청	산림청/NNG
헬기와	헬기/NNG+와/JC
경남도소방본부,	경남도소방본부/NNP+,/SP
육군,	육군/NNG+,/SP
해양경찰청	해양/NNG+경찰청/NNG
헬기까지	헬기/NNG+까지/JX
부산으로	부산/NNP+으로/JKB
투입됐다.	투입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.278.5.1
불덩이가 위력을 발휘할수록 황금색 패널이 힘없이 지상으로 떨어지기 시작했다.

불덩이가	불덩이/NNG+가/JKS
위력을	위력/NNG+을/JKO
발휘할수록	발휘/NNG+하/XSV+ㄹ수록/EC
황금색	황금색/NNG
패널이	패널/NNG+이/JKS
힘없이	힘없이/MAG
지상으로	지상/NNG+으로/JKB
떨어지기	떨어지/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.278.5.2
