# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.167
metadata : {}


# id : NWRW1800000022.167.1.1
[인천·부천] 관절염 수술 노인 무릎에 카네이션;한화·힘찬병원 '이색 효도 행사'… 무료 수술 신청받아

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
관절염	관절염/NNG
수술	수술/NNG
노인	노인/NNG
무릎에	무릎/NNG+에/JKB
카네이션;한화·힘찬병원	카네이션/NNG+;/SW+한화/NNP+·/SP+힘찬병원/NNP
'이색	'/SS+이색/NNG
효도	효도/NNG
행사'…	행사/NNG+'/SS+…/SE
무료	무료/NNG
신청받아	신청/NNG+받/XSV+아/EF


# id : NWRW1800000022.167.2.1
무료로 무릎 관절염 수술을 받은 뒤 하늘을 날아갈 것 같았는데 효도 여행에다 카네이션까지 받으니….

무료로	무료/NNG+로/JKB
무릎	무릎/NNG
관절염	관절염/NNG
수술을	수술/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
하늘을	하늘/NNG+을/JKO
날아갈	날아가/VV+ㄹ/ETM
것	것/NNB
같았는데	같/VA+았/EP+는데/EC
효도	효도/NNG
여행에다	여행/NNG+에다/JKB
카네이션까지	카네이션/NNG+까지/JX
받으니….	받/VV+으니/EC+…/SE+./SF


# id : NWRW1800000022.167.3.1
지난 6일과 7일 충남 대천 한화콘도에서는 이색 어버이날 행사가 열렸다.

지난	지나/VV+ㄴ/ETM
6일과	6/SN+일/NNB+과/JC
7일	7/SN+일/NNB
충남	충남/NNP
대천	대천/NNP
한화콘도에서는	한화콘도/NNP+에서/JKB+는/JX
이색	이색/NNG
어버이날	어버이날/NNG
행사가	행사/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.167.3.2
한화와 인천 힘찬병원의 도움으로 지난 3~4월에 관절염 무료 수술을 받은 노인들의 무릎에 수술을 담당한 의사들이 카네이션을 달아주는 행사였다.

한화와	한화/NNP+와/JC
인천	인천/NNP
힘찬병원의	힘찬병원/NNP+의/JKG
도움으로	도움/NNG+으로/JKB
지난	지나/VV+ㄴ/ETM
3~4월에	3/SN+~/SO+4/SN+월/NNB+에/JKB
관절염	관절염/NNG
무료	무료/NNG
수술을	수술/NNG+을/JKO
받은	받/VV+은/ETM
노인들의	노인/NNG+들/XSN+의/JKG
무릎에	무릎/NNG+에/JKB
담당한	담당/NNG+하/XSV+ㄴ/ETM
의사들이	의사/NNG+들/XSN+이/JKS
카네이션을	카네이션/NNG+을/JKO
달아주는	달/VV+아/EC+주/VX+는/ETM
행사였다.	행사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.167.3.3
노인 8명과 그 가족, 수술을 담당한 의사 4명 등이 참석한 자리였다.

노인	노인/NNG
8명과	8/SN+명/NNB+과/JC
그	그/MMD
가족,	가족/NNG+,/SP
수술을	수술/NNG+을/JKO
담당한	담당/NNG+하/XSV+ㄴ/ETM
의사	의사/NNG
4명	4/SN+명/NNB
등이	등/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.167.3.4
의사들은 노인들의 무릎을 만져보며 상태를 점검했으며 궁금증을 설명해줬다.

의사들은	의사/NNG+들/XSN+은/JX
노인들의	노인/NNG+들/XSN+의/JKG
무릎을	무릎/NNG+을/JKO
만져보며	만지/VV+어/EC+보/VX+며/EC
상태를	상태/NNG+를/JKO
점검했으며	점검/NNG+하/XSV+았/EP+으며/EC
궁금증을	궁금증/NNG+을/JKO
설명해줬다.	설명/NNG+하/XSV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.167.4.1
노인들과 가족들은 함께 콘도 인근의 모래사장을 거닐며 기쁨을 나눴다.

노인들과	노인/NNG+들/XSN+과/JC
가족들은	가족/NNG+들/XSN+은/JX
함께	함께/MAG
콘도	콘도/NNG
인근의	인근/NNG+의/JKG
모래사장을	모래사장/NNG+을/JKO
거닐며	거닐/VV+며/EC
기쁨을	기쁨/NNG+을/JKO
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.167.4.2
30년 동안 관절염을 앓았다는 최영자씨는 "수술 후 다리가 곧게 펴지고 회복도 빨라 정상인처럼 걸을 수 있게 돼 들뜬 마음으로 한동안 모래사장을 걸었다"면서 "무료 수술을 신청해 준 뒤 교통사고로 갑자기 세상을 떠난 동생이 하늘에서라도 내 모습을 보았으면 좋겠다"라고 말했다.

30년	30/SN+년/NNB
