# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.64
metadata : {}


# id : NWRW1800000025.64.1.1
초중생 상반기중 ‘게임중독’ 검사…일정시간 넘으면 게임이용 차단

초중생	초중생/NNG
상반기중	상반기/NNG+중/NNB
‘게임중독’	‘/SS+게임/NNG+중독/NNG+’/SS
검사…일정시간	검사/NNG+…/SE+일정/NNG+시간/NNG
넘으면	넘/VV+으면/EC
게임이용	게임/NNG+이용/NNG
차단	차단/NNG


# id : NWRW1800000025.64.2.1
최근 사회적 문제로 떠오른 게임중독에 대한 대책 마련에 정부와 업계가 팔을 걷어붙였다.

최근	최근/NNG
사회적	사회/NNG+적/XSN
문제로	문제/NNG+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
게임중독에	게임/NNG+중독/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대책	대책/NNG
마련에	마련/NNG+에/JKB
정부와	정부/NNG+와/JC
업계가	업계/NNG+가/JKS
팔을	팔/NNG+을/JKO
걷어붙였다.	걷어붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.64.2.2
문화체육관광부는 한국콘텐츠진흥원과 손잡고 ‘게임 과(過)몰입 및 중독에 관한 진단 척도’를 만들어 상반기(1∼6월)에 청소년들을 대상으로 조사를 벌일 계획인 것으로 8일 확인됐다.

문화체육관광부는	문화/NNG+체육/NNG+관광부/NNG+는/JX
한국콘텐츠진흥원과	한국콘텐츠진흥원/NNP+과/JKB
손잡고	손잡/VV+고/EC
‘게임	‘/SS+게임/NNG
과(過)몰입	과/XPN+(/SS+過/SH+)/SS+몰입/NNG
및	및/MAG
중독에	중독/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
진단	진단/NNG
척도’를	척도/NNG+’/SS+를/JKO
만들어	만들/VV+어/EC
상반기(1∼6월)에	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+)/SS+에/JKB
청소년들을	청소년/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
조사를	조사/NNG+를/JKO
벌일	벌이/VV+ㄹ/ETM
계획인	계획/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
8일	8/SN+일/NNB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.64.2.3
인터넷중독에 대해선 체계적인 조사가 이뤄져 왔으나 게임중독 분야는 민간에 맡겨왔다.

인터넷중독에	인터넷/NNG+중독/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
조사가	조사/NNG+가/JKS
이뤄져	이뤄지/VV+어/EC
왔으나	오/VX+았/EP+으나/EC
게임중독	게임/NNG+중독/NNG
분야는	분야/NNG+는/JX
민간에	민간/NNG+에/JKB
맡겨왔다.	맡기/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.64.2.4
조사 규모는 전국 초중학생 40만 명으로 현재 교육과학기술부와 협의하고 있다.

조사	조사/NNG
규모는	규모/NNG+는/JX
전국	전국/NNG
초중학생	초중학생/NNG
40만	40/SN+만/NR
명으로	명/NNB+으로/JKB
현재	현재/MAG
교육과학기술부와	교육/NNG+과학/NNG+기술부/NNG+와/JKB
협의하고	협의/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.64.2.5
전국 초중고교생이 약 400만 명인 것을 감안하면 10%에 해당하는 규모다.

전국	전국/NNG
초중고교생이	초중고교/NNG+생/XSN+이/JKS
