# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.212
metadata : {}


# id : NWRW1800000053.212.1.1
강정호-류현진 ‘위기의 남자’

강정호-류현진	강정호/NNP+-/SO+류현진/NNP
‘위기의	‘/SS+위기/NNG+의/JKG
남자’	남자/NNG+’/SS


# id : NWRW1800000053.212.2.1
강, 스프링캠프 언제 합류할지 불투명 류, ‘5선발’ 놓고 6대1 경쟁 뚫어야

강,	강/NNP+,/SP
스프링캠프	스프링캠프/NNG
언제	언제/MAG
합류할지	합류/NNG+하/XSV+ㄹ지/EF
불투명	불/XPN+투명/NNG
류,	류/NNP+,/SP
‘5선발’	‘/SS+5/SN+선발/NNG+’/SS
놓고	놓/VV+고/EC
6대1	6/SN+대/NNB+1/SN
경쟁	경쟁/NNG
뚫어야	뚫/VV+어야/EC


# id : NWRW1800000053.212.3.1
서른 살 동갑내기 친구 강정호(피츠버그)와 류현진(LA 다저스)이 추운 겨울을 보내고 있다.

서른	서른/NR
살	살/NNB
동갑내기	동갑내기/NNG
친구	친구/NNG
강정호(피츠버그)와	강정호/NNP+(/SS+피츠버그/NNP+)/SS+와/JC
류현진(LA	류현진/NNP+(/SS+LA/SL
다저스)이	다저스/NNP+)/SS+이/JKS
추운	춥/VA+ㄴ/ETM
겨울을	겨울/NNG+을/JKO
보내고	보내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.212.4.1
지난해 12월 음주 뺑소니 사고로 물의를 일으킨 내야수 강정호는 스프링캠프 정상 참가가 불발됐다.

지난해	지난해/NNG
12월	12/SN+월/NNB
음주	음주/NNG
뺑소니	뺑소니/NNG
사고로	사고/NNG+로/JKB
물의를	물의/NNG+를/JKO
일으킨	일으키/VV+ㄴ/ETM
내야수	내야수/NNG
강정호는	강정호/NNP+는/JX
스프링캠프	스프링캠프/NNG
정상	정상/NNG
참가가	참가/NNG+가/JKS
불발됐다.	불발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.212.4.2
15일 현지 언론에 따르면 프랭크 쿠넬리 사장은 “강정호가 한국에서 재판을 받아야 한다.

15일	15/SN+일/NNB
현지	현지/NNG
언론에	언론/NNG+에/JKB
따르면	따르/VV+면/EC
프랭크	프랭크/NNP
쿠넬리	쿠넬리/NNP
사장은	사장/NNG+은/JX
“강정호가	“/SS+강정호/NNP+가/JKS
한국에서	한국/NNP+에서/JKB
재판을	재판/NNG+을/JKO
받아야	받/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.212.4.3
재판이 얼마나 걸릴지, 판결이 언제 나올지 불확실하다.

재판이	재판/NNG+이/JKS
얼마나	얼마나/MAG
걸릴지,	걸리/VV+ㄹ지/EF+,/SP
판결이	판결/NNG+이/JKS
언제	언제/MAG
나올지	나오/VV+ㄹ지/EF
불확실하다.	불확실/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000053.212.4.4
언제 캠프에 합류할지는 불명확하다”는 내용의 성명을 발표했다.

언제	언제/MAG
캠프에	캠프/NNG+에/JKB
합류할지는	합류/NNG+하/XSV+ㄹ지/EF+는/JX
불명확하다”는	불명확하/VA+다/EF+”/SS+는/ETM
내용의	내용/NNG+의/JKG
성명을	성명/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.212.4.5
구단이 강정호의 캠프 참가가 늦어질 수 있다는 사실을 공식적으로 밝힌 건 이번이 처음이다.

구단이	구단/NNG+이/JKS
강정호의	강정호/NNP+의/JKG
캠프	캠프/NNG
참가가	참가/NNG+가/JKS
늦어질	늦어지/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
사실을	사실/NNG+을/JKO
공식적으로	공식/NNG+적/XSN+으로/JKB
밝힌	밝히/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.212.5.1
피츠버그는 18일부터 야수까지 모두 모인 가운데 미국 플로리다 주 브레이든턴에서 스프링캠프를 시작한다.

피츠버그는	피츠버그/NNP+는/JX
18일부터	18/SN+일/NNB+부터/JX
야수까지	야수/NNG+까지/JX
모두	모두/MAG
모인	모이/VV+ㄴ/ETM
가운데	가운데/NNG
미국	미국/NNP
