# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.357
metadata : {}


# id : NWRW1800000033.357.1.1
與 “盧 NLL 발언은 대북게이트”… 文 조준?

與	與/SH
“盧	“/SS+盧/SH
NLL	NLL/SL
발언은	발언/NNG+은/JX
대북게이트”…	대북/NNG+게이트/NNG+”/SS+…/SE
文	文/SH
조준?	조준/NNG+?/SF


# id : NWRW1800000033.357.2.1
■ 盧-김정일 비밀대화록 공방

■	■/SW
盧-김정일	盧/SH+-/SO+김정일/NNP
비밀대화록	비밀/NNG+대화록/NNG
공방	공방/NNG


# id : NWRW1800000033.357.3.1
새누리당은 10일 민주통합당 문재인 대선후보가 대통령비서실장으로 있었던 2007년 10월 당시 노무현 대통령이 북한 김정일 국방위원장에게 서해 북방한계선(NLL)을 부정하는 발언을 했다는 의혹에 화력을 집중했다.

새누리당은	새누리당/NNP+은/JX
10일	10/SN+일/NNB
민주통합당	민주통합당/NNP
문재인	문재인/NNP
대선후보가	대선/NNG+후보/NNG+가/JKS
대통령비서실장으로	대통령/NNG+비서실장/NNG+으로/JKB
있었던	있/VV+었/EP+던/ETM
2007년	2007/SN+년/NNB
10월	10/SN+월/NNB
당시	당시/NNG
노무현	노무현/NNP
대통령이	대통령/NNG+이/JKS
북한	북한/NNP
김정일	김정일/NNP
국방위원장에게	국방/NNG+위원장/NNG+에게/JKB
서해	서해/NNP
북방한계선(NLL)을	북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS+을/JKO
부정하는	부정/NNG+하/XSV+는/ETM
발언을	발언/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
의혹에	의혹/NNG+에/JKB
화력을	화력/NNG+을/JKO
집중했다.	집중/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.357.4.1
