# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.345
metadata : {}


# id : NWRW1800000049.345.1.1
“누진제 폭탄 겁나 에어컨 못켜요”

“누진제	“/SS+누진/NNG+제/XSN
폭탄	폭탄/NNG
겁나	겁나/VV+아/EC
에어컨	에어컨/NNG
못켜요”	못/MAG+켜/VV+어요/EF+”/SS


# id : NWRW1800000049.345.2.1
가정용 전기료에만 누진제 적용

가정용	가정/NNG+용/XSN
전기료에만	전기료/NNG+에/JKB+만/JX
누진제	누진/NNG+제/XSN
적용	적용/NNG


# id : NWRW1800000049.345.3.1
경기 수원시에 사는 최정옥 씨(61) 집의 에어컨은 거의 가구나 다름없다.

경기	경기/NNP
수원시에	수원시/NNP+에/JKB
사는	살/VV+는/ETM
최정옥	최정옥/NNP
씨(61)	씨/NNB+(/SS+61/SN+)/SS
집의	집/NNG+의/JKG
에어컨은	에어컨/NNG+은/JX
거의	거의/MAG
가구나	가구/NNG+나/JX
다름없다.	다름없/VA+다/EF+./SF


# id : NWRW1800000049.345.3.2
수원의 낮 최고 기온이 35도까지 올랐던 5일 오후 2시경 1시간 남짓 사용됐을 뿐이다.

수원의	수원/NNP+의/JKG
낮	낮/NNG
최고	최고/NNG
기온이	기온/NNG+이/JKS
35도까지	35/SN+도/NNB+까지/JX
올랐던	오르/VV+았/EP+던/ETM
5일	5/SN+일/NNB
오후	오후/NNG
2시경	2/SN+시/NNB+경/XSN
1시간	1/SN+시간/NNB
남짓	남짓/NNB
사용됐을	사용/NNG+되/XSV+었/EP+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.345.3.3
최 씨는 “지난해 여름 하루 서너 시간 에어컨을 켰더니 평소 한 달 3만 원 안팎이던 전기요금이 15만 원 넘게 나왔다”며 “전기요금이 무서워 웬만하면 부채와 선풍기로 버티고 있다”고 말했다.

최	최/NNP
씨는	씨/NNB+는/JX
“지난해	“/SS+지난해/NNG
여름	여름/NNG
하루	하루/NNG
서너	서너/MMN
시간	시간/NNG
에어컨을	에어컨/NNG+을/JKO
