# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.302
metadata : {}


# id : NWRW1800000052.302.1.1
[한겨레 프리즘] 새누리당과 비밀의 방 / 김남일

[한겨레	[/SS+한겨레/NNP
프리즘]	프리즘/NNG+]/SS
새누리당과	새누리당/NNP+과/JC
비밀의	비밀/NNG+의/JKG
방	방/NNG
/	//SP
김남일	김남일/NNP


# id : NWRW1800000052.302.2.1
[한겨레]

[한겨레]	[/SS+한겨레/NNP+]/SS


# id : NWRW1800000052.302.3.1
#1. ‘제18대 대통령직인수위원회’라고 적힌 하얀색 패널은 지금 윤창중 전 청와대 대변인의 집 어딘가에 있을 것이다.

#1.	#/SW+1/SN+./SF
‘제18대	‘/SS+제/XPN+18/SN+대/NNB
대통령직인수위원회’라고	대통령직/NNG+인수/NNG+위원회/NNG+’/SS+라고/JKQ
적힌	적히/VV+ㄴ/ETM
하얀색	하얀색/NNG
패널은	패널/NNG+은/JX
지금	지금/MAG
윤창중	윤창중/NNP
전	전/MMD
청와대	청와대/NNP
대변인의	대변인/NNG+의/JKG
집	집/NNG
어딘가에	어디/NP+이/VCP+ㄴ가/EF+에/JKB
있을	있/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.302.3.2
대통령직인수위 관계자들의 목격담에 따르면, 그는 2013년 2월22일 청와대 근처 한국금융연수원에 꾸려진 인수위가 문을 닫던 날 브리핑룸 단상에 붙어 있던 이 패널에 강한 애착을 보였다고 한다.

대통령직인수위	대통령직/NNG+인수위/NNG
관계자들의	관계자/NNG+들/XSN+의/JKG
목격담에	목격담/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
그는	그/NP+는/JX
2013년	2013/SN+년/NNB
2월22일	2/SN+월/NNB+22/SN+일/NNB
청와대	청와대/NNP
근처	근처/NNG
한국금융연수원에	한국금융연수원/NNP+에/JKB
꾸려진	꾸리/VV+어/EC+지/VX+ㄴ/ETM
인수위가	인수위/NNG+가/JKS
문을	문/NNG+을/JKO
닫던	닫/VV+던/ETM
날	날/NNG
브리핑룸	브리핑룸/NNG
단상에	단상/NNG+에/JKB
붙어	붙/VV+어/EC
있던	있/VX+던/ETM
이	이/MMD
패널에	패널/NNG+에/JKB
강한	강하/VA+ㄴ/ETM
애착을	애착/NNG+을/JKO
보였다고	보이/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.302.3.3
아직 청와대 대변인으로 발표 나기 전인지라 불안한 마음 달래는 ‘정표’로 삼고 싶었을지 모른다.

아직	아직/MAG
청와대	청와대/NNP
대변인으로	대변인/NNG+으로/JKB
발표	발표/NNG
나기	나/VV+기/ETN
전인지라	전/NNG+이/VCP+ㄴ지라/EC
불안한	불안/NNG+하/XSA+ㄴ/ETM
마음	마음/NNG
달래는	달래/VV+는/ETM
‘정표’로	‘/SS+정표/NNG+’/SS+로/JKB
삼고	삼/VV+고/EC
싶었을지	싶/VX+었/EP+을지/EF
모른다.	모르/VV+ㄴ다/EF+./SF


