# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.251
metadata : {}


# id : NWRW1800000036.251.1.1
내년 대입 특별전형 요건 강화

내년	내년/NNG
대입	대입/NNG
특별전형	특별/NNG+전형/NNG
요건	요건/NNG
강화	강화/NNG


# id : NWRW1800000036.251.2.1
[한겨레] 농어촌 전형 거주기간 늘리고

[한겨레]	[/SS+한겨레/NNP+]/SS
농어촌	농어촌/NNG
전형	전형/NNG
거주기간	거주/NNG+기간/NNG
늘리고	늘리/VV+고/EC


# id : NWRW1800000036.251.3.1
재외국민 전형 학력인정 축소

재외국민	재외/NNG+국민/NNG
전형	전형/NNG
학력인정	학력/NNG+인정/NNG
축소	축소/NNG


# id : NWRW1800000036.251.4.1
현재 고2 학생들이 입시를 치르는 내년도 대입 전형 때도 올해처럼 수시모집에 여섯번까지만 지원할 수 있게 될 전망이다.

현재	현재/MAG
고2	고/NNG+2/SN
학생들이	학생/NNG+들/XSN+이/JKS
입시를	입시/NNG+를/JKO
치르는	치르/VV+는/ETM
내년도	내년도/NNG
대입	대입/NNG
전형	전형/NNG
때도	때/NNG+도/JX
올해처럼	올해/NNG+처럼/JKB
수시모집에	수시/NNG+모집/NNG+에/JKB
여섯번까지만	여섯/NR+번/NNB+까지/JX+만/JX
지원할	지원/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
될	되/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.251.4.2
한국대학교육협의회(대교협)는 1일 서울 서초구 가톨릭대 대강당에서 공청회를 열고 이런 내용을 담은 ‘2014학년도 대학입학전형 기본사항’ 시안을 발표했다.

한국대학교육협의회(대교협)는	한국대학교육협의회/NNP+(/SS+대교협/NNP+)/SS+는/JX
1일	1/SN+일/NNB
서울	서울/NNP
서초구	서초구/NNP
가톨릭대	가톨릭대/NNP
대강당에서	대/XPN+강당/NNG+에서/JKB
공청회를	공청회/NNG+를/JKO
열고	열/VV+고/EC
이런	이런/MMD
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
‘2014학년도	‘/SS+2014/SN+학년도/NNG
대학입학전형	대학/NNG+입학/NNG+전형/NNG
기본사항’	기본/NNG+사항/NNG+’/SS
시안을	시안/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.251.4.3
대교협은 “2013학년도에 처음 시행된 수시모집 지원횟수 6회 제한을 2014학년도에도 계속 유지해 대입제도의 일관성을 유지하려 한다”고 밝혔다.

대교협은	대교협/NNP+은/JX
“2013학년도에	“/SS+2013/SN+학년도/NNG+에/JKB
처음	처음/NNG
시행된	시행/NNG+되/XSV+ㄴ/ETM
수시모집	수시/NNG+모집/NNG
지원횟수	지원/NNG+횟수/NNG
6회	6/SN+회/NNB
제한을	제한/NNG+을/JKO
2014학년도에도	2014/SN+학년도/NNG+에/JKB+도/JX
계속	계속/MAG
유지해	유지/NNG+하/XSV+아/EC
대입제도의	대입/NNG+제도/NNG+의/JKG
일관성을	일관/NNG+성/XSN+을/JKO
유지하려	유지/NNG+하/XSV+려/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.251.4.4
수시 모집에 합격한 수험생이 정시 모집에 지원할 수 없도록 한 현재의 틀도 그대로 유지된다.

수시	수시/NNG
모집에	모집/NNG+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
수험생이	수험/NNG+생/XSN+이/JKS
정시	정시/NNG
지원할	지원/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
한	하/VV+ㄴ/ETM
현재의	현재/NNG+의/JKG
틀도	틀/NNG+도/JX
그대로	그대로/MAG
유지된다.	유지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.251.5.1
대교협은 감사원 감사와 검찰 수사 등으로 문제가 확인된 일부 특별전형의 요건도 강화하기로 했다.

대교협은	대교협/NNP+은/JX
감사원	감사원/NNG
감사와	감사/NNG+와/JC
검찰	검찰/NNG
수사	수사/NNG
등으로	등/NNB+으로/JKB
문제가	문제/NNG+가/JKS
확인된	확인/NNG+되/XSV+ㄴ/ETM
일부	일부/NNG
특별전형의	특별/NNG+전형/NNG+의/JKG
요건도	요건/NNG+도/JX
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.251.5.2
위장 전입을 통한 입학 사례 등이 발견된 농어촌 특별전형의 경우 현행 3년 이상 거주 요건을 4∼6년 이상으로 늘리기로 했다.

위장	위장/NNG
전입을	전입/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
입학	입학/NNG
사례	사례/NNG
등이	등/NNB+이/JKS
발견된	발견/NNG+되/XSV+ㄴ/ETM
농어촌	농어촌/NNG
특별전형의	특별/NNG+전형/NNG+의/JKG
경우	경우/NNG
현행	현행/NNG
3년	3/SN+년/NNB
이상	이상/NNG
거주	거주/NNG
요건을	요건/NNG+을/JKO
4∼6년	4/SN+∼/SO+6/SN+년/NNB
이상으로	이상/NNG+으로/JKB
늘리기로	늘리/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.251.5.3
이를 위해 지원자가 제출하는 중·고등학교 학교생활기록부와 가족관계증명서 등 관련 서류에 대한 검증을 내실화할 방침이다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
지원자가	지원자/NNG+가/JKS
제출하는	제출/NNG+하/XSV+는/ETM
중·고등학교	중·고등학교/NNG
학교생활기록부와	학교생활/NNG+기록부/NNG+와/JC
가족관계증명서	가족/NNG+관계/NNG+증명서/NNG
등	등/NNB
관련	관련/NNG
서류에	서류/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
검증을	검증/NNG+을/JKO
내실화할	내실/NNG+화/XSN+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.251.6.1
최근 부정입학 사례가 드러난 재외국민 특별전형에 대해서도 구체적인 가이드라인이 제시됐다.

최근	최근/MAG
부정입학	부정/NNG+입학/NNG
사례가	사례/NNG+가/JKS
드러난	드러나/VV+ㄴ/ETM
재외국민	재외/NNG+국민/NNG
특별전형에	특별/NNG+전형/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
가이드라인이	가이드라인/NNG+이/JKS
제시됐다.	제시/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.251.6.2
