# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.170
metadata : {}


# id : NWRW1800000029.170.1.1
책의 향기 / 서재에 꽂힌 그들만의 취향속에서 우리시대 지식인 맨얼굴을 만나다

책의	책/NNG+의/JKG
향기	향기/NNG
/	//SP
서재에	서재/NNG+에/JKB
꽂힌	꽂히/VV+ㄴ/ETM
그들만의	그/NP+들/XSN+만/JX+의/JKG
취향속에서	취향/NNG+속/NNG+에서/JKB
우리시대	우리/NP+시대/NNG
지식인	지식인/NNG
맨얼굴을	맨/XPN+얼굴/NNG+을/JKO
만나다	만나/VV+다/EF


# id : NWRW1800000029.170.2.1
◇지식인의 서재/한정원 글·전영건 사진/432쪽·1만7000원·행성:B잎새

◇지식인의	◇/SW+지식인/NNG+의/JKG
서재/한정원	서재/NNG+//SP+한정원/NNP
글·전영건	글/NNG+·/SP+전영건/NNP
사진/432쪽·1만7000원·행성:B잎새	사진/NNG+//SP+432/SN+쪽/NNG+·/SP+1/SN+만/NR+7000/SN+원/NNB+·/SP+행성/NNG+:/SP+B/SL+잎새/NNG


# id : NWRW1800000029.170.3.1
사람이 책을 고르는 게 아니라 정말 책이 사람을 골랐다.

사람이	사람/NNG+이/JKS
책을	책/NNG+을/JKO
고르는	고르/VV+는/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
정말	정말/MAG
책이	책/NNG+이/JKS
사람을	사람/NNG+을/JKO
골랐다.	고르/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.170.3.2
한복 디자이너이자 보자기 아티스트인 이효재의 서재엔 허영만의 만화 ‘짜장면’이, 바이올리니스트 조윤범의 서재엔 사진가들의 이야기 ‘클라시커 50 사진가’가, 서울대 로스쿨 교수 조국의 서재엔 1027쪽에 달하는 ‘The left’가 꽂혀 있다.

한복	한복/NNG
디자이너이자	아티스트/NNG+이/VCP+ㄴ/ETM
보자기	보자기/NNG
아티스트인	아티스트/NNG+인/NNG
이효재의	이효재/NNP+의/JKG
서재엔	서재/NNG+에/JKB+ㄴ/JX
허영만의	허영만/NNP+의/JKG
만화	만화/NNG
‘짜장면’이,	‘/SS+짜장면/NNP+’/SS+이/JKS+,/SP
바이올리니스트	바이올리니스트/NNG
조윤범의	조윤범/NNP+의/JKG
사진가들의	사진가/NNG+들/XSN+의/JKG
이야기	이야기/NNG
‘클라시커	‘/SS+클라시커/NNG
50	50/SN
사진가’가,	사진가/NNG+’/SS+가/JKS+,/SP
서울대	서울대/NNP
로스쿨	로스쿨/NNG
교수	교수/NNG
조국의	조국/NNP+의/JKG
1027쪽에	1027/SN+쪽/NNG+에/JKB
달하는	달하/VV+는/ETM
‘The	‘/SS+The/SL
left’가	left/SL+’/SS+가/JKS
꽂혀	꽂히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.170.3.3
헤이리 촌장 이안수, 북디자이너 정병규, 전통예술 연출가 진옥섭 등 열다섯 명의 삶과 서재 이야기가 마치 15권의 책이 꽂힌 한 칸의 서재처럼 책 한 권에 담겼다.

헤이리	헤이리/NNP
촌장	촌장/NNG
이안수,	이안수/NNP+,/SP
북디자이너	북/NNG+디자이너/NNG
정병규,	정병규/NNP+,/SP
전통예술	전통/NNG+예술/NNG
연출가	연출가/NNG
진옥섭	진옥섭/NNP
등	등/NNB
열다섯	열다섯/NR
명의	명/NNB+의/JKG
삶과	삶/NNG+과/JC
서재	서재/NNG
이야기가	이야기/NNG+가/JKS
마치	마치/MAG
15권의	15/SN+권/NNB+의/JKG
책이	책/NNG+이/JKS
꽂힌	꽂히/VV+ㄴ/ETM
한	한/MMN
칸의	칸/NNG+의/JKG
서재처럼	서재/NNG+처럼/JKB
책	책/NNG
권에	권/NNB+에/JKB
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.170.3.4
신간 ‘지식인의 서재’다.

신간	신간/NNG
‘지식인의	‘/SS+지식인/NNG+의/JKG
서재’다.	서재/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000029.170.4.1
책을 펼치자 장마다 첫 페이지를 장식하는 15명의 서재 사진이 눈을 끈다.

책을	책/NNG+을/JKO
펼치자	펼치/VV+자/EC
장마다	장/NNB+마다/JX
첫	첫/MMN
페이지를	페이지/NNG+를/JKO
장식하는	장식/NNG+하/XSV+는/ETM
15명의	15/SN+명/NNB+의/JKG
서재	서재/NNG
사진이	사진/NNG+이/JKS
눈을	눈/NNG+을/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.170.4.2
클래식 CD와 DVD가 잔뜩 꽂힌 음악가의 서재, 전통문양의 나무 여닫이문이 달린 골방을 가득 채운 전통예술인의 서재, 형형색색의 만화책이 바닥부터 천장까지 쌓인 보자기 아티스트의 서재, ‘모든 이론은 회색이고 영원한 것은 저 푸른 생명의 나무다’라는 괴테의 글이 쓰인 법학자의 서재.

클래식	클래식/NNG
CD와	CD/SL+와/JC
DVD가	DVD/SL+가/JKS
잔뜩	잔뜩/MAG
꽂힌	꽂히/VV+ㄴ/ETM
음악가의	음악가/NNG+의/JKG
서재,	서재/NNG+,/SP
전통문양의	전통/NNG+문양/NNG+의/JKG
나무	나무/NNG
여닫이문이	여닫이문/NNG+이/JKS
달린	달리/VV+ㄴ/ETM
골방을	골방/NNG+을/JKO
가득	가득/MAG
채운	채우/VV+ㄴ/ETM
전통예술인의	전통/NNG+예술인/NNG+의/JKG
형형색색의	형형색색/NNG+의/JKG
만화책이	만화책/NNG+이/JKS
바닥부터	바닥/NNG+부터/JX
천장까지	천장/NNG+까지/JX
쌓인	쌓이/VV+ㄴ/ETM
보자기	보자기/NNG
아티스트의	아티스트/NNG+의/JKG
‘모든	‘/SS+모든/MMN
이론은	이론/NNG+은/JX
회색이고	회색/NNG+이/VCP+고/EC
영원한	영원/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
저	저/MMD
푸른	푸르/VA+ㄴ/ETM
생명의	생명/NNG+의/JKG
나무다’라는	나무/NNG+이/VCP+다/EF+’/SS+이/VCP+라는/ETM
괴테의	괴테/NNP+의/JKG
글이	글/NNG+이/JKS
쓰인	쓰이/VV+ㄴ/ETM
법학자의	법학자/NNG+의/JKG
서재.	서재/NNG+./SF


# id : NWRW1800000029.170.4.3
책도 서재도, 사람도 제각각이었다.

책도	책/NNG+도/JX
서재도,	서재/NNG+도/JX+,/SP
사람도	사람/NNG+도/JX
제각각이었다.	제각각/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.170.5.1
“말은 지나가지만, 글은 밤하늘의 별처럼 박히는 거잖아요.”

“말은	“/SS+말/NNG+은/JX
지나가지만,	지나가/VV+지만/EC+,/SP
글은	글/NNG+은/JX
