# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.131
metadata : {}


# id : NWRW1800000022.131.1.1
백상어에겐 너무 잔인했던 마스터스;그렉 노먼 세번이나 쓴맛 1996년엔 6타 앞서다 4R서 6오버파로 자멸도

백상어에겐	백상어/NNG+에게/JKB+ㄴ/JX
너무	너무/MAG
잔인했던	잔인/NNG+하/XSA+았/EP+던/ETM
마스터스;그렉	마스터스/NNG+;/SP+그렉/NNP
노먼	노먼/NNP
세번이나	세/MMN+번/NNB+이나/JX
쓴맛	쓴맛/NNG
1996년엔	1996/SN+년/NNB+에/JKB+ㄴ/JX
6타	6/SN+타/NNG
앞서다	앞서/VV+다/EC
4R서	4/SN+R/SL+서/JKB
6오버파로	6/SN+오버파/NNG+로/JKB
자멸도	자멸/NNG+도/JX


# id : NWRW1800000022.131.2.1
'꿈의 무대' 마스터스는 드라마 같은 명승부로 수많은 전설을 만들어 냈다.

'꿈의	'/SS+꿈/NNG+의/JKG
무대'	무대/NNG+'/SS
마스터스는	마스터스/NNG+는/JX
드라마	드라마/NNG
같은	같/VA+은/ETM
명승부로	명승부/NNG+로/JKB
수많은	수많/VA+은/ETM
전설을	전설/NNG+을/JKO
만들어	만들/VV+어/EC
냈다.	내/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.131.2.2
마지막 날 믿기지 않는 역전 승부가 펼쳐질 때마다, '우승자는 오거스타의 신(神)이 점지한다'는 속설을 골퍼들은 사실로 받아들일 수밖에 없었다.

마지막	마지막/NNG
날	날/NNG
믿기지	믿기/VV+지/EC
않는	않/VX+는/ETM
역전	역전/NNG
승부가	승부/NNG+가/JKS
펼쳐질	펼쳐지/VV+ㄹ/ETM
때마다,	때/NNG+마다/JX+,/SP
'우승자는	'/SS+우승자/NNG+는/JX
오거스타의	오거스타/NNP+의/JKG
신(神)이	신/NNG+(/SS+神/SH+)/SS+이/JKS
점지한다'는	점지/NNG+하/XSV+ㄴ다/EF+'/SS+는/ETM
속설을	속설/NNG+을/JKO
골퍼들은	골퍼/NNG+들/XSN+은/JX
사실로	사실/NNG+로/JKB
받아들일	받아들이/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.131.2.3
마스터스의 고향 오거스타 내셔널골프장(파72·7435야드)은 후반 9홀에 '아멘 코너(11~13번홀)'를 포함해 한순간에 버디와 보기를 오가는 승부 홀들이 몰려 있다.

마스터스의	마스터스/NNG+의/JKG
고향	고향/NNG
오거스타	오거스타/NNP
내셔널골프장(파72·7435야드)은	내셔널/NNG+골프장/NNG+(/SS+파/NNG+72/SN+·/SP+7435/SN+야드/NNB+)/SS+은/JX
후반	후반/NNG
9홀에	9/SN+홀/NNG+에/JKB
'아멘	'/SS+아멘/NNG
코너(11~13번홀)'를	코너/NNG+(/SS+11/SN+~/SO+13/SN+번/NNB+홀/NNG+)/SS+'/SS+를/JKO
포함해	포함/NNG+하/XSV+아/EC
한순간에	한순간/NNG+에/JKB
버디와	버디/NNG+와/JC
보기를	보기/NNG+를/JKO
오가는	오가/VV+는/ETM
승부	승부/NNG
홀들이	홀/NNG+들/XSN+이/JKS
몰려	몰리/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.131.2.4
그래서 승리자에게 환희의 역사로 불리는 마스터스가 패배자에겐 '잔혹사'로 불리곤 한다.

그래서	그래서/MAJ
승리자에게	승리자/NNG+에게/JKB
환희의	환희/NNG+의/JKG
역사로	역사/NNG+로/JKB
불리는	불리/VV+는/ETM
마스터스가	마스터스/NNG+가/JKS
패배자에겐	패배자/NNG+에게/JKB+ㄴ/JX
'잔혹사'로	'/SS+잔혹사/NNG+'/SS+로/JKB
불리곤	불리/VV+곤/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.131.3.1
'위대한 백상어(The Great White Shark)' 그렉 노먼(호주·54)이 새 부인 크리스 에버트와 함께 7년 만인 올해 오거스타에 돌아오자 팬들은 그를 반겼다.

'위대한	'/SS+위대하/VA+ㄴ/ETM
백상어(The	백상어/NNG+(/SS+The/SL
Great	Great/SL
White	White/SL
Shark)'	Shark/SL+)/SS+'/SS
그렉	그렉/NNP
노먼(호주·54)이	노먼/NNP+(/SS+호주/NNP+·/SP+54/SN+)/SS+이/JKS
새	새/MMA
부인	부인/NNG
크리스	크리스/NNP
에버트와	에버트/NNP+와/JKB
함께	함께/MAG
7년	7/SN+년/NNB
만인	만/NNB+이/VCP+ㄴ/ETM
올해	올해/NNG
오거스타에	오거스타/NNP+에/JKB
돌아오자	돌아오/VV+자/EC
팬들은	팬/NNG+들/XSN+은/JX
그를	그/NP+를/JKO
반겼다.	반기/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.131.3.2
지난해 브리티시오픈에서 3위에 오르며 그는 스물세 번째로 마스터스의 부름을 받았다.

지난해	지난해/NNG
브리티시오픈에서	브리티시/NNP+오픈/NNG+에서/JKB
3위에	3/SN+위/NNB+에/JKB
오르며	오르/VV+며/EC
그는	그/NP+는/JX
스물세	스물세/MMN
번째로	번/NNB+째/XSN+로/JKB
마스터스의	마스터스/NNG+의/JKG
부름을	부르/VV+ㅁ/ETN+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.131.4.1
화원(花園) 같은 이 코스에서 노먼은 감당하기 힘든 상처를 세 차례나 입었다.

화원(花園)	화원/NNG+(/SS+花園/SH+)/SS
같은	같/VA+은/ETM
이	이/MMD
코스에서	코스/NNG+에서/JKB
노먼은	노먼/NNP+은/JX
감당하기	감당/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
상처를	상처/NNG+를/JKO
세	세/MMN
차례나	차례/NNG+나/JX
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.131.4.2
모두 마스터스 최고의 명승부로 꼽히지만, 노먼에겐 처절한 패배의 기록이었다.

모두	모두/MAG
마스터스	마스터스/NNG
최고의	최고/NNG+의/JKG
명승부로	명승부/NNG+로/JKB
꼽히지만,	꼽히/VV+지만/EC+,/SP
노먼에겐	노먼/NNP+에게/JKB+ㄴ/JX
처절한	처절/NNG+하/XSA+ㄴ/ETM
패배의	패배/NNG+의/JKG
기록이었다.	기록/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.131.4.3
노먼은 한 번도 마스터스의 우승 재킷을 입어보지 못했다.

노먼은	노먼/NNP+은/JX
한	한/MMN
번도	번/NNB+도/JX
마스터스의	마스터스/NNG+의/JKG
우승	우승/NNG
재킷을	재킷/NNG+을/JKO
입어보지	입/VV+어/EC+보/VX+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.131.5.1
