# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.1
metadata : {}


# id : NWRW1800000038.1.1.1
목 아픈 구글 CEO의 외침 "세상에 없는 걸 만들어라"

목	목/NNG
아픈	아프/VA+ㄴ/ETM
구글	구글/NNP
CEO의	CEO/SL+의/JKG
외침	외침/NNG
"세상에	"/SS+세상/NNG+에/JKB
없는	없/VA+는/ETM
걸	거/NNB+ㄹ/JKO
만들어라"	만들/VV+어라/EF+"/SS


# id : NWRW1800000038.1.2.1
성대 희귀병 앓는 페이지, 개발자 대회 깜짝 등장… 45분간 발표·질의 응답

성대	성대/NNG
희귀병	희귀병/NNG
앓는	앓/VV+는/ETM
페이지,	페이지/NNP+,/SP
개발자	개발자/NNG
대회	대회/NNG
깜짝	깜짝/MAG
등장…	등장/NNG+…/SE
45분간	45/SN+분/NNB+간/XSN
발표·질의	발표/NNG+·/SP+질의/NNG
응답	응답/NNG


# id : NWRW1800000038.1.3.1
15일 오전(현지 시각) 11시 45분 미국 샌프란시스코 시내 모스콘 센터.

15일	15/SN+일/NNB
오전(현지	오전/NNG+(/SS+현지/NNG
시각)	시각/NNG+)/SS
11시	11/SN+시/NNB
45분	45/SN+분/NNB
미국	미국/NNP
샌프란시스코	샌프란시스코/NNP
시내	시내/NNG
모스콘	모스콘/NNP
센터.	센터/NNG+./SF


# id : NWRW1800000038.1.3.2
구글의 개발자 대회 '구글I/O' 기조연설 시작부터 2시간 45분이 지난 시점, 무대 위에 잿빛 머리의 사내가 나타났다.

구글의	구글/NNP+의/JKG
개발자	개발자/NNG
대회	대회/NNG
'구글I/O'	'/SS+구글/NNP+I/SL+//SP+O/SL+'/SS
기조연설	기조연설/NNG
시작부터	시작/NNG+부터/JX
2시간	2/SN+시간/NNB
45분이	45/SN+분/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
시점,	시점/NNG+,/SP
무대	무대/NNG
위에	위/NNG+에/JKB
잿빛	잿빛/NNG
머리의	머리/NNG+의/JKG
사내가	사내/NNG+가/JKS
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.1.3.3
발표가 길어지며 지루한 기색을 보이던 참석자들의 분위기가 순식간에 일변했다.

발표가	발표/NNG+가/JKS
길어지며	길어지/VV+며/EC
지루한	지루하/VA+ㄴ/ETM
기색을	기색/NNG+을/JKO
보이던	보이/VV+던/ETM
참석자들의	참석자/NNG+들/XSN+의/JKG
분위기가	분위기/NNG+가/JKS
순식간에	순식/NNG+간/XSN+에/JKB
일변했다.	일변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.1.3.4
구글의 공동창업자 겸 최고경영자(CEO) 래리 페이지가 CEO 취임 이후 처음으로 공식 발표회 무대에 올랐기 때문이다.

구글의	구글/NNP+의/JKG
공동창업자	공동/NNG+창업자/NNG
겸	겸/NNB
최고경영자(CEO)	최고/NNG+경영자/NNG+(/SS+CEO/SL+)/SS
래리	래리/NNP
페이지가	페이지/NNP+가/JKS
CEO	CEO/SL
취임	취임/NNG
이후	이후/NNG
처음으로	처음/NNG+으로/JKB
공식	공식/NNG
발표회	발표회/NNG
무대에	무대/NNG+에/JKB
올랐기	오르/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.1.4.1
페이지는 전날 자사 소셜네트워킹서비스 '구글 플러스'에 자신의 성대(聲帶) 이상을 밝혔다.

페이지는	페이지/NNP+는/JX
전날	전날/NNG
자사	자사/NNG
소셜네트워킹서비스	소셜/NNG+네트워킹/NNG+서비스/NNG
'구글	'/SS+구글/NNP
플러스'에	플러스/NNG+'/SS+에/JKB
자신의	자신/NNG+의/JKG
성대(聲帶)	성대/NNG+(/SS+聲帶/SL+)/SS
이상을	이상/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.1.4.2
성대 좌우가 조금씩만 움직이며 목소리가 작아지는 희귀병에 걸렸다는 것이다.

성대	성대/NNG
좌우가	좌우/NNG+가/JKS
조금씩만	조금/NNG+씩/XSN+만/JX
움직이며	움직이/VV+며/EC
목소리가	목소리/NNG+가/JKS
작아지는	작아지/VV+는/ETM
희귀병에	희귀병/NNG+에/JKB
