# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.74
metadata : {}


# id : NWRW1800000036.74.1.1
유럽-중국 ‘항공기 온실가스 배출’ 충돌

유럽-중국	유럽/NNP+-/SO+중국/NNP
‘항공기	‘/SS+항공기/NNG
온실가스	온실가스/NNG
배출’	배출/NNG+’/SS
충돌	충돌/NNG


# id : NWRW1800000036.74.2.1
[한겨레] EU “탄소배출권 구입 또는 t당 100유로 벌금” 조처

[한겨레]	[/SS+한겨레/NNP+]/SS
EU	EU/SL
“탄소배출권	“/SS+탄소/NNG+배출/NNG+권/XSN
구입	구입/NNG
또는	또는/MAG
t당	t/SW+당/XSN
100유로	100/SN+유로/NNB
벌금”	벌금/NNG+”/SS
조처	조처/NNG


# id : NWRW1800000036.74.3.1
중국 항공사들 ‘불복종선언’에 “공항착륙 금지” 압박

중국	중국/NNP
항공사들	항공사/NNG+들/XSN
‘불복종선언’에	‘/SS+불/XPN+복종/NNG+선언/NNG+’/SS+에/JKB
“공항착륙	“/SS+공항/NNG+착륙/NNG
금지”	금지/NNG+”/SS
압박	압박/NNG


# id : NWRW1800000036.74.4.1
유럽이 올해부터 발효한 항공사 이산화탄소 배출 규제 조처를 놓고 중국 항공사들이 ‘불복종 선언’을 하며 반발하고 나섰다.

유럽이	유럽/NNP+이/JKS
올해부터	올해/NNG+부터/JX
발효한	발효/NNG+하/XSV+ㄴ/ETM
항공사	항공사/NNG
이산화탄소	이산화/NNG+탄소/NNG
배출	배출/NNG
규제	규제/NNG
조처를	조처/NNG+를/JKO
놓고	놓/VV+고/EC
중국	중국/NNP
항공사들이	항공사/NNG+들/XSN+이/JKS
‘불복종	‘/SS+불/XPN+복종/NNG
선언’을	선언/NNG+’/SS+을/JKO
하며	하/VV+며/EC
반발하고	반발/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.74.4.2
유럽연합(EU) 집행기구인 유럽집행위원회는 규제를 따르지 않는 항공사는 유럽 공항에 착륙을 금지시키겠다며 압박 강도를 더 높였다.

유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
집행기구인	집행/NNG+기구/NNG+이/VCP+ㄴ/ETM
유럽집행위원회는	유럽집행위원회/NNP+는/JX
규제를	규제/NNG+를/JKO
따르지	따르/VV+지/EC
않는	않/VX+는/ETM
항공사는	항공사/NNG+는/JX
유럽	유럽/NNP
공항에	공항/NNG+에/JKB
착륙을	착륙/NNG+을/JKO
금지시키겠다며	금지/NNG+시키/XSV+겠/EP+다며/EC
압박	압박/NNG
강도를	강도/NNG+를/JKO
더	더/MAG
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.74.5.1
<뉴욕 타임스> 등은 유럽집행위원회가 6일 새로운 온실가스 배출 규제를 따르지 않는 항공사는 유럽 내 공항 이착륙이 금지될 것이라고 밝혔다고 전했다.

<뉴욕	</SS+뉴욕/NNP
타임스>	타임스/NNP+>/SS
등은	등/NNB+은/JX
유럽집행위원회가	유럽집행위원회/NNP+가/JKS
6일	6/SN+일/NNB
새로운	새롭/VA+ㄴ/ETM
온실가스	온실가스/NNG
배출	배출/NNG
규제를	규제/NNG+를/JKO
따르지	따르/VV+지/EC
않는	않/VX+는/ETM
항공사는	항공사/NNG+는/JX
유럽	유럽/NNP
내	내/NNB
공항	공항/NNG
이착륙이	이착륙/NNG+이/JKS
금지될	금지/NNG+되/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
