# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.393
metadata : {}


# id : NWRW1800000048.393.1.1
“이적단체 해산명령하게 보안법 개정”

“이적단체	“/SS+이적/NNG+단체/NNG
해산명령하게	해산/NNG+명령/NNG+하/XSV+게/EC
보안법	보안법/NNG
개정”	개정/NNG+”/SS


# id : NWRW1800000048.393.2.1
법무부 업무보고

법무부	법무부/NNG
업무보고	업무/NNG+보고/NNG


# id : NWRW1800000048.393.3.1
법무부(장관 황교안)가 21일 대통령 업무보고에서 반국가·이적단체에 대한 해산의 법적 근거를 마련하고 공안 수사 역량을 키우는 등 ‘공안 드라이브’를 강화하겠다는 방침을 밝혔다.

법무부(장관	법무부/NNG+(/SS+장관/NNG
황교안)가	황교안/NNP+)/SS+가/JKS
21일	21/SN+일/NNB
대통령	대통령/NNG
업무보고에서	업무/NNG+보고/NNG+에서/JKB
반국가·이적단체에	반/XPN+국가/NNG+·/SP+이적/NNG+단체/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
해산의	해산/NNG+의/JKG
법적	법/NNG+적/XSN
근거를	근거/NNG+를/JKO
마련하고	마련/NNG+하/XSV+고/EC
공안	공안/NNG
수사	수사/NNG
역량을	역량/NNG+을/JKO
키우는	키우/VV+는/ETM
등	등/NNB
‘공안	‘/SS+공안/NNG
드라이브’를	드라이브/NNG+’/SS+를/JKO
강화하겠다는	강화/NNG+하/XSV+겠/EP+다는/ETM
방침을	방침/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.393.3.2
박근혜 대통령은 “헌법 가치”와 “엄중한 법집행”을 강조하며 이런 정책 기조에 무게를 실어줬다.

박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
“헌법	“/SS+헌법/NNG
가치”와	가치/NNG+”/SS+와/JC
“엄중한	“/SS+엄중/NNG+하/XSA+ㄴ/ETM
법집행”을	법/NNG+집행/NNG+”/SS+을/JKO
강조하며	강조/NNG+하/XSV+며/EC
이런	이런/MMD
정책	정책/NNG
기조에	기조/NNG+에/JKB
무게를	무게/NNG+를/JKO
실어줬다.	싣/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000048.393.4.1
법무부는 이날 오전 청와대에서 열린 8개 부처 합동 업무보고에서, 법원이 이적단체·반국가단체로 인정한 단체의 활동과 설립을 막을 수 있는 법적 근거를 마련하겠다고 밝혔다.

법무부는	법무부/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
청와대에서	청와대/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
8개	8/SN+개/NNB
부처	부처/NNG
합동	합동/NNG
업무보고에서,	업무/NNG+보고/NNG+에서/JKB+,/SP
법원이	법원/NNG+이/JKS
이적단체·반국가단체로	이적/NNG+단체/NNG+·/SP+반/XPN+국가/NNG+단체/NNG+로/JKB
인정한	인정/NNG+하/XSV+ㄴ/ETM
단체의	단체/NNG+의/JKG
활동과	활동/NNG+과/JC
설립을	설립/NNG+을/JKO
막을	막/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
법적	법/NNG+적/XSN
근거를	근거/NNG+를/JKO
마련하겠다고	마련/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.393.4.2
이적단체 활동에 대해 사후적 처벌을 넘어, 선제적 대응을 하겠다는 뜻이다.

이적단체	이적/NNG+단체/NNG
활동에	활동/NNG+에/JKB
대해	대하/VV+아/EC
사후적	사후/NNG+적/XSN
처벌을	처벌/NNG+을/JKO
넘어,	넘/VV+어/EC+,/SP
선제적	선제/NNG+적/XSN
대응을	대응/NNG+을/JKO
하겠다는	하/VV+겠/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.393.4.3
법무부는 이적단체의 해산을 명령하거나, 해산 명령을 이행하지 않을 경우 이행강제금을 부과하는 내용으로 국가보안법 개정을 추진할 방침이다.

법무부는	법무부/NNG+는/JX
이적단체의	이적/NNG+단체/NNG+의/JKG
해산을	해산/NNG+을/JKO
명령하거나,	명령/NNG+하/XSV+거나/EC+,/SP
해산	해산/NNG
명령을	명령/NNG+을/JKO
이행하지	이행/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
이행강제금을	이행/NNG+강제금/NNG+을/JKO
부과하는	부과/NNG+하/XSV+는/ETM
내용으로	내용/NNG+으로/JKB
국가보안법	국가/NNG+보안법/NNG
개정을	개정/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.393.4.4
친북 인터넷 누리집 모니터링도 강화하겠다고 밝혔다.

친북	친북/NNG
인터넷	인터넷/NNG
