# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.368
metadata : {}


# id : NWRW1800000028.368.1.1
미, 시진핑 성향 파악 안돼 ‘판단유보’ /일 ‘대일 강경’ 장쩌민쪽 인물 경계심

미,	미/NNP+,/SP
시진핑	시진핑/NNP
성향	성향/NNG
파악	파악/NNG
안돼	안/MAG+되/XSV+어/EC
‘판단유보’	‘/SS+판단/NNG+유보/NNG+’/SS
/일	//SP+일/NNP
‘대일	‘/SS+대일/NNG
강경’	강경/NNG+’/SS
장쩌민쪽	장쩌민/NNP+쪽/NNB
인물	인물/NNG
경계심	경계심/NNG


# id : NWRW1800000028.368.2.1
시진핑 국가부주석을 차기 최고지도자로 사실상 확정하고 분배에 중점을 둔 경제정책 방향을 제시한 중국 공산당 17차 중앙위원회 5차 전체회의(5중전회) 결과에 대해 미국과 일본 등 주요국 정부와 언론들도 비상한 관심을 나타냈다.

시진핑	시진핑/NNP
국가부주석을	국가/NNG+부주석/NNG+을/JKO
차기	차기/NNG
최고지도자로	최고/NNG+지도자/NNG+로/JKB
사실상	사실/NNG+상/XSN
확정하고	확정/NNG+하/XSV+고/EC
분배에	분배/NNG+에/JKB
중점을	중점/NNG+을/JKO
둔	두/VV+ㄴ/ETM
경제정책	경제/NNG+정책/NNG
방향을	방향/NNG+을/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
중국	중국/NNP
공산당	공산당/NNP
17차	17/SN+차/NNB
중앙위원회	중앙/NNG+위원회/NNG
5차	5/SN+차/NNB
전체회의(5중전회)	전체/NNG+회의/NNG+(/SS+5/SN+중전회/NNG+)/SS
결과에	결과/NNG+에/JKB
대해	대하/VV+아/EC
미국과	미국/NNP+과/JC
일본	일본/NNP
등	등/NNB
주요국	주요국/NNG
정부와	정부/NNG+와/JC
언론들도	언론/NNG+들/XSN+도/JX
비상한	비상/NNG+하/XSA+ㄴ/ETM
관심을	관심/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.368.2.2
하지만 시 부주석에 대해서는 알려진 게 많지 않다는 이유로 대개 ‘판단 유보’를 하는 경향을 보였다.

하지만	하지만/MAJ
시	시/NNP
부주석에	부주석/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
알려진	알려지/VV+ㄴ/ETM
게	거/NNB+이/JKS
많지	많/VA+지/EC
않다는	않/VX+다는/ETM
이유로	이유/NNG+로/JKB
대개	대개/MAG
‘판단	‘/SS+판단/NNG
유보’를	유보/NNG+’/SS+를/JKO
하는	하/VV+는/ETM
경향을	경향/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.368.3.1
미국 <뉴욕 타임스>는 시 부주석이 공산당 원로인 아버지와 후진타오 국가주석의 후광으로 권력 정점에 다가섰고, 중국이 마오쩌둥이나 덩샤오핑 통치기와는 달리 집단지도체제로 운영된다는 이유로 그의 개인적 중요성은 떨어진다고 분석했다.

미국	미국/NNP
<뉴욕	</SS+뉴욕/NNP
타임스>는	타임스/NNP+>/SS+는/JX
시	시/NNP
부주석이	부주석/NNG+이/JKS
공산당	공산당/NNP
원로인	원로/NNG+이/VCP+ㄴ/ETM
아버지와	아버지/NNG+와/JC
후진타오	후진타오/NNP
국가주석의	국가주석/NNG+의/JKG
후광으로	후광/NNG+으로/JKB
권력	권력/NNG
정점에	정점/NNG+에/JKB
다가섰고,	다가서/VV+었/EP+고/EC+,/SP
중국이	중국/NNP+이/JKS
마오쩌둥이나	마오쩌둥/NNP+이나/JC
덩샤오핑	덩샤오핑/NNP
통치기와는	통치기/NNG+와/JKB+는/JX
달리	달리/MAG
집단지도체제로	집단/NNG+지도/NNG+체제/NNG+로/JKB
운영된다는	운영/NNG+되/XSV+ㄴ다는/ETM
이유로	이유/NNG+로/JKB
그의	그/NP+의/JKG
개인적	개인/NNG+적/XSN
중요성은	중요/NNG+성/XSN+은/JX
떨어진다고	떨어지/VV+ㄴ다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.368.3.2
더구나 성향을 잘 드러내지 않는 시 부주석의 스타일 때문에 그의 통치 비전은 “물음표로 남아 있다”고 보도했다.

더구나	더구나/MAG
성향을	성향/NNG+을/JKO
잘	잘/MAG
드러내지	드러내/VV+지/EC
않는	않/VX+는/ETM
시	시/NNP
부주석의	부주석/NNG+의/JKG
스타일	스타일/NNG
때문에	때문/NNB+에/JKB
그의	그/NP+의/JKG
통치	통치/NNG
비전은	비전/NNG+은/JX
“물음표로	“/SS+물음표/NNG+로/JKB
남아	남/VV+아/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.368.3.3
이 신문은 중국이 성장 위주의 정책을 분배 위주로 전환한다고 명시한 것에 주목했다.

이	이/MMD
신문은	신문/NNG+은/JX
중국이	중국/NNP+이/JKS
성장	성장/NNG
위주의	위주/NNG+의/JKG
정책을	정책/NNG+을/JKO
분배	분배/NNG
위주로	위주/NNG+로/JKB
전환한다고	전환/NNG+하/XSV+ㄴ다고/EC
명시한	명시/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
주목했다.	주목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.368.4.1
<워싱턴 포스트>는 언론·표현의 자유에 대한 요구가 분출하는 가운데 이번 회의가 정치개혁은 짧게 언급하고 넘어가 버렸다고 지적했다.

<워싱턴	</SS+워싱턴/NNP
포스트>는	포스트/NNP+>/SS+는/JX
언론·표현의	언론/NNG+·/SP+표현/NNG+의/JKG
자유에	자유/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
요구가	요구/NNG+가/JKS
분출하는	분출/NNG+하/XSV+는/ETM
가운데	가운데/NNG
이번	이번/NNG
회의가	회의/NNG+가/JKS
정치개혁은	정치/NNG+개혁/NNG+은/JX
짧게	짧/VA+게/EC
언급하고	언급/NNG+하/XSV+고/EC
넘어가	넘어가/VV+아/EC
버렸다고	버리/VX+었/EP+다고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.368.4.2
또 시 부주석이 지난해 2월 멕시코에서 중국인들에게 연설하면서 “중국은 기아와 빈곤을 수출하지 않는다”며, ‘배부른 외국인들’은 중국 내정에 간섭하지 말아야 한다고 말했다는 일화를 소개했다.

또	또/MAG
시	시/NNP
부주석이	부주석/NNG+이/JKS
지난해	지난해/NNG
2월	2/SN+월/NNB
멕시코에서	멕시코/NNP+에서/JKB
중국인들에게	중국인/NNG+들/XSN+에게/JKB
연설하면서	연설/NNG+하/XSV+면서/EC
“중국은	“/SS+중국/NNP+은/JX
기아와	기아/NNG+와/JC
빈곤을	빈곤/NNG+을/JKO
수출하지	수출/NNG+하/XSV+지/EC
않는다”며,	않/VX+는다/EF+”/SS+며/EC+,/SP
‘배부른	‘/SS+배부르/VA+ㄴ/ETM
외국인들’은	외국인/NNG+들/XSN+’/SS+은/JX
중국	중국/NNP
내정에	내정/NNG+에/JKB
간섭하지	간섭/NNG+하/XSV+지/EC
말아야	말/VX+아야/EC
한다고	하/VX+ㄴ다고/EC
말했다는	말/NNG+하/XSV+았/EP+다는/ETM
일화를	일화/NNG+를/JKO
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.368.4.3
시 부주석이 서구에는 호의적이지 않다는 의미인 셈이다.

시	시/NNP
부주석이	부주석/NNG+이/JKS
서구에는	서구/NNG+에/JKB+는/JX
호의적이지	호의/NNG+적/XSN+이/VCP+지/EC
않다는	않/VX+다는/ETM
의미인	의미/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.368.5.1
일본 정부는 시 부주석이 지난해 12월 방일했을 때 한달 전에 일정을 잡는 관례를 깨고 일왕 예방을 성사시켜 차기 최고지도자에 대한 예우에 신경을 쓴 바 있다.

일본	일본/NNP
정부는	정부/NNG+는/JX
시	시/NNP
부주석이	부주석/NNG+이/JKS
지난해	지난해/NNG
12월	12/SN+월/NNB
방일했을	방일/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
한달	한/MMN+달/NNB
전에	전/NNG+에/JKB
일정을	일정/NNG+을/JKO
잡는	잡/VV+는/ETM
관례를	관례/NNG+를/JKO
깨고	깨/VV+고/EC
일왕	일왕/NNG
예방을	예방/NNG+을/JKO
성사시켜	성사/NNG+시키/XSV+어/EC
차기	차기/NNG
최고지도자에	최고/NNG+지도자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
예우에	예우/NNG+에/JKB
신경을	신경/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.368.5.2
일본 외무성은 ‘시 부주석이 이미 최고지도부의 한 사람인 만큼 이번 인사로 중국의 내정이나 외교 방침이 크게 바뀌지는 않을 것’이라는 희망을 내비쳤다.

일본	일본/NNP
외무성은	외무성/NNG+은/JX
‘시	‘/SS+시/NNP
부주석이	부주석/NNG+이/JKS
이미	이미/MAG
최고지도부의	최고/NNG+지도부/NNG+의/JKG
한	한/MMN
사람인	사람/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
이번	이번/NNG
인사로	인사/NNG+로/JKB
중국의	중국/NNP+의/JKG
내정이나	내정/NNG+이나/JC
외교	외교/NNG
방침이	방침/NNG+이/JKS
크게	크/VA+게/EC
바뀌지는	바뀌/VV+지/EC+는/JX
않을	않/VX+을/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
희망을	희망/NNG+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.368.6.1
그러나 일본 언론들은 ‘대일 강경자세를 취한 장쩌민 전 주석의 추천으로 발탁된 인물’이라며 경계심을 나타냈다.

그러나	그러나/MAJ
일본	일본/NNP
언론들은	언론/NNG+들/XSN+은/JX
‘대일	‘/SS+대일/NNG
강경자세를	강경/NNG+자세/NNG+를/JKO
취한	취하/VV+ㄴ/ETM
장쩌민	장쩌민/NNP
전	전/MMD
주석의	주석/NNG+의/JKG
추천으로	추천/NNG+으로/JKB
발탁된	발탁/NNG+되/XSV+ㄴ/ETM
인물’이라며	인물/NNG+’/SS+이/VCP+라며/EC
경계심을	경계심/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.368.6.2
<아사히신문>은 “중국 정치인에게 대일관계는 정치적 무덤이 될 수 있는 만큼, 시진핑은 신중하게 처신할 것”이라며 “센카쿠 사태 등으로 강경파의 발언권이 커진 상황이라, 대일관계를 중시한 후진타오 정권보다 강경자세를 취할 수밖에 없는 국면에 있다”고 분석했다.

<아사히신문>은	</SS+아사히신문/NNP+>/SS+은/JX
“중국	“/SS+중국/NNP
정치인에게	정치인/NNG+에게/JKB
대일관계는	대일/NNG+관계/NNG+는/JX
정치적	정치/NNG+적/XSN
무덤이	무덤/NNG+이/JKS
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
만큼,	만큼/NNB+,/SP
시진핑은	시진핑/NNP+은/JX
신중하게	신중/NNG+하/XSA+게/EC
처신할	처신/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“센카쿠	“/SS+센카쿠/NNP
사태	사태/NNG
등으로	등/NNB+으로/JKB
강경파의	강경파/NNG+의/JKG
발언권이	발언/NNG+권/XSN+이/JKS
커진	커지/VV+ㄴ/ETM
상황이라,	상황/NNG+이/VCP+라/EC+,/SP
대일관계를	대일/NNG+관계/NNG+를/JKO
중시한	중시/NNG+하/XSV+ㄴ/ETM
후진타오	후진타오/NNP
정권보다	정권/NNG+보다/JKB
강경자세를	강경/NNG+자세/NNG+를/JKO
취할	취하/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
국면에	국면/NNG+에/JKB
있다”고	있/VA+다/EF+”/SS+고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


