# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.196
metadata : {}


# id : NWRW1800000033.196.1.1
“생글생글 서빙하던 사장이 내 딸 죽인 악마라니…”

“생글생글	“/SS+생글생글/MAG
서빙하던	서빙/NNG+하/XSV+던/ETM
사장이	사장/NNG+이/JKS
내	나/NP+의/JKG
딸	딸/NNG
죽인	죽이/VV+ㄴ/ETM
악마라니…”	악마/NNG+이/VCP+라니/EF+…/SE+”/SS


# id : NWRW1800000033.196.2.1
성폭행 자살한 서산 피자 아르바이트생 부모의 한숨

성폭행	성폭행/NNG
자살한	자살/NNG+하/XSV+ㄴ/ETM
서산	서산/NNP
피자	피자/NNG
아르바이트생	아르바이트/NNG+생/XSN
부모의	부모/NNG+의/JKG
한숨	한/XPN+숨/NNG


# id : NWRW1800000033.196.3.1
“딸의 자살 기미도 눈치채지 못한 게 어미랍니까.

“딸의	“/SS+딸/NNG+의/JKG
자살	자살/NNG
기미도	기미/NNG+도/JX
눈치채지	눈치채/VV+지/EC
못한	못하/VX+ㄴ/ETM
게	거/NNB+이/JKS
어미랍니까.	어미/NNG+이/VCP+랍니까/EF+./SF


# id : NWRW1800000033.196.3.2
우리 애는 자존심이 강해 친구들 사이에서 억울한 일이 있으면 사소한 일이라도 밝히는 성격이었어요.

우리	우리/NP
애는	애/NNG+는/JX
자존심이	자존심/NNG+이/JKS
강해	강하/VA+아/EC
친구들	친구/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
억울한	억울/NNG+하/XSA+ㄴ/ETM
일이	일/NNG+이/JKS
있으면	있/VA+으면/EC
사소한	사소하/VA+ㄴ/ETM
일이라도	일/NNG+이/VCP+라도/EC
밝히는	밝히/VV+는/ETM
성격이었어요.	성격/NNG+이/VCP+었/EP+어요/EF+./SF


# id : NWRW1800000033.196.3.3
지나고 보니 집을 나가던 날 표정이 어두웠어요.

지나고	지나/VV+고/EC
보니	보/VX+니/EC
집을	집/NNG+을/JKO
나가던	나가/VV+던/ETM
날	날/NNG
표정이	표정/NNG+이/JKS
어두웠어요.	어둡/VA+었/EP+어요/EF+./SF


# id : NWRW1800000033.196.3.4
한 시간씩 먹던 밥도 빨리 먹고 몸치장하는 시간도 평소보다 빨랐어요.

한	한/MMN
시간씩	시간/NNB+씩/XSN
먹던	먹/VV+던/ETM
밥도	밥/NNG+도/JX
빨리	빨리/MAG
먹고	먹/VV+고/EC
몸치장하는	몸치장/NNG+하/XSV+는/ETM
시간도	시간/NNG+도/JX
평소보다	평소/NNG+보다/JKB
빨랐어요.	빠르/VA+았/EP+어요/EF+./SF


# id : NWRW1800000033.196.3.5
그런데 어미라는 게 그걸 알아차리지 못했어요.”

그런데	그런데/MAJ
어미라는	어미/NNG+이/VCP+라는/ETM
게	거/NNB+이/JKS
그걸	그거/NP+ㄹ/JKO
알아차리지	알아차리/VV+지/EC
못했어요.”	못하/VX+았/EP+어요/EF+./SF+”/SS


# id : NWRW1800000033.196.4.1
충남 서산시 피자가게에서 아르바이트를 하다 고용주에게 성폭행을 당한 뒤 10일 스스로 목숨을 끊은 여대생 이모 씨(23)의 아버지 이원구 씨(53)와 어머니 김미숙 씨(49)는 기자 앞에서 고개를 거의 들지 못했다.

충남	충남/NNP
서산시	서산시/NNP
피자가게에서	피자/NNG+가게/NNG+에서/JKB
아르바이트를	아르바이트/NNG+를/JKO
하다	하/VV+다/EC
고용주에게	고용주/NNG+에게/JKB
성폭행을	성폭행/NNG+을/JKO
당한	당하/VV+ㄴ/ETM
뒤	뒤/NNG
10일	10/SN+일/NNB
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊은	끊/VV+은/ETM
여대생	여대/NNG+생/XSN
이모	이/NNP+모/NP
씨(23)의	씨/NNB+(/SS+23/SN+)/SS+의/JKG
아버지	아버지/NNG
이원구	이원구/NNP
씨(53)와	씨/NNB+(/SS+53/SN+)/SS+와/JC
어머니	어머니/NNG
김미숙	김미숙/NNP
씨(49)는	씨/NNB+(/SS+49/SN+)/SS+는/JX
기자	기자/NNG
앞에서	앞/NNG+에서/JKB
고개를	고개/NNG+를/JKO
거의	거의/MAG
들지	들/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.196.4.2
죄를 지어서가 아니라, 세상을 바라보고 싶지 않은 듯 방바닥만 바라봤다.

죄를	죄/NNG+를/JKO
지어서가	짓/VV+어서/EC+가/JKC
아니라,	아니/VCN+라/EC+,/SP
세상을	세상/NNG+을/JKO
바라보고	바라보/VV+고/EC
싶지	싶/VX+지/EC
않은	않/VX+은/ETM
듯	듯/NNB
방바닥만	방바닥/NNG+만/JX
바라봤다.	바라보/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.196.5.1
22일 밤 서산시 음암면 자택에서 만난 이 씨 부부는 “처음 경찰에서 오라고 했을 때 이상한 느낌에 가슴이 철렁했다.

22일	22/SN+일/NNB
밤	밤/NNG
서산시	서산시/NNP
음암면	음암면/NNP
자택에서	자택/NNG+에서/JKB
만난	만나/VV+ㄴ/ETM
이	이/NNP
씨	씨/NNB
부부는	부부/NNG+는/JX
“처음	“/SS+처음/NNG
경찰에서	경찰/NNG+에서/JKB
오라고	오/VV+라고/EC
했을	하/VV+았/EP+을/ETM
때	때/NNG
이상한	이상/NNG+하/XSA+ㄴ/ETM
느낌에	느낌/NNG+에/JKB
가슴이	가슴/NNG+이/JKS
철렁했다.	철렁/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.196.5.2
유서를 내미는데 ‘왜 그러냐’고 되물었다”며 “유서를 보니 ‘피자 개새끼’라는 표현이 있었다.

유서를	유서/NNG+를/JKO
내미는데	내밀/VV+는데/EC
‘왜	‘/SS+왜/MAG
그러냐’고	그러/VV+냐/EF+’/SS+고/JKQ
되물었다”며	되묻/VV+었/EP+다/EF+”/SS+며/EC
“유서를	“/SS+유서/NNG+를/JKO
보니	보/VV+니/EC
‘피자	‘/SS+피자/NNG
개새끼’라는	개새끼/NNG+’/SS+이/VCP+라는/ETM
표현이	표현/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.196.5.3
너무 깜짝 놀라 ‘이게 무슨 내용이냐’며 몇 번이나 되묻다 읽어 봤다”고 했다.

너무	너무/MAG
깜짝	깜짝/MAG
놀라	놀라/VV+아/EC
‘이게	‘/SS+이거/NP+이/JKS
무슨	무슨/MMD
내용이냐’며	내용/NNG+이/VCP+냐/EF+’/SS+며/EC
몇	몇/NR
번이나	번/NNB+이나/JX
되묻다	되묻/VV+다/EC
읽어	읽/VV+어/EC
봤다”고	보/VX+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.196.6.1
김 씨는 “딸은 어린이집, 커피집, 아이스크림가게 등의 아르바이트 자리를 알아봤다.

김	김/NNP
씨는	씨/NNB+는/JX
“딸은	“/SS+딸/NNG+은/JX
어린이집,	어린이집/NNG+,/SP
커피집,	커피집/NNG+,/SP
아이스크림가게	아이스크림/NNG+가게/NNG
등의	등/NNB+의/JKG
아르바이트	아르바이트/NNG
자리를	자리/NNG+를/JKO
알아봤다.	알아보/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.196.6.2
피자집 아르바이트를 시작하고 나서 나도 세 번 가봤다.

피자집	피자집/NNG
아르바이트를	아르바이트/NNG+를/JKO
시작하고	시작/NNG+하/XSV+고/EC
나서	나/VX+아서/EC
나도	나/NP+도/JX
세	세/MMN
번	번/NNB
가봤다.	가/VV+아/EC+보/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.196.6.3
그 집 피자도 먹었다”고 했다.

그	그/MMD
집	집/NNG
피자도	피자/NNG+도/JX
먹었다”고	먹/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.196.7.1
“사장은 당시 서빙을 하고 있었어요.

“사장은	“/SS+사장/NNG+은/JX
당시	당시/NNG
서빙을	서빙/NNG+을/JKO
하고	하/VV+고/EC
있었어요.	있/VX+었/EP+어요/EF+./SF


# id : NWRW1800000033.196.7.2
생글생글 웃어가면서 접시를 가져다 줬어요.

생글생글	생글생글/MAG
웃어가면서	웃/VV+어/EC+가/VX+면서/EC
접시를	접시/NNG+를/JKO
가져다	가지/VV+어다/EC
줬어요.	주/VX+었/EP+어요/EF+./SF


# id : NWRW1800000033.196.7.3
인상이 좋은 악마라는 걸, 탈을 쓴 늑대라는 것도 모르고….

인상이	인상/NNG+이/JKS
좋은	좋/VA+은/ETM
악마라는	악마/NNG+이/VCP+라는/ETM
걸,	거/NNB+ㄹ/JKO+,/SP
탈을	탈/NNG+을/JKO
쓴	쓰/VV+ㄴ/ETM
늑대라는	늑대/NNG+이/VCP+라는/ETM
것도	것/NNB+도/JX
모르고….	모르/VV+고/EC+…/SE+./SF


# id : NWRW1800000033.196.7.4
거기서 음식을 먹었으니 정말….”

거기서	거기/NP+서/JKB
음식을	음식/NNG+을/JKO
먹었으니	먹/VV+었/EP+으니/EC
정말….”	정말/MAG+…/SE+./SF+”/SS


# id : NWRW1800000033.196.8.1
이 씨는 “딸은 지난해 7월 장마철에 중장비 기사인 내가 허리 디스크로 일을 못하자 휴학해서 자격증을 따겠다고 했다.

이	이/NNP
씨는	씨/NNB+는/JX
“딸은	“/SS+딸/NNG+은/JX
지난해	지난해/NNG
7월	7/SN+월/NNB
장마철에	장마철/NNG+에/JKB
중장비	중장비/NNG
기사인	기사/NNG+이/VCP+ㄴ/ETM
내가	내/NP+가/JKS
허리	허리/NNG
디스크로	디스크/NNG+로/JKB
일을	일/NNG+을/JKO
못하자	못/MAG+하/VV+자/EC
휴학해서	휴학/NNG+하/XSV+아서/EC
자격증을	자격증/NNG+을/JKO
따겠다고	따/VV+겠/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.196.8.2
그러면 나중에 취직을 해도 더 좋다며 경험을 쌓는다고 휴학했다”며 눈물을 참았다.

그러면	그러면/MAJ
나중에	나중/NNG+에/JKB
취직을	취직/NNG+을/JKO
해도	하/VV+아도/EC
더	더/MAG
좋다며	좋/VA+다며/EC
경험을	경험/NNG+을/JKO
쌓는다고	쌓/VV+는다고/EC
휴학했다”며	휴학/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
눈물을	눈물/NNG+을/JKO
참았다.	참/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.196.9.1
“딸은 졸업하면 미술학원에 취직해서 가정방문 학습지 교사를 하려고 했어요.

“딸은	“/SS+딸/NNG+은/JX
졸업하면	졸업/NNG+하/XSV+면/EC
미술학원에	미술/NNG+학원/NNG+에/JKB
취직해서	취직/NNG+하/XSV+아서/EC
가정방문	가정/NNG+방문/NNG
학습지	학습지/NNG
교사를	교사/NNG+를/JKO
하려고	하/VV+려고/EC
했어요.	하/VX+았/EP+어요/EF+./SF


# id : NWRW1800000033.196.9.2
정말 겁도 많고 파리채도 제대로 치지 못하는 아이였어요.”

정말	정말/MAG
겁도	겁/NNG+도/JX
많고	많/VA+고/EC
파리채도	파리채/NNG+도/JX
제대로	제대로/MAG
치지	치/VV+지/EC
못하는	못하/VX+는/ETM
아이였어요.”	아이/NNG+이/VCP+었/EP+어요/EF+./SF+”/SS


# id : NWRW1800000033.196.10.1
