# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.343
metadata : {}


# id : NWRW1800000033.343.1.1
“한국인을 뽑고 싶어요”

“한국인을	“/SS+한국인/NNG+을/JKO
뽑고	뽑/VV+고/EC
싶어요”	싶/VX+어요/EF+”/SS


# id : NWRW1800000033.343.2.1
《 5월 아랍에미리트의 국적항공사 에미레이트항공 디자이너로 입사한 조소영 씨(26·여)는 대학에서 공예를 전공한 미술학도이지만 다른 친구들과 달리 아일랜드로 2년간 어학연수를 다녀오는 등 어학 공부에 공을 들였다.

《	《/SS
5월	5/SN+월/NNB
아랍에미리트의	아랍에미리트/NNP+의/JKG
국적항공사	국적/NNG+항공사/NNG
에미레이트항공	에미레이트항공/NNP
디자이너로	디자이너/NNG+로/JKB
입사한	입사/NNG+하/XSV+ㄴ/ETM
조소영	조소영/NNP
씨(26·여)는	씨/NNB+(/SS+26/SN+·/SP+여/NNG+)/SS+는/JX
대학에서	대학/NNG+에서/JKB
공예를	공예/NNG+를/JKO
전공한	전공/NNG+하/XSV+ㄴ/ETM
미술학도이지만	미술학도/NNG+이/VCP+지만/EC
다른	다른/MMD
친구들과	친구/NNG+들/XSN+과/JKB
달리	달리/MAG
아일랜드로	아일랜드/NNP+로/JKB
2년간	2/SN+년/NNB+간/XSN
어학연수를	어학연수/NNG+를/JKO
다녀오는	다녀오/VV+는/ETM
등	등/NNB
어학	어학/NNG
공부에	공부/NNG+에/JKB
공을	공/NNG+을/JKO
들였다.	들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.343.2.2
조 씨는 “어릴 때부터 여행을 좋아했던 터라 한국이 아닌 세계를 무대로 일하고 싶었다”며 “한국인 디자인 인력을 찾는다는 공고를 보고 망설임 없이 중동행 비행기를 탔다”고 말했다.

조	조/NNP
씨는	씨/NNB+는/JX
“어릴	“/SS+어리/VA+ㄹ/ETM
때부터	때/NNG+부터/JX
여행을	여행/NNG+을/JKO
좋아했던	좋아하/VV+았/EP+던/ETM
터라	터/NNB+이/VCP+라/EC
한국이	한국/NNP+이/JKC
아닌	아니/VCN+ㄴ/ETM
세계를	세계/NNG+를/JKO
무대로	무대/NNG+로/JKB
일하고	일/NNG+하/XSV+고/EC
싶었다”며	싶/VX+었/EP+다/EF+”/SS+며/EC
“한국인	“/SS+한국인/NNG
디자인	디자인/NNG
인력을	인력/NNG+을/JKO
찾는다는	찾/VV+는다는/ETM
공고를	공고/NNG+를/JKO
보고	보/VV+고/EC
망설임	망설임/NNG
없이	없이/MAG
중동행	중동행/NNG
비행기를	비행기/NNG+를/JKO
탔다”고	타/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.343.2.3
조 씨는 중동에서 일을 하며 영어와 독일어를 익힌 후 루프트한자 같은 독일회사에서 일하고 싶다는 꿈을 갖고 있다.》

조	조/NNP
씨는	씨/NNB+는/JX
중동에서	중동/NNP+에서/JKB
일을	일/NNG+을/JKO
하며	하/VV+며/EC
영어와	영어/NNP+와/JC
독일어를	독일어/NNP+를/JKO
익힌	익히/VV+ㄴ/ETM
후	후/NNG
루프트한자	루프트한자/NNP
같은	같/VA+은/ETM
독일회사에서	독일/NNP+회사/NNG+에서/JKB
일하고	일/NNG+하/XSV+고/EC
싶다는	싶/VX+다는/ETM
꿈을	꿈/NNG+을/JKO
갖고	갖/VV+고/EC
있다.》	있/VX+다/EF+./SF+》/SS


# id : NWRW1800000033.343.3.1
수년 전만 해도 해외 비즈니스 시장에서 한국인은 어학 때문에 반쪽짜리 전문가라는 평이 많았다.

수년	수년/NNG
전만	전/NNG+만/JX
해도	하/VV+아도/EC
해외	해외/NNG
비즈니스	비즈니스/NNG
시장에서	시장/NNG+에서/JKB
한국인은	한국인/NNG+은/JX
어학	어학/NNG
때문에	때문/NNB+에/JKB
반쪽짜리	반쪽/NNG+짜리/XSN
전문가라는	전문가/NNG+이/VCP+라는/ETM
평이	평/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.343.3.2
하지만 경제 성장과 함께 한국의 위상이 높아지면서 글로벌 마인드를 가진 한국 인재들이 국제사회의 러브콜을 받고 있다.

하지만	하지만/MAJ
경제	경제/NNG
성장과	성장/NNG+과/JKB
함께	함께/MAG
한국의	한국/NNP+의/JKG
위상이	위상/NNG+이/JKS
높아지면서	높아지/VV+면서/EC
글로벌	글로벌/NNG
마인드를	마인드/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
한국	한국/NNP
인재들이	인재/NNG+들/XSN+이/JKS
국제사회의	국제/NNG+사회/NNG+의/JKG
러브콜을	러브콜/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.343.3.3
다양한 해외경험으로 쌓은 어학실력도 다른 아시아 인재들과의 경쟁에서 우위를 갖게 했다.

다양한	다양/NNG+하/XSA+ㄴ/ETM
해외경험으로	해외/NNG+경험/NNG+으로/JKB
쌓은	쌓/VV+은/ETM
어학실력도	어학/NNG+실력/NNG+도/JX
다른	다른/MMD
아시아	아시아/NNP
인재들과의	인재/NNG+들/XSN+과/JKB+의/JKG
경쟁에서	경쟁/NNG+에서/JKB
우위를	우위/NNG+를/JKO
갖게	갖/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.343.4.1
6일 한국산업인력공단에 따르면 공단에 접수된 구인 요청 건수는 2008년 3152건, 2009년 3839건, 2010년 5227건, 2011년 5564건으로 매년 크게 늘고 있다.

6일	6/SN+일/NNB
한국산업인력공단에	한국산업인력공단/NNP+에/JKB
따르면	따르/VV+면/EC
공단에	공단/NNG+에/JKB
접수된	접수/NNG+되/XSV+ㄴ/ETM
구인	구인/NNG
요청	요청/NNG
건수는	건수/NNG+는/JX
2008년	2008/SN+년/NNB
3152건,	3152/SN+건/NNB+,/SP
2009년	2009/SN+년/NNB
3839건,	3839/SN+건/NNB+,/SP
2010년	2010/SN+년/NNB
5227건,	5227/SN+건/NNB+,/SP
2011년	2011/SN+년/NNB
5564건으로	5564/SN+건/NNB+으로/JKB
매년	매년/MAG
크게	크/VA+게/EC
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.343.4.2
올 들어 전 세계적인 경기 위축에도 한국 인재를 찾는 해외 기업들의 발길은 줄어들지 않아 7월 말 현재 3367건에 이른다.

올	올/NNG
들어	들/VV+어/EC
전	전/MMN
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
경기	경기/NNG
위축에도	위축/NNG+에/JKB+도/JX
한국	한국/NNP
인재를	인재/NNG+를/JKO
찾는	찾/VV+는/ETM
해외	해외/NNG
기업들의	기업/NNG+들/XSN+의/JKG
발길은	발길/NNG+은/JX
줄어들지	줄어들/VV+지/EC
않아	않/VX+아/EC
7월	7/SN+월/NNB
말	말/NNB
현재	현재/MAG
3367건에	3367/SN+건/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.343.5.1
한국과 일본 간 외교적 마찰에도 불구하고 일본 기업들은 방한해 입사설명회를 할 정도다.

한국과	한국/NNP+과/JC
일본	일본/NNP
간	간/NNB
외교적	외교/NNG+적/XSN
마찰에도	마찰/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
기업들은	기업/NNG+들/XSN+은/JX
방한해	방한/NNG+하/XSV+아/EC
입사설명회를	입사/NNG+설명회/NNG+를/JKO
할	하/VV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.343.5.2
연 매출액이 20조 원을 웃도는 일본 굴지의 중공업 기업 IHI는 지난달 29일 서울 중구 페럼타워에서 사전 서류전형을 통과한 지원자를 대상으로 면접전형을 치렀다.

연	연/NNG
매출액이	매출액/NNG+이/JKS
20조	20/SN+조/NR
원을	원/NNB+을/JKO
웃도는	웃돌/VV+는/ETM
일본	일본/NNP
굴지의	굴지/NNG+의/JKG
중공업	중공업/NNG
기업	기업/NNG
IHI는	IHI/SL+는/JX
지난달	지난달/NNG
29일	29/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
페럼타워에서	페럼타워/NNP+에서/JKB
사전	사전/NNG
서류전형을	서류/NNG+전형/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
지원자를	지원자/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
면접전형을	면접/NNG+전형/NNG+을/JKO
치렀다.	치르/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.343.5.3
IHI는 2008년 이후 매년 한국 대졸 취업자를 뽑고 있다.

IHI는	IHI/SL+는/JX
2008년	2008/SN+년/NNB
이후	이후/NNG
매년	매년/MAG
한국	한국/NNP
대졸	대졸/NNG
취업자를	취업자/NNG+를/JKO
뽑고	뽑/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.343.5.4
