# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.42
metadata : {}


# id : NWRW1800000038.42.1.1
日도쿄도의회 선거 自民黨 압승… 후보 전원 당선

日도쿄도의회	日/SH+도쿄도의회/NNP
선거	선거/NNG
自民黨	自民黨/SH
압승…	압승/NNG+…/SE
후보	후보/NNG
전원	전원/NNG
당선	당선/NNG


# id : NWRW1800000038.42.2.1
내달 참의원 선거의 전초전… 민주당 몰락, 공산당에도 뒤져

내달	내달/NNG
참의원	참의원/NNG
선거의	선거/NNG+의/JKG
전초전…	전초전/NNG+…/SE
민주당	민주당/NNP
몰락,	몰락/NNG+,/SP
공산당에도	공산당/NNP+에/JKB+도/JX
뒤져	뒤지/VV+어/EF


# id : NWRW1800000038.42.3.1
23일 일본 도쿄도 도의원 선거에서 집권 연립 정당인 자민당·공명당이 압승했다.

23일	23/SN+일/NNB
일본	일본/NNP
도쿄도	도쿄도/NNP
도의원	도/NNG+의원/NNG
선거에서	선거/NNG+에서/JKB
집권	집권/NNG
연립	연립/NNG
정당인	정당/NNG+이/VCP+ㄴ/ETM
자민당·공명당이	자민당/NNP+·/SP+공명당/NNP+이/JKS
압승했다.	압승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.42.3.2
민주당과 일본유신회는 참패했다.

민주당과	민주당/NNP+과/JC
일본유신회는	일본유신회/NNP+는/JX
참패했다.	참패/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.42.3.3
이번 선거는 내달 참의원 선거의 전초전으로 평가받아 왔다.

이번	이번/NNG
선거는	선거/NNG+는/JX
내달	내달/NNG
참의원	참의원/NNG
선거의	선거/NNG+의/JKG
전초전으로	전초전/NNG+으로/JKB
평가받아	평가/NNG+받/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.42.4.1
NHK에 따르면 이날 개표 결과 전체 127석 중 자민당 59석, 공명당 23석, 공산당 17석, 민주당 15석, 우리모두의당 7석, 일본유신회가 2석을 차지했다.

NHK에	NHK/SL+에/JKB
따르면	따르/VV+면/EC
이날	이날/NNG
개표	개표/NNG
결과	결과/NNG
전체	전체/NNG
127석	127/SN+석/NNB
중	중/NNB
자민당	자민당/NNP
59석,	59/SN+석/NNB+,/SP
공명당	공명당/NNP
23석,	23/SN+석/NNB+,/SP
공산당	공산당/NNP
17석,	17/SN+석/NNB+,/SP
민주당	민주당/NNP
15석,	15/SN+석/NNB+,/SP
우리모두의당	우리모두의당/NNP
7석,	7/SN+석/NNB+,/SP
일본유신회가	일본유신회/NNP+가/JKS
2석을	2/SN+석/NNB+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.42.4.2
민주당은 선거 전 43석으로 도쿄 도의회 제1당이었지만 이번 선거에서 자민당·공명당은 물론 공산당에도 의석이 뒤지는 대참패를 당했다.

민주당은	민주당/NNP+은/JX
선거	선거/NNG
전	전/NNG
43석으로	43/SN+석/NNB+으로/JKB
도쿄	도쿄/NNP
도의회	도/NNG+의회/NNG
제1당이었지만	제/XPN+1/SN+당/NNG+이/VCP+었/EP+지만/EC
이번	이번/NNG
선거에서	선거/NNG+에서/JKB
자민당·공명당은	자민당/NNP+·/SP+공명당/NNP+은/JX
물론	물론/MAG
공산당에도	공산당/NNP+에/JKB+도/JX
의석이	의석/NNG+이/JKS
뒤지는	뒤지/VV+는/ETM
대참패를	대/XPN+참패/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.42.4.3
작년 말 중의원 선거에서 참패한 민주당이 도의원 선거에서까지 참패함에 따라 내달 참의원 선거 전망도 밝지 않다는 전망이 나온다.

작년	작년/NNG
말	말/NNB
중의원	중의원/NNG
선거에서	선거/NNG+에서/JKB
참패한	참패/NNG+하/XSV+ㄴ/ETM
민주당이	민주당/NNP+이/JKS
도의원	도/NNG+의원/NNG
선거에서까지	선거/NNG+에서/JKB+까지/JX
참패함에	참패/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
내달	내달/NNG
참의원	참의원/NNG
선거	선거/NNG
전망도	전망/NNG+도/JX
밝지	밝/VA+지/EC
않다는	않/VX+다는/ETM
전망이	전망/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.42.5.1
자민당과 공명당은 이번에 출마한 후보가 모두 당선되는 압승을 거뒀다.

자민당과	자민당/NNP+과/JC
공명당은	공명당/NNP+은/JX
이번에	이번/NNG+에/JKB
출마한	출마/NNG+하/XSV+ㄴ/ETM
후보가	후보/NNG+가/JKS
모두	모두/MAG
당선되는	당선/NNG+되/XSV+는/ETM
압승을	압승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.42.5.2
'아베노믹스'로 지지율이 급등했던 아베 신조(安倍晋三) 총리는 최근 주가가 급락하고 금리가 치솟으면서 인기가 하락하고 있지만 자민당이 이번 선거에서 압승함에 따라 향후 정권 운영에 탄력을 받을 전망이다.

'아베노믹스'로	'/SS+아베노믹스/NNG+'/SS+로/JKB
지지율이	지지/NNG+율/XSN+이/JKS
급등했던	급등/NNG+하/XSV+았/EP+던/ETM
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
총리는	총리/NNG+는/JX
최근	최근/MAG
주가가	주가/NNG+가/JKS
급락하고	급락/NNG+하/XSV+고/EC
금리가	금리/NNG+가/JKS
치솟으면서	치솟/VV+으면서/EC
인기가	인기/NNG+가/JKS
하락하고	하락/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
자민당이	자민당/NNP+이/JKS
이번	이번/NNG
선거에서	선거/NNG+에서/JKB
압승함에	압승/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
향후	향후/NNG
정권	정권/NNG
