# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.328
metadata : {}


# id : NWRW1800000029.328.1.1
[오늘과 내일/방형남]남북가스관 추진 전 MB가 답할 일

[오늘과	[/SS+오늘/NNG+과/JC
내일/방형남]남북가스관	내일/NNG+//SP+방형남/NNP+]/SS+남북/NNP+가스관/NNG
추진	추진/NNG
전	전/NNG
MB가	MB/SL+가/JKS
답할	답/NNG+하/XSV+ㄹ/ETM
일	일/NNG


# id : NWRW1800000029.328.2.1
북한에 가스관을 매설해 이를 통해 러시아 천연가스를 국내에 들여오는 PNG(파이프천연가스) 구상이 점점 틀을 잡아가고 있다.

북한에	북한/NNP+에/JKB
가스관을	가스관/NNG+을/JKO
매설해	매설/NNG+하/XSV+아/EC
이를	이/NP+를/JKO
통해	통하/VV+아/EC
러시아	러시아/NNP
천연가스를	천연가스/NNG+를/JKO
국내에	국내/NNG+에/JKB
들여오는	들여오/VV+는/ETM
PNG(파이프천연가스)	PNG/SL+(/SS+파이프/NNG+천연가스/NNG+)/SS
구상이	구상/NNG+이/JKS
점점	점점/MAG
틀을	틀/NNG+을/JKO
잡아가고	잡아가/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.328.2.2
북한의 이종혁 조선아시아태평양평화위원회 부위원장은 “가스관 사업은 남-북-러 모두에 이익이 될 것”이라며 “조선반도와 동북아 평화, 남북관계 개선에도 긍정적인 기여를 하게 될 것”이라고 말했다.

북한의	북한/NNP+의/JKG
이종혁	이종혁/NNP
조선아시아태평양평화위원회	조선아시아태평양평화위원회/NNP
부위원장은	부위원장/NNG+은/JX
“가스관	“/SS+가스관/NNG
사업은	사업/NNG+은/JX
남-북-러	남/NNP+-/SO+북/NNP+-/SO+러/NNP
모두에	모두/NNG+에/JKB
이익이	이익/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“조선반도와	“/SS+조선반도/NNP+와/JC
동북아	동북아/NNP
평화,	평화/NNG+,/SP
남북관계	남북/NNP+관계/NNG
개선에도	개선/NNG+에/JKB+도/JX
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
기여를	기여/NNG+를/JKO
하게	하/VV+게/EC
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.328.2.3
국내의 움직임은 훨씬 구체적이다.

국내의	국내/NNG+의/JKG
움직임은	움직임/NNG+은/JX
훨씬	훨씬/MAG
구체적이다.	구체/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000029.328.2.4
나흘 전 서울에서 열린 한 세미나에서는 “가스공급의 안정성을 확보하기 위해 북한 동해안을 거쳐 수도권∼의정부∼개성∼평양으로 연결되는 J자형 파이프라인을 만들어야 한다”는 방안까지 나왔다.

나흘	나흘/NNG
전	전/NNG
서울에서	서울/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
한	한/MMN
세미나에서는	세미나/NNG+에서/JKB+는/JX
“가스공급의	“/SS+가스/NNG+공급/NNG+의/JKG
안정성을	안정/NNG+성/XSN+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
북한	북한/NNP
동해안을	동해안/NNP+을/JKO
거쳐	거치/VV+어/EC
수도권∼의정부∼개성∼평양으로	수도/NNG+권/XSN+∼/SO+의정부/NNP+∼/SO+개성/NNP+∼/SO+평양/NNP+으로/JKB
연결되는	연결/NNG+되/XSV+는/ETM
J자형	J/SL+자/NNG+형/XSN
파이프라인을	파이프라인/NNG+을/JKO
만들어야	만들/VV+어야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
방안까지	방안/NNG+까지/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.328.3.1
대북 원칙, 3년 반 만에 포기하는가

대북	대북/NNG
원칙,	원칙/NNG+,/SP
3년	3/SN+년/NNB
반	반/NNG
만에	만/NNB+에/JKB
포기하는가	포기/NNG+하/XSV+는가/EF


# id : NWRW1800000029.328.4.1
PNG 구상은 이명박 대통령의 집념 때문에 더욱 무게를 갖는다.

PNG	PNG/SL
구상은	구상/NNG+은/JX
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
집념	집념/NNG
때문에	때문/NNB+에/JKB
더욱	더욱/MAG
무게를	무게/NNG+를/JKO
갖는다.	갖/VV+는다/EF+./SF


# id : NWRW1800000029.328.4.2
이 대통령은 현대건설 회장 시절인 1989년과 1990년 시베리아 동토를 누비며 천연가스 도입 사업을 추진했으나 옛 소련의 붕괴로 뜻을 이루지 못했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
현대건설	현대건설/NNP
회장	회장/NNG
시절인	시절/NNG+이/VCP+ㄴ/ETM
1989년과	1989/SN+년/NNB+과/JC
1990년	1990/SN+년/NNB
시베리아	시베리아/NNP
동토를	동토/NNG+를/JKO
누비며	누비/VV+며/EC
천연가스	천연가스/NNG
도입	도입/NNG
사업을	사업/NNG+을/JKO
추진했으나	추진/NNG+하/XSV+았/EP+으나/EC
옛	옛/MMA
소련의	소련/NNP+의/JKG
붕괴로	붕괴/NNG+로/JKB
뜻을	뜻/NNG+을/JKO
이루지	이루/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.328.4.3
그는 천연가스 도입을 포함한 시베리아 자원 개발에 대해 ‘일시적으로 제동이 걸려 있는 상태’라고 표현했다(자서전 ‘신화는 없다’).

그는	그/NP+는/JX
천연가스	천연가스/NNG
도입을	도입/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
시베리아	시베리아/NNP
자원	자원/NNG
개발에	개발/NNG+에/JKB
대해	대하/VV+아/EC
‘일시적으로	‘/SS+일시/NNG+적/XSN+으로/JKB
제동이	제동/NNG+이/JKS
걸려	걸리/VV+어/EC
있는	있/VX+는/ETM
상태’라고	상태/NNG+’/SS+라고/JKQ
표현했다(자서전	표현/NNG+하/XSV+았/EP+다/EF+(/SS+자서전/NNG
‘신화는	‘/SS+신화/NNG+는/JX
없다’).	없/VA+다/EF+’/SS+)/SS+./SF


# id : NWRW1800000029.328.5.1
이 대통령은 기업인 시절 못다 이룬 자원 확보의 염원에다 남북관계의 경색을 풀기 위한 반전(反轉) 카드의 의미를 더해 PNG를 추진하려는 것으로 보인다.

이	이/NNP
대통령은	대통령/NNG+은/JX
기업인	기업인/NNG
시절	시절/NNG
못다	못다/MAG
이룬	이루/VV+ㄴ/ETM
자원	자원/NNG
확보의	확보/NNG+의/JKG
염원에다	염원/NNG+에다/JKB
남북관계의	남북/NNP+관계/NNG+의/JKG
경색을	경색/NNG+을/JKO
풀기	풀/VV+기/ETN
위한	위하/VV+ㄴ/ETM
반전(反轉)	반전/NNG+(/SS+反轉/SH+)/SS
카드의	카드/NNG+의/JKG
의미를	의미/NNG+를/JKO
더해	더/MAG+하/XSV+아/EC
PNG를	PNG/SL+를/JKO
추진하려는	추진/NNG+하/XSV+려는/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.328.5.2
남북이 상생하고 평화공존을 거쳐 통일로 가는 데 도움이 되는 사업이라면 도전할 만한 가치가 있다.

남북이	남북/NNP+이/JKS
상생하고	상생/NNG+하/XSV+고/EC
평화공존을	평화/NNG+공존/NNG+을/JKO
거쳐	거치/VV+어/EC
통일로	통일/NNG+로/JKB
가는	가/VV+는/ETM
데	데/NNB
도움이	도움/NNG+이/JKC
되는	되/VV+는/ETM
사업이라면	사업/NNG+이/VCP+라면/EC
도전할	도전/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
