# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.118
metadata : {}


# id : NWRW1800000053.118.1.1
[단독]단숨에 쓴 ‘王’… 세살배기 사도세자 글씨 발견

[단독]단숨에	[/SS+단독/NNG+]/SS+단숨에/MAG
쓴	쓰/VV+ㄴ/ETM
‘王’…	‘/SS+王/SH+’/SS+…/SE
세살배기	세/MMN+살/NNB+배기/XSN
사도세자	사도/NNP+세자/NNG
글씨	글씨/NNG
발견	발견/NNG


# id : NWRW1800000053.118.2.1
“글자 몇개 써서 장인에게 드려라” 영조, 자식의 영특함 자랑하려 시켜… 石-下-春-王-‘士혹은 吉’ 다섯글자 어환 성대 교수, 서첩 동아일보에 공개… 서예가 김병기 “힘 느껴지는 글씨”

“글자	“/SS+글자/NNG
몇개	몇/NR+개/NNB
써서	쓰/VV+어서/EC
장인에게	장인/NNG+에게/JKB
드려라”	드리/VV+어라/EF+”/SS
영조,	영조/NNP+,/SP
자식의	자식/NNG+의/JKG
영특함	영특하/VA+ㅁ/ETN
자랑하려	자랑/NNG+하/XSV+려/EC
시켜…	시키/VV+어/EC+…/SE
石-下-春-王-‘士혹은	石/SH+-/SO+下/SH+-/SO+春/SH+-/SO+王/SH+-/SO+‘/SS+士/SH+혹은/MAG
吉’	吉/SH+’/SS
다섯글자	다섯/NR+글자/NNG
어환	어환/NNP
성대	성대/NNP
교수,	교수/NNG+,/SP
서첩	서첩/NNG
동아일보에	동아일보/NNP+에/JKB
공개…	공개/NNG+…/SE
서예가	서예가/NNG
김병기	김병기/NNP
“힘	“/SS+힘/NNG
느껴지는	느끼/VV+어/EC+지/VX+는/ETM
글씨”	글씨/NNG+”/SS


# id : NWRW1800000053.118.3.1
“이 아이를 보세요, 영특하기 짝이 없답니다.

“이	“/SS+이/MMD
아이를	아이/NNG+를/JKO
보세요,	보/VV+시/EP+어요/EF+,/SP
영특하기	영특하/VA+기/ETN
짝이	짝/NNG+이/JKS
없답니다.	없/VA+답니다/EF+./SF


# id : NWRW1800000053.118.3.2
글씨도 곧잘 쓰지요.

글씨도	글씨/NNG+도/JX
곧잘	곧잘/MAG
쓰지요.	쓰/VV+지요/EF+./SF


# id : NWRW1800000053.118.3.3
너는 글자 몇 개를 써서 국구(國舅·임금의 장인)에게 드리거라.”

너는	너/NP+는/JX
글자	글자/NNG
몇	몇/NR
개를	개/NNB+를/JKO
써서	쓰/VV+어서/EC
국구(國舅·임금의	국구/NNG+(/SS+國舅/SH+·/SP+임금/NNG+의/JKG
장인)에게	장인/NNG+)/SS+에게/JKB
드리거라.”	드리/VV+거라/EF+./SF+”/SS


# id : NWRW1800000053.118.4.1
영조는 1735년 마흔두 살에 둘째 아들 사도세자를 얻었다.

영조는	영조/NNP+는/JX
1735년	1735/SN+년/NNB
마흔두	마흔두/MMN
살에	살/NNB+에/JKB
둘째	둘째/NR
아들	아들/NNG
사도세자를	사도/NNP+세자/NNG+를/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.118.4.2
7년 전 첫째 아들 효장세자가 열 살로 세상을 뜨고 얻은 늦둥이다.

7년	7/SN+년/NNB
전	전/NNG
첫째	첫째/NR
아들	아들/NNG
효장세자가	효장/NNP+세자/NNG+가/JKS
열	열/NR
살로	살/NNB+로/JKB
세상을	세상/NNG+을/JKO
뜨고	뜨/VV+고/EC
얻은	얻/VV+은/ETM
늦둥이다.	늦둥이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.118.4.3
어릴 적 영조의 기대를 한 몸에 받은 사도세자가 3세 때 쓴 글씨가 발견됐다.

어릴	어리/VA+ㄹ/ETM
적	적/NNB
영조의	영조/NNP+의/JKG
기대를	기대/NNG+를/JKO
한	한/MMN
몸에	몸/NNG+에/JKB
받은	받/VV+은/ETM
사도세자가	사도/NNP+세자/NNG+가/JKS
3세	3/SN+세/NNB
때	때/NNG
쓴	쓰/VV+ㄴ/ETM
글씨가	글씨/NNG+가/JKS
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.118.4.4
어환 성균관대 의대 교수(의무부총장)는 가문에 대대로 전해지던 서첩을 최근 동아일보에 공개했다.

어환	어환/NNP
성균관대	성균관대/NNP
의대	의대/NNG
교수(의무부총장)는	교수/NNG+(/SS+의무/NNG+부총장/NNG+)/SS+는/JX
가문에	가문/NNG+에/JKB
대대로	대대로/MAG
전해지던	전하/VV+아/EC+지/VX+던/ETM
서첩을	서첩/NNG+을/JKO
최근	최근/NNG
동아일보에	동아일보/NNP+에/JKB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.118.4.5
글씨가 쓰인 사연을 담은 후기(後記)에는 다가올 비극 ‘임오화변’(1762년 영조가 사도세자를 뒤주에 가둬 죽인 일)을 전혀 알지 못한 채 품 안의 자식 자랑에 바쁜 평범한 아버지 영조의 모습이 드러난다.

글씨가	글씨/NNG+가/JKS
쓰인	쓰이/VV+ㄴ/ETM
사연을	사연/NNG+을/JKO
담은	담/VV+은/ETM
후기(後記)에는	후기/NNG+(/SS+後記/SH+)/SS+에/JKB+는/JX
다가올	다가오/VV+ㄹ/ETM
비극	비극/NNG
‘임오화변’(1762년	‘/SS+임오화변/NNG+’/SS+(/SS+1762/SN+년/NNB
영조가	영조/NNP+가/JKS
