# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.279
metadata : {}


# id : NWRW1800000044.279.1.1
“한국 여자골프, 세계 최강 보여줄게요”

“한국	“/SS+한국/NNP
여자골프,	여자/NNG+골프/NNG+,/SP
세계	세계/NNG
최강	최강/NNG
보여줄게요”	보이/VV+어/EC+주/VX+ㄹ게/EF+요/JX+”/SS


# id : NWRW1800000044.279.2.1
[한겨레] 인터내셔널 크라운 내일 개막

[한겨레]	[/SS+한겨레/NNP+]/SS
인터내셔널	인터내셔널/NNG
크라운	크라운/NNG
내일	내일/NNG
개막	개막/NNG


# id : NWRW1800000044.279.3.1
박인비·유소연 등 대표로 출전

박인비·유소연	박인비/NNP+·/SP+유소연/NNP
등	등/NNB
대표로	대표/NNG+로/JKB
출전	출전/NNG


# id : NWRW1800000044.279.4.1
세계 여자 골프 최강국은 어디일까.

세계	세계/NNG
여자	여자/NNG
골프	골프/NNG
최강국은	최강국/NNG+은/JX
어디일까.	어디/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000044.279.4.2
24일(현지시각)부터 미국 메릴랜드주 케이브스밸리 골프장(파71·6628야드)에서 올해 처음 열리는 국가대항전 인터내셔널 크라운(총상금 160만달러)이 답을 제시한다.

24일(현지시각)부터	24/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS+부터/JX
미국	미국/NNP
메릴랜드주	메릴랜드주/NNP
케이브스밸리	케이브스밸리/NNP
골프장(파71·6628야드)에서	골프장/NNG+(/SS+파/NNG+71/SN+·/SP+6628/SN+야드/NNB+)/SS+에서/JKB
올해	올해/NNG
처음	처음/NNG
열리는	열리/VV+는/ETM
국가대항전	국가/NNG+대항전/NNG
인터내셔널	인터내셔널/NNG
크라운(총상금	크라운/NNG+(/SS+총상금/NNG
160만달러)이	160/SN+만/NR+달러/NNB+)/SS+이/JKS
답을	답/NNG+을/JKO
제시한다.	제시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.279.4.3
한국·미국·스웨덴·일본·스페인·대만·호주·타이 등 8개국이 참가하며 한국은 박인비(26·KB금융그룹)·유소연(24·하나금융그룹)·최나연(27·SK텔레콤)·김인경(26·하나금융그룹) 등 4명이 대표로 나선다.

한국·미국·스웨덴·일본·스페인·대만·호주·타이	한국/NNP+·/SP+미국/NNP+·/SP+스웨덴/NNP+·/SP+일본/NNP+·/SP+스페인/NNP+·/SP+대만/NNP+·/SP+호주/NNP+·/SP+타이/NNP
등	등/NNB
8개국이	8/SN+개국/NNB+이/JKS
참가하며	참가/NNG+하/XSV+며/EC
한국은	한국/NNP+은/JX
박인비(26·KB금융그룹)·유소연(24·하나금융그룹)·최나연(27·SK텔레콤)·김인경(26·하나금융그룹)	박인비/NNP+(/SS+26/SN+·/SP+KB금융그룹/NNP+)/SS+·/SP+유소연/NNP+(/SS+24/SN+·/SP+하나금융그룹/NNP+)/SS+·/SP+최나연/NNP+(/SS+27/SN+·/SP+SK텔레콤/NNP+)/SS+·/SP+김인경/NNP+(/SS+26/SN+·/SP+하나금융그룹/NNP+)/SS
4명이	4/SN+명/NNB+이/JKS
대표로	대표/NNG+로/JKB
나선다.	나서/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.279.5.1
일본·스웨덴·호주와 함께 B조에 편성된 한국은 사흘 동안 포볼 방식(국가별 2명씩 한 조가 되어 각자 공을 친 뒤 좋은 성적을 채택)으로 경기를 치르게 된다.

일본·스웨덴·호주와	일본/NNP+·/SP+스웨덴/NNP+·/SP+호주/NNP+와/JKB
함께	함께/MAG
B조에	B/SL+조/NNG+에/JKB
편성된	편성/NNG+되/XSV+ㄴ/ETM
한국은	한국/NNP+은/JX
사흘	사흘/NNG
동안	동안/NNG
포볼	포볼/NNG
방식(국가별	방식/NNG+(/SS+국가/NNG+별/XSN
2명씩	2/SN+명/NNB+씩/XSN
한	한/MMN
조가	조/NNG+가/JKC
되어	되/VV+어/EC
각자	각자/MAG
공을	공/NNG+을/JKO
친	치/VV+ㄴ/ETM
뒤	뒤/NNG
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
채택)으로	채택/NNG+)/SS+으로/JKB
경기를	경기/NNG+를/JKO
치르게	치르/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.279.5.2
각 조 상위 2팀은 마지막날 결승 라운드에 직행하며 각 조 3위 팀끼리 서든데스 플레이오프(포볼 매치)를 치러 승리 팀이 와일드카드로 결승에 합류한다.

각	각/MMD
조	조/NNG
상위	상위/NNG
2팀은	2/SN+팀/NNG+은/JX
마지막날	마지막/NNG+날/NNG
결승	결승/NNG
라운드에	라운드/NNG+에/JKB
직행하며	직행/NNG+하/XSV+며/EC
3위	3/SN+위/NNB
팀끼리	팀/NNG+끼리/XSN
서든데스	서든데스/NNG
플레이오프(포볼	플레이오프/NNG+(/SS+포볼/NNG
매치)를	매치/NNG+)/SS+를/JKO
치러	치르/VV+어/EC
승리	승리/NNG
팀이	팀/NNG+이/JKS
와일드카드로	와일드카드/NNG+로/JKB
결승에	결승/NNG+에/JKB
합류한다.	합류/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.279.5.3
결승전은 싱글 매치플레이로 정해지며 경기마다 이기면 2점, 비기면 1점, 패하면 0점이 주어진다.

결승전은	결승전/NNG+은/JX
싱글	싱글/NNG
매치플레이로	매치플레이/NNG+로/JKB
정해지며	정하/VV+아/EC+지/VX+며/EC
경기마다	경기/NNG+마다/JX
이기면	이기/VV+면/EC
2점,	2/SN+점/NNB+,/SP
비기면	비기/VV+면/EC
1점,	1/SN+점/NNB+,/SP
패하면	패/NNG+하/XSV+면/EC
0점이	0/SN+점/NNB+이/JKS
주어진다.	주어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.279.5.4
예선전, 결승전 합계로 최종 우승 국가가 정해진다.

예선전,	예선전/NNG+,/SP
결승전	결승전/NNG
합계로	합계/NNG+로/JKB
최종	최종/NNG
우승	우승/NNG
국가가	국가/NNG+가/JKS
정해진다.	정하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000044.279.5.5
우승 상금은 40만달러.

우승	우승/NNG
상금은	상금/NNG+은/JX
40만달러.	40/SN+만/NR+달러/NNB+./SF


# id : NWRW1800000044.279.6.1
한국이 넘어야 할 최대 난적은 A조에 속한 미국이다.

한국이	한국/NNP+이/JKS
넘어야	넘/VV+어야/EC
할	하/VX+ㄹ/ETM
최대	최대/NNG
난적은	난적/NNG+은/JX
A조에	A/SL+조/NNG+에/JKB
속한	속하/VV+ㄴ/ETM
미국이다.	미국/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000044.279.6.2
미국 대표로는 세계 1위 스테이시 루이스와 크리스티 커, 렉시 톰슨, 폴라 크리머 등이 참가한다.

미국	미국/NNP
대표로는	대표/NNG+로/JKB+는/JX
세계	세계/NNG
1위	1/SN+위/NNB
스테이시	스테이시/NNP
루이스와	루이스/NNP+와/JC
크리스티	크리스티/NNP
커,	커/NNP+,/SP
렉시	렉시/NNP
톰슨,	톰슨/NNP+,/SP
폴라	폴라/NNP
크리머	크리머/NNP
등이	등/NNB+이/JKS
참가한다.	참가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.279.6.3
한국은 첫날 호주와 포볼 경기를 치르는데 최나연-김인경 짝이 카리 웹-이민지(동포) 짝과 대결한다.

한국은	한국/NNP+은/JX
첫날	첫날/NNG
호주와	호주/NNP+와/JKB
포볼	포볼/NNG
경기를	경기/NNG+를/JKO
치르는데	치르/VV+는데/EC
최나연-김인경	최나연/NNP+-/SO+김인경/NNP
짝이	짝/NNG+이/JKS
카리	카리/NNP
웹-이민지(동포)	웹/NNP+-/SO+이민지/NNP+(/SS+동포/NNG+)/SS
짝과	짝/NNG+과/JKB
대결한다.	대결/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000044.279.6.4
박인비-유소연 짝은 캐서린 커크-린지 라이트 짝과 맞붙는다.

박인비-유소연	박인비/NNP+-/SO+유소연/NNP
짝은	짝/NNG+은/JX
캐서린	캐서린/NNP
커크-린지	커크/NNP+-/SO+린지/NNP
라이트	라이트/NNP
짝과	짝/NNG+과/JKB
맞붙는다.	맞붙/VV+는다/EF+./SF


# id : NWRW1800000044.279.6.5
한국은 호주에 이어 스웨덴, 일본과 차례대로 경기를 펼친다.

한국은	한국/NNP+은/JX
호주에	호주/NNP+에/JKB
이어	잇/VV+어/EC
스웨덴,	스웨덴/NNP+,/SP
일본과	일본/NNP+과/JC
차례대로	차례/NNG+대로/JX
경기를	경기/NNG+를/JKO
펼친다.	펼치/VV+ㄴ다/EF+./SF


