# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.347
metadata : {}


# id : NWRW1800000053.347.1.1
국정기획위, 자사고-외고 일괄전환 아닌 ‘단계적 폐지’ 가닥

국정기획위,	국정/NNG+기획위/NNG+,/SP
자사고-외고	자사고/NNG+-/SO+외고/NNG
일괄전환	일괄/NNG+전환/NNG
아닌	아니/VCN+ㄴ/ETM
‘단계적	‘/SS+단계/NNG+적/XSN
폐지’	폐지/NNG+’/SS
가닥	가닥/NNG


# id : NWRW1800000053.347.2.1
교육분야 6대 과제 13일 靑 보고

교육분야	교육/NNG+분야/NNG
6대	6/SN+대/NNG
과제	과제/NNG
13일	13/SN+일/NNB
靑	靑/SH
보고	보고/NNG


# id : NWRW1800000053.347.3.1
국정기획자문위원회가 자율형사립고·외국어고 일괄 폐지 대신 ‘단계적 폐지’ 방식을 적용하기로 했다.

국정기획자문위원회가	국정/NNG+기획/NNG+자문/NNG+위원회/NNG+가/JKS
자율형사립고·외국어고	자율/NNG+형/XSN+사립고/NNG+·/SP+외국어고/NNG
일괄	일괄/NNG
폐지	폐지/NNG
대신	대신/NNG
‘단계적	‘/SS+단계/NNG+적/XSN
폐지’	폐지/NNG+’/SS
방식을	방식/NNG+을/JKO
적용하기로	적용/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.347.3.2
국정기획위는 이 같은 내용을 13일 대통령 보고에 포함하기로 했다.

국정기획위는	국정/NNG+기획위/NNG+는/JX
이	이/NP
같은	같/VA+은/ETM
내용을	내용/NNG+을/JKO
13일	13/SN+일/NNB
대통령	대통령/NNG
보고에	보고/NNG+에/JKB
포함하기로	포함/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.347.4.1
7일 복수의 국정기획위 및 여권 관계자에 따르면 100대 국정과제 가운데 교육 분야는 6대 과제가 선정됐다.

7일	7/SN+일/NNB
복수의	복수/NNG+의/JKG
국정기획위	국정/NNG+기획위/NNG
및	및/MAG
여권	여권/NNG
관계자에	관계자/NNG+에/JKB
따르면	따르/VV+면/EC
100대	100/SN+대/NNG
국정과제	국정/NNG+과제/NNG
가운데	가운데/NNG
교육	교육/NNG
분야는	분야/NNG+는/JX
6대	6/SN+대/NNG
과제가	과제/NNG+가/JKS
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.347.4.2
이 가운데 ‘교육의 공공성·공정성 강화’ 과제 실행 계획으로 ‘자사고·외고 단계적 폐지’ 방안이 포함됐다.

이	이/NP
가운데	가운데/NNG
‘교육의	‘/SS+교육/NNG+의/JKG
공공성·공정성	공공/NNG+성/XSN+·/SP+공정/NNG+성/XSN
강화’	강화/NNG+’/SS
과제	과제/NNG
실행	실행/NNG
계획으로	계획/NNG+으로/JKB
‘자사고·외고	‘/SS+자사고/NNG+·/SP+외고/NNG
단계적	단계/NNG+적/XSN
폐지’	폐지/NNG+’/SS
방안이	방안/NNG+이/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.347.4.3
그러나 자사고·외고를 단계적으로 폐지하더라도 교육부가 정책일몰제 도입 등 초중등교육법 시행령 개정을 통해 추진할 것인지, 5년 주기의 평가 주기가 도래하면 재지정 평가를 통해 연차적으로 일반고로 전환할 것인지는 결론이 나지 않았다.

그러나	그러나/MAJ
자사고·외고를	자사고/NNG+·/SP+외고/NNG+를/JKO
단계적으로	단계/NNG+적/XSN+으로/JKB
폐지하더라도	폐지/NNG+하/XSV+더라도/EC
교육부가	교육부/NNG+가/JKS
정책일몰제	정책/NNG+일몰/NNG+제/XSN
도입	도입/NNG
등	등/NNB
초중등교육법	초중등/NNG+교육법/NNG
시행령	시행령/NNG
개정을	개정/NNG+을/JKO
통해	통하/VV+아/EC
추진할	추진/NNG+하/XSV+ㄹ/ETM
것인지,	것/NNB+이/VCP+ㄴ지/EF+,/SP
5년	5/SN+년/NNB
주기의	주기/NNG+의/JKG
평가	평가/NNG
주기가	주기/NNG+가/JKS
도래하면	도래/NNG+하/XSV+면/EC
재지정	재/XPN+지정/NNG
평가를	평가/NNG+를/JKO
연차적으로	연차/NNG+적/XSN+으로/JKB
일반고로	일반고/NNG+로/JKB
전환할	전환/NNG+하/XSV+ㄹ/ETM
것인지는	것/NNB+이/VCP+ㄴ지/EF+는/JX
결론이	결론/NNG+이/JKS
나지	나/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.347.4.4
국정기획위 관계자는 “고교 입시 혼란 등 부작용을 줄이기 위해 일괄적인 폐지보다는 단계적 폐지로 가닥을 잡았다”며 “구체적인 시행 방안은 교육부가 마련할 것”이라고 말했다.

국정기획위	국정/NNG+기획위/NNG
관계자는	관계자/NNG+는/JX
“고교	“/SS+고교/NNG
입시	입시/NNG
혼란	혼란/NNG
등	등/NNB
부작용을	부작용/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
일괄적인	일괄/NNG+적/XSN+이/VCP+ㄴ/ETM
폐지보다는	폐지/NNG+보다/JKB+는/JX
단계적	단계/NNG+적/XSN
폐지로	폐지/NNG+로/JKB
가닥을	가닥/NNG+을/JKO
잡았다”며	잡/VV+았/EP+다/EF+”/SS+며/EC
“구체적인	“/SS+구체/NNG+적/XSN+이/VCP+ㄴ/ETM
시행	시행/NNG
방안은	방안/NNG+은/JX
교육부가	교육부/NNG+가/JKS
마련할	마련/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.347.5.1
시행령을 개정하든, 평가 체계를 손질하든 자사고 폐지는 2020년 이후 순차적으로 이뤄질 것으로 보인다.

시행령을	시행령/NNG+을/JKO
개정하든,	개정/NNG+하/XSV+든/EC+,/SP
평가	평가/NNG
체계를	체계/NNG+를/JKO
손질하든	손질/NNG+하/XSV+든/EC
자사고	자사고/NNG
폐지는	폐지/NNG+는/JX
2020년	2020/SN+년/NNB
이후	이후/NNG
순차적으로	순차/NNG+적/XSN+으로/JKB
이뤄질	이뤄지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.347.5.2
2010, 2011년 대거 지정된 자사고 평가 시기가 2019, 2020년 예정돼 있기 때문이다.

2010,	2010/SN+,/SP
2011년	2011/SN+년/NNB
대거	대거/MAG
지정된	지정/NNG+되/XSV+ㄴ/ETM
자사고	자사고/NNG
평가	평가/NNG
시기가	시기/NNG+가/JKS
2019,	2019/SN+,/SP
2020년	2020/SN+년/NNB
예정돼	예정/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.347.5.3
국정기획위는 자발적으로 일반고로 전환하는 자사고·외고에는 사업비용 등 인센티브를 주는 방안을 도입해 자율 전환을 유도하기로 했다.

국정기획위는	국정/NNG+기획위/NNG+는/JX
자발적으로	자발/NNG+적/XSN+으로/JKB
일반고로	일반고/NNG+로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
자사고·외고에는	자사고/NNG+·/SP+외고/NNG+에/JKB+는/JX
사업비용	사업/NNG+비용/NNG
등	등/NNB
인센티브를	인센티브/NNG+를/JKO
주는	주/VV+는/ETM
방안을	방안/NNG+을/JKO
도입해	도입/NNG+하/XSV+아/EC
자율	자율/NNG
전환을	전환/NNG+을/JKO
유도하기로	유도/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.347.6.1
‘단계적 폐지’에 앞서 국정기획위는 먼저 자사고·외고의 우수 학생 독점을 막는 방안을 추진한다.

‘단계적	‘/SS+단계/NNG+적/XSN
폐지’에	폐지/NNG+’/SS+에/JKB
앞서	앞서/VV+어/EC
국정기획위는	국정/NNG+기획위/NNG+는/JX
먼저	먼저/MAG
자사고·외고의	자사고/NNG+·/SP+외고/NNG+의/JKG
우수	우수/NNG
학생	학생/NNG
독점을	독점/NNG+을/JKO
막는	막/VV+는/ETM
방안을	방안/NNG+을/JKO
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.347.6.2
고교 유형별 선발 시기를 규정한 초중등교육법 시행령 조항을 삭제해 특수목적고·자사고·일반고가 동시에 신입생을 선발해 특정 학교 우수 학생 쏠림 현상을 막는다는 것.

고교	고교/NNG
유형별	유형/NNG+별/XSN
선발	선발/NNG
시기를	시기/NNG+를/JKO
규정한	규정/NNG+하/XSV+ㄴ/ETM
초중등교육법	초중등/NNG+교육법/NNG
시행령	시행령/NNG
조항을	조항/NNG+을/JKO
삭제해	삭제/NNG+하/XSV+아/EC
특수목적고·자사고·일반고가	특수/NNG+목적고/NNG+·/SP+자사고/NNG+·/SP+일반고/NNG+가/JKS
동시에	동시/NNG+에/JKB
신입생을	신입/NNG+생/XSN+을/JKO
선발해	선발/NNG+하/XSV+아/EC
특정	특정/NNG
학교	학교/NNG
우수	우수/NNG
학생	학생/NNG
쏠림	쏠리/VV+ㅁ/ETN
현상을	현상/NNG+을/JKO
막는다는	막/VV+는다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000053.347.6.3
고교입시 전형이 단순해지면 사교육 의존도가 낮아지는 효과도 있을 것으로 보고 있다.

고교입시	고교/NNG+입시/NNG
전형이	전형/NNG+이/JKS
단순해지면	단순/NNG+하/XSA+아/EC+지/VX+면/EC
사교육	사교육/NNG
의존도가	의존도/NNG+가/JKS
낮아지는	낮/VA+아/EC+지/VX+는/ETM
효과도	효과/NNG+도/JX
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.347.7.1
현재는 학생이 특목고와 자사고에 지원했다가 떨어져도 일반고 배정 과정에서는 아무런 불리함이 없다.

현재는	현재/NNG+는/JX
학생이	학생/NNG+이/JKS
특목고와	특목고/NNG+와/JC
자사고에	자사고/NNG+에/JKB
지원했다가	지원/NNG+하/XSV+았/EP+다가/EC
떨어져도	떨어지/VV+어도/EC
일반고	일반고/NNG
배정	배정/NNG
과정에서는	과정/NNG+에서/JKB+는/JX
아무런	아무런/MMD
불리함이	불리/NNG+하/XSA+ㅁ/ETN+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000053.347.7.2
하지만 동시 선발 방식으로 바뀌면 특목고·자사고 불합격자는 지원자가 적어 미달된 비선호 일반고에 배정될 가능성이 커지기 때문에 특목고·자사고 쏠림 현상이 완화될 것으로 전망된다.

하지만	하지만/MAJ
동시	동시/NNG
선발	선발/NNG
방식으로	방식/NNG+으로/JKB
바뀌면	바뀌/VV+면/EC
특목고·자사고	특목고/NNG+·/SP+자사고/NNG
불합격자는	불/XPN+합격자/NNG+는/JX
지원자가	지원자/NNG+가/JKS
적어	적/VA+어/EC
미달된	미달/NNG+되/XSV+ㄴ/ETM
비선호	비/XPN+선호/NNG
