# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.198
metadata : {}


# id : NWRW1800000046.198.1.1
오만 뚫어라, 슈틸리케 웃게한 이 드리블로

오만	오만/NNP
뚫어라,	뚫/VV+어라/EF+,/SP
슈틸리케	슈틸리케/NNP
웃게한	웃/VV+게/EC+하/VX+ㄴ/ETM
이	이/MMD
드리블로	드리블/NNG+로/JKB


# id : NWRW1800000046.198.2.1
한국, 내일 아시안컵 첫 경기… 남태희 '공격 선봉' 맡을 듯

한국,	한국/NNP+,/SP
내일	내일/MAG
아시안컵	아시안/NNP+컵/NNG
첫	첫/MMN
경기…	경기/NNG+…/SE
남태희	남태희/NNP
'공격	'/SS+공격/NNG
선봉'	선봉/NNG+'/SS
맡을	맡/VV+을/ETM
듯	듯/NNB


# id : NWRW1800000046.198.3.1
축구에서 가장 유명한 등번호는 '10번'이다.

축구에서	축구/NNG+에서/JKB
가장	가장/MAG
유명한	유명/NNG+하/XSA+ㄴ/ETM
등번호는	등/NNG+번호/NNG+는/JX
'10번'이다.	'/SS+10/SN+번/NNB+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.198.3.2
펠레(브라질)가 세 번의 월드컵에서 우승하며 '축구 황제'로 올라선 이후 그의 백넘버인 10번은 팀의 에이스를 상징하는 번호가 됐다.

펠레(브라질)가	펠레/NNP+(/SS+브라질/NNP+)/SS+가/JKS
세	세/MMN
번의	번/NNB+의/JKG
월드컵에서	월드컵/NNG+에서/JKB
우승하며	우승/NNG+하/XSV+며/EC
'축구	'/SS+축구/NNG
황제'로	황제/NNG+'/SS+로/JKB
올라선	올라서/VV+ㄴ/ETM
이후	이후/NNG
그의	그/NP+의/JKG
백넘버인	백넘버/NNG+이/VCP+ㄴ/ETM
10번은	10/SN+번/NNB+은/JX
팀의	팀/NNG+의/JKG
에이스를	에이스/NNG+를/JKO
상징하는	상징/NNG+하/XSV+는/ETM
번호가	번호/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.198.3.3
디에고 마라도나(아르헨티나)와 로타어 마테우스(독일), 지네딘 지단(프랑스), 리오넬 메시(아르헨티나) 등의 축구 영웅들이 10번의 영광을 계승했다.

디에고	디에고/NNP
마라도나(아르헨티나)와	마라도나/NNP+(/SS+아르헨티나/NNP+)/SS+와/JC
로타어	로타어/NNP
마테우스(독일),	마테우스/NNP+(/SS+독일/NNP+)/SS+,/SP
지네딘	지네딘/NNP
지단(프랑스),	지단/NNP+(/SS+프랑스/NNP+)/SS+,/SP
리오넬	리오넬/NNP
메시(아르헨티나)	메시/NNP+(/SS+아르헨티나/NNP+)/SS
등의	등/NNB+의/JKG
축구	축구/NNG
영웅들이	영웅/NNG+들/XSN+이/JKS
10번의	10/SN+번/NNB+의/JKG
영광을	영광/NNG+을/JKO
계승했다.	계승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.198.4.1
2015 호주 아시안컵에서 55년 만의 우승에 도전하는 한국 대표팀의 10번은 남태희(24·레퀴야)다.

2015	2015/SN
호주	호주/NNP
아시안컵에서	아시안/NNP+컵/NNG+에서/JKB
55년	55/SN+년/NNB
만의	만/NNB+의/JKG
우승에	우승/NNG+에/JKB
도전하는	도전/NNG+하/XSV+는/ETM
한국	한국/NNP
대표팀의	대표/NNG+팀/NNG+의/JKG
10번은	10/SN+번/NNB+은/JX
남태희(24·레퀴야)다.	남태희/NNP+(/SS+24/SN+·/SP+레퀴야/NNP+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.198.4.2
