# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.185
metadata : {}


# id : NWRW1800000048.185.1.1
일본서 돌아온 고구려 기와…모양이 신비롭네

일본서	일본/NNP+서/JKB
돌아온	돌아오/VV+ㄴ/ETM
고구려	고구려/NNP
기와…모양이	기와/NNG+…/SE+모양/NNG+이/JKS
신비롭네	신비/NNG+롭/XSA+네/EF


# id : NWRW1800000048.185.2.1
유금와당박물관 ‘이우치 컬렉션’

유금와당박물관	유금와당박물관/NNP
‘이우치	‘/SS+이우치/NNP
컬렉션’	컬렉션/NNG+’/SS


# id : NWRW1800000048.185.3.1
통일신라 기와·전돌도 눈길 끌어

통일신라	통일신라/NNP
기와·전돌도	기와/NNG+·/SP+전돌/NNG+도/JX
눈길	눈길/NNG
끌어	끌/VV+어/EF


# id : NWRW1800000048.185.4.1
인수과정 담은 단행본도 출간돼

인수과정	인수/NNG+과정/NNG
담은	담/VV+은/ETM
단행본도	단행본/NNG+도/JX
출간돼	출간/NNG+되/XSV+어/EF


# id : NWRW1800000048.185.5.1
1400~1700년 전 고구려인들이 남긴 기와들은 수수께끼 가득한 고대문화의 미궁이다.

1400~1700년	1400/SN+~/SO+1700/SN+년/NNB
전	전/NNG
고구려인들이	고구려인/NNG+들/XSN+이/JKS
남긴	남기/VV+ㄴ/ETM
기와들은	기와/NNG+들/XSN+은/JX
수수께끼	수수께끼/NNG
가득한	가득/MAG+하/XSA+ㄴ/ETM
고대문화의	고대/NNG+문화/NNG+의/JKG
미궁이다.	미궁/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.185.5.2
대원군의 별장 석파정 근처인 서울 부암동 북안산 자락에 자리한 유금와당박물관에 요즘 찾아가면, 고구려 기와들이 쏟아내는 신비스런 이야기 속으로 빨려들게 된다.

대원군의	대원군/NNG+의/JKG
별장	별장/NNG
석파정	석파정/NNP
근처인	근처/NNG+이/VCP+ㄴ/ETM
서울	서울/NNP
부암동	부암동/NNP
북안산	북안산/NNP
자락에	자락/NNG+에/JKB
자리한	자리/NNG+하/XSV+ㄴ/ETM
유금와당박물관에	유금와당박물관/NNP+에/JKB
요즘	요즘/NNG
찾아가면,	찾아가/VV+면/EC+,/SP
고구려	고구려/NNP
기와들이	기와/NNG+들/XSN+이/JKS
쏟아내는	쏟/VV+아/EC+내/VX+는/ETM
신비스런	신비/NNG+스럽/XSA+ㄴ/ETM
이야기	이야기/NNG
속으로	속/NNG+으로/JKB
빨려들게	빨리/VV+어/EC+들/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.185.5.3
희한한 모양새에 이면의 상징성이 예사롭지 않은 고구려 희귀 기와들을 진열장에서 줄줄이 만날 수 있는 까닭이다.

희한한	희한하/VA+ㄴ/ETM
모양새에	모양새/NNG+에/JKB
이면의	이면/NNG+의/JKG
상징성이	상징/NNG+성/XSN+이/JKS
예사롭지	예사/NNG+롭/XSA+지/EC
않은	않/VX+은/ETM
고구려	고구려/NNP
희귀	희귀/NNG
기와들을	기와/NNG+들/XSN+을/JKO
진열장에서	진열장/NNG+에서/JKB
줄줄이	줄줄이/MAG
만날	만나/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
까닭이다.	까닭/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.185.5.4
한사군부터 삼국시대, 통일신라, 고려, 조선시대를 망라하는 이땅 최고의 옛 기와 컬렉션을 일군 일본인 의사 이우치 이사오(1911~92)가 주춧돌을 놨다.

한사군부터	한사군/NNP+부터/JX
삼국시대,	삼국/NNG+시대/NNG+,/SP
통일신라,	통일신라/NNP+,/SP
고려,	고려/NNP+,/SP
조선시대를	조선시대/NNG+를/JKO
망라하는	망라/NNG+하/XSV+는/ETM
이땅	이/MMD+땅/NNG
최고의	최고/NNG+의/JKG
옛	옛/MMA
기와	기와/NNG
컬렉션을	컬렉션/NNG+을/JKO
일군	일구/VV+ㄴ/ETM
일본인	일본인/NNG
의사	의사/NNG
이우치	이우치/NNP
이사오(1911~92)가	이사오/NNP+(/SS+1911/SN+~/SO+92/SN+)/SS+가/JKS
주춧돌을	주춧돌/NNG+을/JKO
놨다.	놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.185.5.5
그의 수집 명품 상당수를 10여년 전 인수한 유창종 관장이 처음 추려 보여주는 ‘돌아온 와전 이우치 컬렉션’ 전(내년 7월16일까지)이 열리는 중이다.

그의	그/NP+의/JKG
수집	수집/NNG
명품	명품/NNG
상당수를	상당수/NNG+를/JKO
10여년	10/SN+여/XSN+년/NNB
전	전/NNG
인수한	인수/NNG+하/XSV+ㄴ/ETM
유창종	유창종/NNP
관장이	관장/NNG+이/JKS
처음	처음/NNG
추려	추리/VV+어/EC
보여주는	보이/VV+어/EC+주/VX+는/ETM
‘돌아온	‘/SS+돌아오/VV+ㄴ/ETM
와전	와전/NNG
이우치	이우치/NNP
컬렉션’	컬렉션/NNG+’/SS
전(내년	전/NA+(/SS+내년/NNG
7월16일까지)이	7/SN+월/NNB+16/SN+일/NNB+까지/JX+)/SS+이/JKS
열리는	열리/VV+는/ETM
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.185.6.1
고구려인들은 신라는 물론, 조선시대 고궁, 양반가 한옥집 기와 무늬와는 한참 다른, 별별 희한한 소재들을 문양에 집어넣었다.

고구려인들은	고구려인/NNG+들/XSN+은/JX
신라는	신라/NNP+는/JX
물론,	물론/MAG+,/SP
조선시대	조선시대/NNG
고궁,	고궁/NNG+,/SP
양반가	양반가/NNG
한옥집	한옥/NNG+집/NNG
기와	기와/NNG
무늬와는	무늬/NNG+와/JKB+는/JX
한참	한참/MAG
다른,	다르/VA+ㄴ/ETM+,/SP
별별	별별/MMA
희한한	희한하/VA+ㄴ/ETM
소재들을	소재/NNG+들/XSN+을/JKO
문양에	문양/NNG+에/JKB
집어넣었다.	집어넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.185.6.2
아몬드나 럭비공처럼 덩이진 연꽃잎 사이로 코 크고 턱수염 난 서역풍 인물이 새겨진 수막새는 그 상상력의 진폭이 눈을 놀라게 한다.

아몬드나	아몬드/NNG+나/JC
럭비공처럼	럭비공/NNG+처럼/JKB
덩이진	덩이지/VA+ㄴ/ETM
연꽃잎	연꽃잎/NNG
사이로	사이/NNG+로/JKB
코	코/NNG
크고	크/VA+고/EC
턱수염	턱수염/NNG
난	나/VV+ㄴ/ETM
서역풍	서역/NNG+풍/XSN
인물이	인물/NNG+이/JKS
새겨진	새기/VV+어/EC+지/VX+ㄴ/ETM
수막새는	수막새/NNG+는/JX
그	그/MMD
상상력의	상상력/NNG+의/JKG
진폭이	진폭/NNG+이/JKS
눈을	눈/NNG+을/JKO
놀라게	놀라/VV+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.185.6.3
고구려가 돌궐을 비롯한 북방, 서역 민족들과 활발한 교류를 했음을 짐작하게 하는 대표 유물이다.

고구려가	고구려/NNP+가/JKS
돌궐을	돌궐/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
북방,	북방/NNG+,/SP
서역	서역/NNG
민족들과	민족/NNG+들/XSN+과/JKB
활발한	활발하/VA+ㄴ/ETM
교류를	교류/NNG+를/JKO
했음을	하/VV+았/EP+음/ETN+을/JKO
짐작하게	짐작/NNG+하/XSV+게/EC
하는	하/VX+는/ETM
대표	대표/NNG
유물이다.	유물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.185.6.4
연꽃무늬와 사람 얼굴이 등장하는 고대 동아시아 기와는 이 작품이 유일하다고 한다.

연꽃무늬와	연꽃무늬/NNG+와/JC
사람	사람/NNG
얼굴이	얼굴/NNG+이/JKS
등장하는	등장/NNG+하/XSV+는/ETM
고대	고대/NNG
동아시아	동아시아/NNP
기와는	기와/NNG+는/JX
이	이/MMD
작품이	작품/NNG+이/JKS
유일하다고	유일/NNG+하/XSA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.185.6.5
납작 엎드렸다 폴짝 뛰어오르려는 품의 두꺼비 등 위로 화염이 타오르듯 성난 얼굴의 도깨비상이 올라탄 반원막새 무늬는 또 무슨 정체일까.

납작	납작/MAG
엎드렸다	엎드리/VV+었/EP+다/EC
폴짝	폴짝/MAG
뛰어오르려는	뛰어오르/VV+려는/ETM
품의	품/NNG+의/JKG
두꺼비	두꺼비/NNG
등	등/NNG
위로	위/NNG+로/JKB
화염이	화염/NNG+이/JKS
타오르듯	타오르/VV+듯/EC
성난	성나/VV+ㄴ/ETM
얼굴의	얼굴/NNG+의/JKG
도깨비상이	도깨비/NNG+상/NNG+이/JKS
올라탄	올라타/VV+ㄴ/ETM
반원막새	반원/NNG+막새/NNG
무늬는	무늬/NNG+는/JX
또	또/MAG
무슨	무슨/MMD
정체일까.	정체/NNG+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000048.185.6.6
두꺼비는 고대 동아시아에서 하늘과 인간을 잇는 신령한 동물로 숭배되었고, 고구려 벽화에도 등장한다.

두꺼비는	두꺼비/NNG+는/JX
고대	고대/NNG
동아시아에서	동아시아/NNP+에서/JKB
하늘과	하늘/NNG+과/JC
인간을	인간/NNG+을/JKO
잇는	잇/VV+는/ETM
