# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.210
metadata : {}


# id : NWRW1800000037.210.1.1
연천 GOP초소서 수류탄 폭발… 신병 1명 숨지고 소대장 부상

연천	연천/NNP
GOP초소서	GOP/SL+초소/NNG+서/JKB
수류탄	수류탄/NNG
폭발…	폭발/NNG+…/SE
신병	신병/NNG
1명	1/SN+명/NNB
숨지고	숨지/VV+고/EC
소대장	소대장/NNG
부상	부상/NNG


# id : NWRW1800000037.210.2.1
3일 오전 5시 5분경 경기 연천군 육군 모 부대의 전방관측소(GOP) 철책 대기초소에서 수류탄 1발이 터져 최모 이병(21)이 숨지고 최 이병과 함께 있던 박모 소위(24)가 부상을 당했다.

3일	3/SN+일/NNB
오전	오전/NNG
5시	5/SN+시/NNB
5분경	5/SN+분/NNB+경/XSN
경기	경기/NNP
연천군	연천군/NNP
육군	육군/NNG
모	모/MMD
부대의	부대/NNG+의/JKG
전방관측소(GOP)	전방/NNG+관측소/NNG+(/SS+GOP/SL+)/SS
철책	철책/NNG
대기초소에서	대기/NNG+초소/NNG+에서/JKB
수류탄	수류탄/NNG
1발이	1/SN+발/NNB+이/JKS
터져	터지/VV+어/EC
최모	최/NNP+모/NP
이병(21)이	이병/NNG+(/SS+21/SN+)/SS+이/JKS
숨지고	숨지/VV+고/EC
최	최/NNP
이병과	이병/NNG+과/JKB
함께	함께/MAG
있던	있/VV+던/ETM
박모	박/NNP+모/NP
소위(24)가	소위/NNG+(/SS+24/SN+)/SS+가/JKS
부상을	부상/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.210.3.1
군 관계자는 4일 “소대장인 박 소위가 최 이병을 데리고 GOP 순찰을 하다 대기초소에서 쉬는 도중 갑자기 수류탄이 폭발했다”며 “부대 관계자를 상대로 정확한 사고 경위를 조사 중”이라고 밝혔다.

군	군/NNG
관계자는	관계자/NNG+는/JX
4일	4/SN+일/NNB
“소대장인	“/SS+소대장/NNG+이/VCP+ㄴ/ETM
박	박/NNP
소위가	소위/NNG+가/JKS
최	최/NNP
이병을	이병/NNG+을/JKO
데리고	데리/VV+고/EC
GOP	GOP/SL
순찰을	순찰/NNG+을/JKO
하다	하/VV+다/EC
대기초소에서	대기/NNG+초소/NNG+에서/JKB
쉬는	쉬/VV+는/ETM
도중	도중/NNG
갑자기	갑자기/MAG
수류탄이	수류탄/NNG+이/JKS
폭발했다”며	폭발/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“부대	“/SS+부대/NNG
관계자를	관계자/NNG+를/JKO
상대로	상대/NNG+로/JKB
정확한	정확/NNG+하/XSA+ㄴ/ETM
사고	사고/NNG
경위를	경위/NNG+를/JKO
조사	조사/NNG
중”이라고	중/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.210.3.2
박 소위는 “최 이병과 함께 초소에서 잠시 졸고 있는데 ‘펑’ 하는 폭음을 듣고 초소 밖으로 뛰쳐나갔다”고 진술한 것으로 알려졌다.

박	박/NNP
소위는	소위/NNG+는/JX
“최	“/SS+최/NNP
이병과	이병/NNG+과/JKB
함께	함께/MAG
초소에서	초소/NNG+에서/JKB
잠시	잠시/MAG
졸고	졸/VV+고/EC
있는데	있/VX+는데/EC
‘펑’	‘/SS+펑/MAG+’/SS
하는	하/VV+는/ETM
폭음을	폭음/NNG+을/JKO
듣고	듣/VV+고/EC
초소	초소/NNG
밖으로	밖/NNG+으로/JKB
뛰쳐나갔다”고	뛰쳐나가/VV+았/EP+다/EF+”/SS+고/JKQ
진술한	진술/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.210.3.3
사고 당시 머리와 목, 어깨 부위에 파편상을 입은 박 소위는 인근 병원으로 옮겨져 응급수술을 받았다.

사고	사고/NNG
당시	당시/NNG
머리와	머리/NNG+와/JC
목,	목/NNG+,/SP
어깨	어깨/NNG
