# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.133
metadata : {}


# id : NWRW1800000028.133.1.1
여당·보수쪽 ‘강경론-신중론’ 혼재

여당·보수쪽	여당/NNG+·/SP+보수/NNG+쪽/NNB
‘강경론-신중론’	‘/SS+강경/NNG+론/XSN+-/SO+신중/NNG+론/XSN+’/SS
혼재	혼재/NNG


# id : NWRW1800000028.133.2.1
천안함 침몰 사건 대응을 두고 보수진영에서 ‘강경론’과 ‘신중론’이 엇갈리고 있다.

천안함	천안함/NNP
침몰	침몰/NNG
사건	사건/NNG
대응을	대응/NNG+을/JKO
두고	두/VV+고/EC
보수진영에서	보수/NNG+진영/NNG+에서/JKB
‘강경론’과	‘/SS+강경/NNG+론/XSN+’/SS+과/JC
‘신중론’이	‘/SS+신중/NNG+론/XSN+’/SS+이/JKS
엇갈리고	엇갈리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.133.2.2
보수 언론들은 강경론 일색이지만, 한나라당에선 지도부에서도 강온이 교차한다.

보수	보수/NNG
언론들은	언론/NNG+들/XSN+은/JX
강경론	강경/NNG+론/XSN
일색이지만,	일색/NNG+이/VCP+지만/EC+,/SP
한나라당에선	한나라당/NNP+에서/JKB+ㄴ/JX
지도부에서도	지도부/NNG+에서/JKB+도/JX
강온이	강온/NNG+이/JKS
교차한다.	교차/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.133.3.1
정몽준 한나라당 대표는 19일 최고위원회의에서 “함미 인양 후 전문가들이 파손된 부분을 분석해 본 결과 침몰 원인이 외부 피격에 의한 가능성이 높다는 발표가 있었다”면서도 “남북관계를 고려할 때 천안함 침몰사건의 원인을 북한과 연결하는 것은 최종 분석 결과가 있을 때까지 신중할 필요가 있다”고 말했다.

정몽준	정몽준/NNP
한나라당	한나라당/NNP
대표는	대표/NNG+는/JX
19일	19/SN+일/NNB
최고위원회의에서	최고/NNG+위원/NNG+회의/NNG+에서/JKB
“함미	“/SS+함미/NNG
