# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.116
metadata : {}


# id : NWRW1800000037.116.1.1
WCC공동선언문 뭐길래… 10월 부산총회 앞두고 개신교계 파장 일으키나

WCC공동선언문	WCC/SL+공동/NNG+선언문/NNG
뭐길래…	뭐/NP+이/VCP+길래/EC+…/SE
10월	10/SN+월/NNB
부산총회	부산/NNP+총회/NNG
앞두고	앞두/VV+고/EC
개신교계	개신교/NNG+계/XSN
파장	파장/NNG
일으키나	일으키/VV+나/EC


# id : NWRW1800000037.116.2.1
10월에 열리는 세계교회협의회(WCC) 부산 총회를 앞두고 발표된 이른바 ‘WCC 공동선언문’이 개신교계에 큰 파장을 불러일으키고 있다.

10월에	10/SN+월/NNB+에/JKB
열리는	열리/VV+는/ETM
세계교회협의회(WCC)	세계교회협의회/NNP+(/SS+WCC/SL+)/SS
부산	부산/NNP
총회를	총회/NNG+를/JKO
앞두고	앞두/VV+고/EC
발표된	발표/NNG+되/XSV+ㄴ/ETM
이른바	이른바/MAG
‘WCC	‘/SS+WCC/SL
공동선언문’이	공동/NNG+선언문/NNG+’/SS+이/JKS
개신교계에	개신교/NNG+계/XSN+에/JKB
큰	크/VA+ㄴ/ETM
파장을	파장/NNG+을/JKO
불러일으키고	불러일으키/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.116.2.2
WCC는 진보적 성향의 개신교계 국제단체로 세계 110개국 300여 개 교단이 가입해 있다.

WCC는	WCC/SL+는/JX
진보적	진보/NNG+적/XSN
성향의	성향/NNG+의/JKG
개신교계	개신교/NNG+계/XSN
국제단체로	국제/NNG+단체/NNG+로/JKB
세계	세계/NNG
110개국	110/SN+개국/NNB
300여	300/SN+여/XSN
개	개/NNB
교단이	교단/NNG+이/JKS
가입해	가입/NNG+하/XSV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.116.2.3
부산 총회는 인도에 이어 아시아에서는 두 번째로 열리는 대회로 관심을 끌어왔다.

부산	부산/NNP
총회는	총회/NNG+는/JX
인도에	인도/NNP+에/JKB
이어	잇/VV+어/EC
아시아에서는	아시아/NNP+에서/JKB+는/JX
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
열리는	열리/VV+는/ETM
대회로	대회/NNG+로/JKB
관심을	관심/NNG+을/JKO
끌어왔다.	끌어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.116.3.1
○ 공동선언문이 뭐길래…그 속사정은?

○	○/SW
공동선언문이	공동/NNG+선언문/NNG+이/JKS
뭐길래…그	뭐/NP+이/VCP+길래/EC+…/SE+그/MMD
속사정은?	속사정/NNG+은/JX+?/SF


# id : NWRW1800000037.116.4.1
공동선언문 파문은 13일 홍재철 한국기독교총연합회(한기총) 대표회장, 길자연 세계복음주의연맹(WEA) 한국대회 준비위원장, 김영주 한국기독교교회협의회(NCCK) 총무, 김삼환 WCC 한국준비위원회 상임위원장 등 4명이 WCC 부산 총회와 2014년 WEA 서울 대회의 성공적 개최를 위해 협력할 것을 다짐하는 선언문을 발표하면서 불거졌다.

공동선언문	공동/NNG+선언문/NNG
파문은	파문/NNG+은/JX
13일	13/SN+일/NNB
홍재철	홍재철/NNP
한국기독교총연합회(한기총)	한국기독교총연합회/NNP+(/SS+한기총/NNP+)/SS
대표회장,	대표/NNG+회장/NNG+,/SP
길자연	길자연/NNP
세계복음주의연맹(WEA)	세계복음주의연맹/NNP+(/SS+WEA/SL+)/SS
한국대회	한국/NNP+대회/NNG
준비위원장,	준비/NNG+위원장/NNG+,/SP
김영주	김영주/NNP
한국기독교교회협의회(NCCK)	한국기독교교회협의회/NNP+(/SS+NCCK/SL+)/SS
총무,	총무/NNG+,/SP
김삼환	김삼환/NNP
WCC	WCC/SL
한국준비위원회	한국준비위원회/NNP
상임위원장	상임/NNG+위원장/NNG
등	등/NNB
4명이	4/SN+명/NNB+이/JKS
부산	부산/NNP
총회와	총회/NNG+와/JC
2014년	2014/SN+년/NNB
WEA	WEA/SL
서울	서울/NNP
대회의	대회/NNG+의/JKG
성공적	성공/NNG+적/XSN
개최를	개최/NNG+를/JKO
위해	위하/VV+아/EC
협력할	협력/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
다짐하는	다짐/NNG+하/XSV+는/ETM
선언문을	선언문/NNG+을/JKO
발표하면서	발표/NNG+하/XSV+면서/EC
불거졌다.	불거지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.116.4.2
한기총은 이전까지 “WCC가 복음주의에서 벗어나 있다”며 대회 개최에 반대한다는 입장을 밝혀왔다.

한기총은	한기총/NNP+은/JX
이전까지	이전/NNG+까지/JX
“WCC가	“/SS+WCC/SL+가/JKS
복음주의에서	복음주의/NNG+에서/JKB
벗어나	벗어나/VV
있다”며	있/VX+다/EF+”/SS+며/EC
대회	대회/NNG
개최에	개최/NNG+에/JKB
반대한다는	반대/NNG+하/XSV+ㄴ다는/ETM
입장을	입장/NNG+을/JKO
밝혀왔다.	밝히/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.116.4.3
공동 선언문은 △종교 다원주의 배격 △공산주의 동성연애 등 복음에 반하는 모든 사상 반대 △개종 전도 금지주의 반대 등을 천명했다.

공동	공동/NNG
선언문은	선언문/NNG+은/JX
△종교	△/SW+종교/NNG
다원주의	다원주의/NNG
배격	배격/NNG
△공산주의	△/SW+공산주의/NNG
동성연애	동성연애/NNG
등	등/NNB
복음에	복음/NNG+에/JKB
반하는	반하/VV+는/ETM
모든	모든/MMN
사상	사상/NNG
반대	반대/NNG
△개종	△/SW+개종/NNG
전도	전도/NNG
금지주의	금지주의/NNG
등을	등/NNB+을/JKO
천명했다.	천명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.116.5.1
그러나 김근상 NCCK 회장(성공회 주교)은 25일 회견을 통해 “공동선언문은 김 총무 개인 의견이다.

그러나	그러나/MAJ
김근상	김근상/NNP
NCCK	NCCK/SL
회장(성공회	회장/NNG+(/SS+성공회/NNG
주교)은	주교/NNG+)/SS+은/JX
25일	25/SN+일/NNB
회견을	회견/NNG+을/JKO
통해	통하/VV+아/EC
“공동선언문은	“/SS+공동/NNG+선언문/NNG+은/JX
김	김/NNP
총무	총무/NNG
개인	개인/NNG
의견이다.	의견/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.116.5.2
NCCK 차원의 결정이 아니다”고 밝혔다.

NCCK	NCCK/SL
차원의	차원/NNG+의/JKG
결정이	결정/NNG+이/JKC
아니다”고	아니/VCN+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.116.5.3
9개 교단의 협의체로 총무 중심으로 운영되는 NCCK에서 회장이 공개적으로 반박한 것은 매우 이례적이다.

9개	9/SN+개/NNB
교단의	교단/NNG+의/JKG
협의체로	협의체/NNG+로/JKB
총무	총무/NNG
중심으로	중심/NNG+으로/JKB
운영되는	운영/NNG+되/XSV+는/ETM
NCCK에서	NCCK/SL+에서/JKB
회장이	회장/NNG+이/JKS
공개적으로	공개/NNG+적/XSN+으로/JKB
반박한	반박/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
매우	매우/MAG
이례적이다.	이례/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000037.116.5.4
이후 예장(예수교장로회) 통합 교단, 한국 정교회 등 NCCK 소속 교단과 성공회대, 감신대 등 교수 그룹의 공동선언문 반대 성명이 잇따라 발표됐다.

이후	이후/NNG
예장(예수교장로회)	예장/NNP+(/SS+예수교/NNG+장로회/NNG+)/SS
통합	통합/NNG
교단,	교단/NNG+,/SP
한국	한국/NNP
정교회	정교회/NNG
등	등/NNB
NCCK	NCCK/SL
소속	소속/NNG
교단과	교단/NNG+과/JC
성공회대,	성공회대/NNP+,/SP
감신대	감신대/NNP
교수	교수/NNG
그룹의	그룹/NNG+의/JKG
공동선언문	공동/NNG+선언문/NNG
반대	반대/NNG
성명이	성명/NNG+이/JKS
잇따라	잇따르/VV+아/EC
발표됐다.	발표/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.116.5.5
이들은 ‘개종 전도 금지주의 반대’ ‘종교적 다원주의 반대’ 등 선언문 내용이 NCCK가 추구해온 교회 일치와 종교 간 평화의 원칙에 위배된다고 주장했다.

이들은	이/NP+들/XSN+은/JX
‘개종	‘/SS+개종/NNG
전도	전도/NNG
금지주의	금지주의/NNG
반대’	반대/NNG+’/SS
‘종교적	‘/SS+종교/NNG+적/XSN
다원주의	다원주의/NNG
등	등/NNB
선언문	선언문/NNG
내용이	내용/NNG+이/JKS
NCCK가	NCCK/SL+가/JKS
추구해온	추구/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
교회	교회/NNG
일치와	일치/NNG+와/JC
종교	종교/NNG
간	간/NNB
평화의	평화/NNG+의/JKG
원칙에	원칙/NNG+에/JKB
위배된다고	위배/NNG+되/XSV+ㄴ다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.116.6.1
○ 공동선언문 사문화…WCC는 어디로?

○	○/SW
공동선언문	공동/NNG+선언문/NNG
사문화…WCC는	사문/NNG+화/XSN+…/SE+WCC/SL+는/JX
어디로?	어디/NP+로/JKB+?/SF


# id : NWRW1800000037.116.7.1
교계에서는 NCCK 안팎의 비판이 거세지면서 공동선언문은 사실상 폐기된 것으로 보고 있다.

교계에서는	교계/NNG+에서/JKB+는/JX
NCCK	NCCK/SL
안팎의	안팎/NNG+의/JKG
비판이	비판/NNG+이/JKS
거세지면서	거세/VA+어/EC+지/VX+면서/EC
공동선언문은	공동/NNG+선언문/NNG+은/JX
사실상	사실상/MAG
폐기된	폐기/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.116.7.2
최근 방한한 올라브 ”세 트베이트 WCC 총무는 29일 간담회에서 “공동선언문 논쟁에는 관여하지 않겠다”며 “한국준비위원회, 한국 교회들과 협력해 대회가 원만하게 치러지도록 노력하겠다”고 밝혔다.

최근	최근/MAG
방한한	방한/NNG+하/XSV+ㄴ/ETM
올라브	올라브/NNP
”세	”/SS+세/NNP
트베이트	트베이트/NNP
WCC	WCC/SL
총무는	총무/NNG+는/JX
29일	29/SN+일/NNB
간담회에서	간담회/NNG+에서/JKB
“공동선언문	“/SS+공동/NNG+선언문/NNG
논쟁에는	논쟁/NNG+에/JKB+는/JX
관여하지	관여/NNG+하/XSV+지/EC
