# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.27
metadata : {}


# id : NWRW1800000030.27.1.1
中, 몽골족 숨지게 한 漢族 기사 사형 선고

中,	中/SH+,/SP
몽골족	몽골족/NNP
숨지게	숨지/VV+게/EC
한	하/VX+ㄴ/ETM
漢族	漢族/SH
기사	기사/NNG
사형	사형/NNG
선고	선고/NNG


# id : NWRW1800000030.27.2.1
•네이멍구 시위 유발 책임 물어, 이례적으로 신속하게 처리

•네이멍구	•/SW+네이멍구/NNP
시위	시위/NNG
유발	유발/NNG
책임	책임/NNG
물어,	물/VV+어/EC+,/SP
이례적으로	이례/NNG+적/XSN+으로/JKB
신속하게	신속/NNG+하/XSA+게/EC
처리	처리/NNG


# id : NWRW1800000030.27.3.1
초원 파괴와 환경오염에 항의하는 몽골족 유목민을 치어 숨지게 해 중국 네이멍구(內蒙古)자치구의 대규모 소수민족 시위사태를 불렀던 한족 석탄트럭 기사 2명에게 사형과 무기징역의 중형이 선고됐다.

초원	초원/NNG
파괴와	파괴/NNG+와/JC
환경오염에	환경/NNG+오염/NNG+에/JKB
항의하는	항의/NNG+하/XSV+는/ETM
몽골족	몽골족/NNP
유목민을	유목민/NNG+을/JKO
치어	치/VV+어/EC
숨지게	숨지/VV+게/EC
해	하/VX+아/EC
중국	중국/NNP
네이멍구(內蒙古)자치구의	네이멍구/NNP+(/SS+內蒙古/SH+)/SS+자치구/NNG+의/JKG
대규모	대/XPN+규모/NNG
소수민족	소수/NNG+민족/NNG
시위사태를	시위/NNG+사태/NNG+를/JKO
불렀던	부르/VV+었/EP+던/ETM
한족	한족/NNP
석탄트럭	석탄/NNG+트럭/NNG
기사	기사/NNG
2명에게	2/SN+명/NNB+에게/JKB
사형과	사형/NNG+과/JC
무기징역의	무기/NNG+징역/NNG+의/JKG
중형이	중형/NNG+이/JKS
선고됐다.	선고/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.27.4.1
네이멍구자치구 시린궈러멍(錫林郭勒盟) 중급 인민법원은 지난 8일 몽골족 유목민을 고의로 살해한 혐의로 기소된 석탄트럭 운전기사 리린둥(李林東)과 보조기사 루샹둥(盧向東)에게 각각 사형과 무기징역을 선고했다고 중국 관영 차이나데일리가 9일 보도했다.

네이멍구자치구	네이멍구자치구/NNP
시린궈러멍(錫林郭勒盟)	시린궈러멍/NNP+(/SS+錫林郭勒盟/SH+)/SS
중급	중급/NNG
인민법원은	인민/NNG+법원/NNG+은/JX
지난	지나/VV+ㄴ/ETM
8일	8/SN+일/NNB
몽골족	몽골족/NNP
유목민을	유목민/NNG+을/JKO
고의로	고의/NNG+로/JKB
살해한	살해/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
석탄트럭	석탄/NNG+트럭/NNG
운전기사	운전기사/NNG
리린둥(李林東)과	리린둥/NNP+(/SS+李林東/SH+)/SS+과/JC
보조기사	보조/NNG+기사/NNG
루샹둥(盧向東)에게	루샹둥/NNP+(/SS+盧向東/SH+)/SS+에게/JKB
각각	각각/MAG
사형과	사형/NNG+과/JC
무기징역을	무기/NNG+징역/NNG+을/JKO
선고했다고	선고/NNG+하/XSV+았/EP+다고/EC
중국	중국/NNP
관영	관영/NNG
차이나데일리가	차이나데일리/NNP+가/JKS
9일	9/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.27.4.2
또 이들을 체포하기 위해 출동한 경찰차의 운행을 방해한 같은 회사 소속 트럭 운전기사 우샤오웨이(吳曉偉)와 리밍강(李明剛)에게도 각각 징역 3년이 선고됐다.

또	또/MAG
이들을	이/NP+들/XSN+을/JKO
체포하기	체포/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
출동한	출동/NNG+하/XSV+ㄴ/ETM
경찰차의	경찰차/NNG+의/JKG
운행을	운행/NNG+을/JKO
방해한	방해/NNG+하/XSV+ㄴ/ETM
같은	같/VA+은/ETM
회사	회사/NNG
소속	소속/NNG
트럭	트럭/NNG
운전기사	운전기사/NNG
우샤오웨이(吳曉偉)와	우샤오웨이/NNP+(/SS+吳曉偉/SH+)/SS+와/JC
리밍강(李明剛)에게도	리밍강/NNP+(/SS+李明剛/SH+)/SS+에게/JKB+도/JX
각각	각각/MAG
징역	징역/NNG
3년이	3/SN+년/NNB+이/JKS
선고됐다.	선고/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.27.4.3
재판부는 "범죄 정황이 악랄하고 범행 수법이 잔인하며 사회에 미치는 악영향이 큰 만큼 중형이 불가피하다"고 밝혔다.

재판부는	재판부/NNG+는/JX
"범죄	"/SS+범죄/NNG
정황이	정황/NNG+이/JKS
악랄하고	악랄/NNG+하/XSA+고/EC
범행	범행/NNG
수법이	수법/NNG+이/JKS
잔인하며	잔인/NNG+하/XSA+며/EC
사회에	사회/NNG+에/JKB
미치는	미치/VV+는/ETM
악영향이	악영향/NNG+이/JKS
큰	크/VA+ㄴ/ETM
만큼	만큼/NNB
중형이	중형/NNG+이/JKS
불가피하다"고	불가피하/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.27.4.4
이들은 즉각 항소했다.

이들은	이/NP+들/XSN+은/JX
즉각	즉각/MAG
항소했다.	항소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.27.5.1
이번 재판 결과는 사건이 발생한 지 불과 29일 만에 나왔다.

이번	이번/NNG
재판	재판/NNG
결과는	결과/NNG+는/JX
사건이	사건/NNG+이/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
지	지/NNB
불과	불과/MAG
29일	29/SN+일/NNB
만에	만/NNB+에/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.27.5.2
재판정도 이례적으로 공개됐다.

재판정도	재판정/NNG+도/JX
이례적으로	이례/NNG+적/XSN+으로/JKB
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.27.5.3
