# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.93
metadata : {}


# id : NWRW1800000052.93.1.1
샌더스가 꾸린 ‘우리의 혁명’ 첫발부터 ‘삐걱’

샌더스가	샌더스/NNP+가/JKS
꾸린	꾸리/VV+ㄴ/ETM
‘우리의	‘/SS+우리/NP+의/JKG
혁명’	혁명/NNG+’/SS
첫발부터	첫발/NNG+부터/JX
‘삐걱’	‘/SS+삐걱/MAG+’/SS


# id : NWRW1800000052.93.2.1
진보의제정책화 등 목표로 출범

진보의제정책화	진보/NNG+의제/NNG+정책/NNG+화/XSN
등	등/NNB
목표로	목표/NNG+로/JKB
출범	출범/NNG


# id : NWRW1800000052.93.3.1
익명기부허용에 간부들 사의 ‘내홍’

익명기부허용에	익명/NNG+기부/NNG+허용/NNG+에/JKB
간부들	간부/NNG+들/XSN
사의	사의/NNG
‘내홍’	‘/SS+내홍/NNG+’/SS


# id : NWRW1800000052.93.4.1
민주당 대선 후보 경선에서 ‘아웃사이더’ 돌풍을 일으켰던 버니 샌더스(사진) 상원의원이 꾸린 단체 ‘우리의 혁명’이 24일 공식 출범했다.

민주당	민주당/NNP
대선	대선/NNG
후보	후보/NNG
경선에서	경선/NNG+에서/JKB
‘아웃사이더’	‘/SS+아웃사이더/NNG+’/SS
돌풍을	돌풍/NNG+을/JKO
일으켰던	일으키/VV+었/EP+던/ETM
버니	버니/NNP
샌더스(사진)	샌더스/NNP+(/SS+사진/NNG+)/SS
상원의원이	상원/NNG+의원/NNG+이/JKS
꾸린	꾸리/VV+ㄴ/ETM
단체	단체/NNG
‘우리의	‘/SS+우리/NP+의/JKG
혁명’이	혁명/NNG+’/SS+이/JKS
24일	24/SN+일/NNB
공식	공식/NNG
출범했다.	출범/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.93.4.2
이 단체는 샌더스 의원이 민주당 경선에서부터 줄곧 강조했던 경제·인종·환경정의를 이어나가고, 연방의회나 지역의회를 망라해 정치권에 진출할 젊고 유능한 진보 정치인들을 키워내는 것을 목표로 한 비영리단체다.

이	이/MMD
단체는	단체/NNG+는/JX
샌더스	샌더스/NNP
의원이	의원/NNG+이/JKS
민주당	민주당/NNP
경선에서부터	경선/NNG+에서부터/JKB
줄곧	줄곧/MAG
강조했던	강조/NNG+하/XSV+았/EP+던/ETM
경제·인종·환경정의를	경제/NNG+·/SP+인종/NNG+·/SP+환경/NNG+정의/NNG+를/JKO
이어나가고,	잇/VV+어/EC+나가/VX+고/EC+,/SP
연방의회나	연방/NNG+의회/NNG+나/JC
지역의회를	지역/NNG+의회/NNG+를/JKO
망라해	망라/NNG+하/XSV+아/EC
정치권에	정치/NNG+권/XSN+에/JKB
진출할	진출/NNG+하/XSV+ㄹ/ETM
젊고	젊/VA+고/EC
유능한	유능/NNG+하/XSA+ㄴ/ETM
진보	진보/NNG
정치인들을	정치인/NNG+들/XSN+을/JKO
키워내는	키우/VV+어/EC+내/VX+는/ETM
것을	것/NNB+을/JKO
목표로	목표/NNG+로/JKB
한	하/VV+ㄴ/ETM
비영리단체다.	비/XPN+영리/NNG+단체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.93.5.1
‘우리의 혁명’ 출범식은 24일 샌더스 의원의 지역구인 버몬트주 벌링턴에서 열려 미국 전역의 2000여개 지역 모임에 온라인 생중계됐다고 <워싱턴 포스트> 등이 전했다.

‘우리의	‘/SS+우리/NP+의/JKG
혁명’	혁명/NNG+’/SS
출범식은	출범식/NNG+은/JX
24일	24/SN+일/NNB
샌더스	샌더스/NNP
의원의	의원/NNG+의/JKG
지역구인	지역구/NNG+이/VCP+ㄴ/ETM
버몬트주	버몬트주/NNP
벌링턴에서	벌링턴/NNP+에서/JKB
열려	열리/VV+어/EC
미국	미국/NNP
전역의	전역/NNG+의/JKG
2000여개	2000/SN+여/XSN+개/NNB
지역	지역/NNG
모임에	모임/NNG+에/JKB
온라인	온라인/NNG
생중계됐다고	생/XPN+중계/NNG+되/XSV+었/EP+다고/EC
<워싱턴	</SS+워싱턴/NNP
포스트>	포스트/NNP+>/SS
등이	등/NNB+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.93.5.2
1시간가량 이어진 출범식에서 샌더스 의원은 “‘우리의 혁명’은 수백만의 사람들과 함께할 것이며, 이 사람들은 지역의 학교위원회에서부터 시의회, 워싱턴 정치까지 다양한 곳에서 변화를 이뤄낼 것”이라고 포부를 밝혔다.

1시간가량	1/SN+시간/NNB+가량/XSN
이어진	이어지/VV+ㄴ/ETM
출범식에서	출범식/NNG+에서/JKB
샌더스	샌더스/NNP
의원은	의원/NNG+은/JX
“‘우리의	“/SS+‘/SS+우리/NP+의/JKG
혁명’은	혁명/NNG+’/SS+은/JX
수백만의	수백만/NR+의/JKG
사람들과	사람/NNG+들/XSN+과/JKB
