# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.130
metadata : {}


# id : NWRW1800000037.130.1.1
[문학예술]110년 전의 비엔나로 시간여행

[문학예술]110년	[/SS+문학예술/NNG+]/SS+110/SN+년/NNB
전의	전/NNG+의/JKG
비엔나로	비엔나/NNP+로/JKB
시간여행	시간/NNG+여행/NNG


# id : NWRW1800000037.130.2.1
◇비엔나 1900년: 삶과 예술 그리고 문화 크리스티안 브란트슈태터 외 지음·박수철 옮김/464쪽·4만5000원·예경

◇비엔나	◇/SW+비엔나/NNP
1900년:	1900/SN+년/NNB+:/SP
삶과	삶/NNG+과/JC
예술	예술/NNG
그리고	그리고/MAJ
문화	문화/NNG
크리스티안	크리스티안/NNP
브란트슈태터	브란트슈태터/NNP
외	외/NNB
지음·박수철	짓/VV+음/ETN+·/SP+박수철/NNP
옮김/464쪽·4만5000원·예경	옮기/VV+ㅁ/ETN+//SP+464/SN+쪽/NNG+·/SP+4/SN+만/NR+5000/SN+원/NNB+·/SP+예경/NNP


# id : NWRW1800000037.130.3.1
몇 년 전 휴가차 오스트리아 빈(비엔나)에 도착했을 때 짐을 풀자마자 가장 먼저 한 일은 시내 중심가에 나가 전차를 타는 것이었다.

몇	몇/NR
년	년/NNB
전	전/NNG
휴가차	휴가/NNG+차/NNB
오스트리아	오스트리아/NNP
빈(비엔나)에	빈/NNP+(/SS+비엔나/NNP+)/SS+에/JKB
도착했을	도착/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
짐을	짐/NNG+을/JKO
풀자마자	풀/VV+자마자/EC
가장	가장/MAG
먼저	먼저/MAG
한	하/VV+ㄴ/ETM
일은	일/NNG+은/JX
시내	시내/NNG
중심가에	중심가/NNG+에/JKB
나가	나가/VV+아/EC
전차를	전차/NNG+를/JKO
타는	타/VV+는/ETM
것이었다.	것/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.130.3.2
영화 ‘비포 선라이즈’에서 이선 호크와 줄리 델피가 기차에서 처음 만나 빈에 함께 내리자마자 탔던 그 전차 말이다.

영화	영화/NNG
‘비포	‘/SS+비포/NNP
선라이즈’에서	선라이즈/NNP+’/SS+에서/JKB
이선	이선/NNP
호크와	호크/NNP+와/JC
줄리	줄리/NNP
델피가	델피/NNP+가/JKS
기차에서	기차/NNG+에서/JKB
처음	처음/NNG
만나	만나/VV+아/EC
빈에	빈/NNP+에/JKB
함께	함께/MAG
내리자마자	내리/VV+자마자/EC
탔던	타/VV+았/EP+던/ETM
그	그/MMD
전차	전차/NNG
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.130.3.3
둘레 약 4km인 말발굽 모양의 링(Ring) 대로를 따라 도는 이 전차에서는 19세기에 조성된 국립오페라하우스, 왕궁 정원, 미술사박물관, 궁정극장, 시청사, 국회의사당 같은 문화공간과 건축물을 한번에 돌아볼 수 있다.

둘레	둘레/NNG
약	약/MMA
4km인	4/SN+km/SW+이/VCP+ㄴ/ETM
말발굽	말발굽/NNG
모양의	모양/NNG+의/JKG
링(Ring)	링/NNG+(/SS+Ring/SL+)/SS
대로를	대로/NNG+를/JKO
따라	따르/VV+아/EC
도는	돌/VV+는/ETM
이	이/MMD
전차에서는	전차/NNG+에서/JKB+는/JX
19세기에	19/SN+세기/NNG+에/JKB
조성된	조성/NNG+되/XSV+ㄴ/ETM
국립오페라하우스,	국립오페라하우스/NNP+,/SP
왕궁	왕궁/NNG
정원,	정원/NNG+,/SP
미술사박물관,	미술사박물관/NNP+,/SP
궁정극장,	궁정극장/NNP+,/SP
시청사,	시/NNG+청사/NNG+,/SP
국회의사당	국회의사당/NNP
같은	같/VA+은/ETM
문화공간과	문화/NNG+공간/NNG+과/JC
건축물을	건축물/NNG+을/JKO
한번에	한/MMN+번/NNB+에/JKB
돌아볼	돌아보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.130.3.4
이 아름다운 예술의 도시로부터 환영사를 듣는 황홀한 의식이랄까.

이	이/MMD
아름다운	아름답/VA+ㄴ/ETM
예술의	예술/NNG+의/JKG
도시로부터	도시/NNG+로부터/JKB
환영사를	환영사/NNG+를/JKO
듣는	듣/VV+는/ETM
황홀한	황홀/NNG+하/XSA+ㄴ/ETM
의식이랄까.	의식/NNG+이/VCP+랄까/EF+./SF


# id : NWRW1800000037.130.4.1
1900년을 전후한 시기 빈의 예술을 총체적으로 집약해 놓은 이 책을 읽으니 다시 빈으로 떠나 전차에 오르고 싶은 마음이 간절해졌다.

1900년을	1900/SN+년/NNB+을/JKO
전후한	전후/NNG+하/XSV+ㄴ/ETM
시기	시기/NNG
빈의	빈/NNP+의/JKG
예술을	예술/NNG+을/JKO
총체적으로	총체/NNG+적/XSN+으로/JKB
집약해	집약/NNG+하/XSV+아/EC
놓은	놓/VX+은/ETM
이	이/MMD
책을	책/NNG+을/JKO
읽으니	읽/VV+으니/EC
다시	다시/MAG
빈으로	빈/NNP+으로/JKB
떠나	떠나/VV+아/EC
전차에	전차/NNG+에/JKB
오르고	오르/VV+고/EC
싶은	싶/VX+은/ETM
마음이	마음/NNG+이/JKS
간절해졌다.	간절하/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.130.4.2
이번엔 책의 내용을 한 글자도 빠뜨리지 않고 몽땅 머릿속에 집어넣은 채로….

이번엔	이번/NNG+에/JKB+ㄴ/JX
책의	책/NNG+의/JKG
내용을	내용/NNG+을/JKO
한	한/MMN
글자도	글자/NNG+도/JX
빠뜨리지	빠뜨리/VV+지/EC
않고	않/VX+고/EC
몽땅	몽땅/MAG
머릿속에	머릿속/NNG+에/JKB
집어넣은	집어넣/VV+은/ETM
채로….	채/NNB+로/JKB+…/SE+./SF


# id : NWRW1800000037.130.5.1
19세기 말에서 20세기 초 빈은 음악 미술 철학 문학 건축 정신의학에서 새로운 조류가 태동한 유럽 전위파의 집결지였다.

19세기	19/SN+세기/NNG
말에서	말/NNB+에서/JKB
20세기	20/SN+세기/NNG
초	초/NNB
빈은	빈/NNP+은/JX
음악	음악/NNG
미술	미술/NNG
철학	철학/NNG
문학	문학/NNG
건축	건축/NNG
정신의학에서	정신/NNG+의학/NNG+에서/JKB
새로운	새롭/VA+ㄴ/ETM
조류가	조류/NNG+가/JKS
태동한	태동/NNG+하/XSV+ㄴ/ETM
유럽	유럽/NNP
전위파의	전위파/NNG+의/JKG
집결지였다.	집결지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000037.130.5.2
21세기의 학문적 예술적 진보는 상당 부분 110여 년 전의 빈에 빚지고 있다.

21세기의	21/SN+세기/NNG+의/JKG
학문적	학문/NNG+적/XSN
예술적	예술/NNG+적/XSN
진보는	진보/NNG+는/JX
상당	상당/NNG
부분	부분/NNG
110여	110/SN+여/XSN
년	년/NNB
전의	전/NNG+의/JKG
빈에	빈/NNP+에/JKB
빚지고	빚지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.130.5.3
특정 시점의 특정 도시에 대해 상세히 써 놓은 이 두꺼운 책이 가치 있는 이유다.

특정	특정/NNG
시점의	시점/NNG+의/JKG
도시에	도시/NNG+에/JKB
대해	대하/VV+아/EC
상세히	상세히/MAG
써	쓰/VV+어/EC
놓은	놓/VX+은/ETM
이	이/MMD
두꺼운	두껍/VA+ㄴ/ETM
책이	책/NNG+이/JKS
가치	가치/NNG
있는	있/VA+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.130.6.1
당시 빈에서 활동한 인물들의 면면만 봐도 화려하다.

당시	당시/NNG
빈에서	빈/NNP+에서/JKB
활동한	활동/NNG+하/XSV+ㄴ/ETM
인물들의	인물/NNG+들/XSN+의/JKG
면면만	면면/NNG+만/JX
봐도	보/VV+아도/EC
화려하다.	화려하/VA+다/EF+./SF


