# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.304
metadata : {}


# id : NWRW1800000038.304.1.1
[이하원의 동서남북] 日本 외교관에게 편지를 받다

[이하원의	[/SS+이하원/NNP+의/JKG
동서남북]	동서남북/NNG+]/SS
日本	日本/SH
외교관에게	외교관/NNG+에게/JKB
편지를	편지/NNG+를/JKO
받다	받/VV+다/EF


# id : NWRW1800000038.304.2.1
이 기자께.

이	이/NNP
기자께.	기자/NNG+께/JKB+./SF


# id : NWRW1800000038.304.3.1
지난 10일은 이명박 전 대통령이 다케시마(竹島·독도의 일본식 명칭)를 방문한 지 꼭 1년 되는 날이었습니다.

지난	지나/VV+ㄴ/ETM
10일은	10/SN+일/NNB+은/JX
이명박	이명박/NNP
전	전/MMD
대통령이	대통령/NNG+이/JKS
다케시마(竹島·독도의	다케시마/NNP+(/SS+竹島/SH+·/SP+독도/NNP+의/JKG
일본식	일본식/NNG
명칭)를	명칭/NNG+)/SS+를/JKO
방문한	방문/NNG+하/XSV+ㄴ/ETM
지	지/NNB
꼭	꼭/MAG
1년	1/SN+년/NNB
되는	되/VV+는/ETM
날이었습니다.	날/NNG+이/VCP+었/EP+습니다/EF+./SF


# id : NWRW1800000038.304.3.2
지난해 현직 한국 대통령의 첫 다케시마 방문은 많은 일본인을 놀라게 했습니다.

지난해	지난해/NNG
현직	현직/NNG
한국	한국/NNP
대통령의	대통령/NNG+의/JKG
첫	첫/MMN
다케시마	다케시마/NNP
방문은	방문/NNG+은/JX
많은	많/VA+은/ETM
일본인을	일본인/NNG+을/JKO
놀라게	놀라/VV+게/EC
했습니다.	하/VX+았/EP+습니다/EF+./SF


# id : NWRW1800000038.304.3.3
2010년 드미트리 메드베데프 당시 러시아 대통령이 역시 영토 분쟁 중인 쿠릴 열도에 발을 디뎠을 때보다 훨씬 더 충격을 받았습니다.

2010년	2010/SN+년/NNB
드미트리	드미트리/NNP
메드베데프	메드베데프/NNP
당시	당시/NNG
러시아	러시아/NNP
대통령이	대통령/NNG+이/JKS
역시	역시/MAG
영토	영토/NNG
분쟁	분쟁/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
쿠릴	쿠릴/NNP
열도에	열도/NNG+에/JKB
발을	발/NNG+을/JKO
디뎠을	디디/VV+었/EP+을/ETM
때보다	때/NNG+보다/JKB
훨씬	훨씬/MAG
더	더/MAG
충격을	충격/NNG+을/JKO
받았습니다.	받/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000038.304.4.1
많은 일본인은 최근 일·한 간 긴장 고조의 시발점을 MB의 다케시마 방문에서 찾고 있습니다.

많은	많/VA+은/ETM
일본인은	일본인/NNG+은/JX
최근	최근/NNG
일·한	일·한/NNP
간	간/NNB
긴장	긴장/NNG
고조의	고조/NNG+의/JKG
시발점을	시발점/NNG+을/JKO
MB의	MB/SL+의/JKG
다케시마	다케시마/NNP
방문에서	방문/NNG+에서/JKB
찾고	찾/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000038.304.4.2
이 사건 이후 가장 눈여겨봐야 할 것은 일본인들의 다케시마에 대한 관심이 커졌다는 것입니다.

이	이/MMD
사건	사건/NNG
이후	이후/NNG
가장	가장/MAG
눈여겨봐야	눈여겨보/VV+아야/EC
할	하/VX+ㄹ/ETM
것은	것/NNB+은/JX
일본인들의	일본인/NNG+들/XSN+의/JKG
다케시마에	다케시마/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
관심이	관심/NNG+이/JKS
커졌다는	커지/VV+었/EP+다는/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000038.304.5.1
일본 내각부(內閣府)가 이달 초 발표한 여론조사 결과를 알고 계시지요?

일본	일본/NNP
내각부(內閣府)가	내각부/NNG+(/SS+內閣府/SH+)/SS+가/JKS
이달	이달/NNG
초	초/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
여론조사	여론/NNG+조사/NNG
결과를	결과/NNG+를/JKO
알고	알/VV+고/EC
계시지요?	계시/VX+지요/EF+?/SF


# id : NWRW1800000038.304.5.2
일본 정부가 일본 국민 3000명을 대상으로 다케시마에 대해 처음 실시한 여론조사 결과는 한국에 큰 충격일 겁니다.

일본	일본/NNP
정부가	정부/NNG+가/JKS
국민	국민/NNG
3000명을	3000/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
다케시마에	다케시마/NNP+에/JKB
대해	대하/VV+아/EC
처음	처음/NNG
실시한	실시/NNG+하/XSV+ㄴ/ETM
여론조사	여론/NNG+조사/NNG
결과는	결과/NNG+는/JX
한국에	한국/NNP+에/JKB
큰	크/VA+ㄴ/ETM
충격일	충격/NNG+이/VCP+ㄹ/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000038.304.5.3
응답자의 63.1%가 "한국이 다케시마를 불법 점거하고 있다"고 했습니다.

응답자의	응답자/NNG+의/JKG
63.1%가	63/SN+./SP+1/SN+%/SW+가/JKS
"한국이	"/SS+한국/NNP+이/JKS
다케시마를	다케시마/NNP+를/JKO
불법	불법/NNG
점거하고	점거/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했습니다.	하/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000038.304.5.4
제가 더 놀란 것은 응답자의 94.5%가 다케시마를 알고 있다고 한 겁니다.

제가	제/NP+가/JKS
더	더/MAG
놀란	놀라/VV+ㄴ/ETM
것은	것/NNB+은/JX
응답자의	응답자/NNG+의/JKG
94.5%가	94/SN+./SP+5/SN+%/SW+가/JKS
다케시마를	다케시마/NNP+를/JKO
알고	알/VV+고/EC
있다고	있/VX+다고/EC
한	하/VV+ㄴ/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000038.304.5.5
지난 2005년 시마네현이 '다케시마의 날' 조례를 제정할 때와 비교하면 놀라운 변화입니다.

지난	지나/VV+ㄴ/ETM
2005년	2005/SN+년/NNB
시마네현이	시마네현/NNP+이/JKS
'다케시마의	'/SS+다케시마/NNP+의/JKG
날'	날/NNG+'/SS
조례를	조례/NNG+를/JKO
제정할	제정/NNG+하/XSV+ㄹ/ETM
때와	때/NNG+와/JKB
비교하면	비교/NNG+하/XSV+면/EC
놀라운	놀랍/VA+ㄴ/ETM
변화입니다.	변화/NNG+이/VCP+ㅂ니다/EF+./SF


