# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.126
metadata : {}


# id : NWRW1800000026.126.1.1
세계인의 건강식탁에 오른 두부;'SBS 스페셜' 밤 11시 20분

세계인의	세계인/NNG+의/JKG
건강식탁에	건강/NNG+식탁/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
두부;'SBS	두부/NNG+;/SW+'/SS+SBS/SL
스페셜'	스페셜/NNG+'/SS
밤	밤/NNG
11시	11/SN+시/NNB
20분	20/SN+분/NNB


# id : NWRW1800000026.126.2.1
한자어로 '썩은 콩'인 두부(豆腐).

한자어로	한자어/NNG+로/JKB
'썩은	'/SS+썩/VV+은/ETM
콩'인	콩/NNG+'/SS+이/VCP+ㄴ/ETM
두부(豆腐).	두부/NNG+(/SS+豆腐/SH+)/SS+./SF


# id : NWRW1800000026.126.2.2
하지만 두부는 발효식품이 아닌 콩을 이용한 대표적인 건강식품으로 꼽힌다.

하지만	하지만/MAJ
두부는	두부/NNG+는/JX
발효식품이	발효/NNG+식품/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
콩을	콩/NNG+을/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
건강식품으로	건강식품/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.126.2.3
최근엔 세계인들이 관심을 갖는 건강식품으로 부상하고 있는 중이다.

최근엔	최근/NNG+에/JKB+ㄴ/JX
세계인들이	세계인/NNG+들/XSN+이/JKS
관심을	관심/NNG+을/JKO
갖는	갖/VV+는/ETM
건강식품으로	건강식품/NNG+으로/JKB
부상하고	부상/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.126.3.1
SBS TV는 2부작 다큐멘터리 'SBS 스페셜-두부견문록'을 18일과 25일 밤 11시 20분 방송한다.

SBS	SBS/SL
TV는	TV/SL+는/JX
2부작	2/SN+부작/NNB
다큐멘터리	다큐멘터리/NNG
'SBS	'/SS+SBS/SL
스페셜-두부견문록'을	스페셜/NNG+-/SO+두부/NNG+견문록/NNG+'/SS+을/JKO
18일과	18/SN+일/NNB+과/JC
25일	25/SN+일/NNB
밤	밤/NNG
11시	11/SN+시/NNB
20분	20/SN+분/NNB
방송한다.	방송/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.126.4.1
중국 남쪽지방에서 발달한 두부는 중국의 북쪽지방을 거쳐 한국에 전파됐다.

중국	중국/NNP
남쪽지방에서	남쪽/NNG+지방/NNG+에서/JKB
발달한	발달/NNG+하/XSV+ㄴ/ETM
두부는	두부/NNG+는/JX
중국의	중국/NNP+의/JKG
북쪽지방을	북쪽/NNG+지방/NNG+을/JKO
거쳐	거치/VV+어/EC
한국에	한국/NNP+에/JKB
전파됐다.	전파/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.126.4.2
'세종실록'은 '조선에서 보낸 여인네들의 음식 솜씨가 뛰어나고 특히 두부를 만들고 요리하는 솜씨가 절묘하니 앞으로 두부를 잘 만드는 여인네들을 보내 달라'는 중국 황실의 반응을 기술할 정도였다.

'세종실록'은	'/SS+세종실록/NNP+'/SS+은/JX
'조선에서	'/SS+조선/NNP+에서/JKB
보낸	보내/VV+ㄴ/ETM
여인네들의	여인네/NNG+들/XSN+의/JKG
음식	음식/NNG
솜씨가	솜씨/NNG+가/JKS
뛰어나고	뛰어나/VA+고/EC
특히	특히/MAG
두부를	두부/NNG+를/JKO
만들고	만들/VV+고/EC
요리하는	요리/NNG+하/XSV+는/ETM
절묘하니	절묘하/VA+니/EC
앞으로	앞/NNG+으로/JKB
잘	잘/MAG
만드는	만들/VV+는/ETM
여인네들을	여인네/NNG+들/XSN+을/JKO
보내	보내/VV+어/EC
달라'는	달/VX+라/EF+'/SS+는/ETM
중국	중국/NNP
황실의	황실/NNG+의/JKG
반응을	반응/NNG+을/JKO
기술할	기술/NNG+하/XSV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.126.4.3
중국에서 한국, 일본으로 전해진 각각의 독특한 두부 제조 방식을 소개한다.

중국에서	중국/NNP+에서/JKB
한국,	한국/NNP+,/SP
일본으로	일본/NNP+으로/JKB
전해진	전하/VV+아/EC+지/VX+ㄴ/ETM
각각의	각각/NNG+의/JKG
독특한	독특/NNG+하/XSA+ㄴ/ETM
두부	두부/NNG
제조	제조/NNG
방식을	방식/NNG+을/JKO
소개한다.	소개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.126.5.1
두부는 제조과정에서 어느 것 하나 버려지는 것이 없다.

두부는	두부/NNG+는/JX
제조과정에서	제조/NNG+과정/NNG+에서/JKB
어느	어느/MMD
것	것/NNB
하나	하나/NR
버려지는	버려지/VV+는/ETM
것이	것/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000026.126.5.2
콩을 갈면 콩물과 비지가 생성되는데, 끓인 콩물은 간수와 엉켜 두부가 되고, 비지는 요리로 식탁에 오른다.

콩을	콩/NNG+을/JKO
갈면	갈/VV+면/EC
콩물과	콩/NNG+물/NNG+과/JC
비지가	비지/NNG+가/JKS
생성되는데,	생성/NNG+되/XSV+는데/EC+,/SP
끓인	끓이/VV+ㄴ/ETM
콩물은	콩/NNG+물/NNG+은/JX
간수와	간수/NNG+와/JKB
엉켜	엉키/VV+어/EC
두부가	두부/NNG+가/JKS
되고,	되/VV+고/EC+,/SP
비지는	비지/NNG+는/JX
요리로	요리/NNG+로/JKB
식탁에	식탁/NNG+에/JKB
오른다.	오르/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.126.5.3
간단해 보이는 제조과정이지만 만드는 사람마다 세밀한 차이가 있고, 그 차이가 두부의 맛과 형태를 좌우한다고 한다.

간단해	간단하/VA+아/EC
보이는	보이/VV+는/ETM
제조과정이지만	제조/NNG+과정/NNG+이/VCP+지만/EC
만드는	만들/VV+는/ETM
사람마다	사람/NNG+마다/JX
세밀한	세밀하/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
있고,	있/VA+고/EC+,/SP
그	그/MMD
두부의	두부/NNG+의/JKG
맛과	맛/NNG+과/JC
형태를	형태/NNG+를/JKO
좌우한다고	좌우/NNG+하/XSV+ㄴ다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.126.6.1
두부 열풍은 캐나다, 미국, 독일 등 유럽으로 번지고 있는 중이다.

두부	두부/NNG
열풍은	열풍/NNG+은/JX
캐나다,	캐나다/NNP+,/SP
미국,	미국/NNP+,/SP
독일	독일/NNP
등	등/NNB
유럽으로	유럽/NNP+으로/JKB
번지고	번지/VV+고/EC
있는	있/VX+는/ETM
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.126.6.2
미국의 클린턴 대통령 시절, 두부가 백악관의 식탁에 정기적으로 올랐다는 사실만으로도 알 수 있다.

미국의	미국/NNP+의/JKG
클린턴	클린턴/NNP
대통령	대통령/NNG
시절,	시절/NNG+,/SP
두부가	두부/NNG+가/JKS
백악관의	백악관/NNP+의/JKG
식탁에	식탁/NNG+에/JKB
정기적으로	정기/NNG+적/XSN+으로/JKB
올랐다는	오르/VV+았/EP+다는/ETM
사실만으로도	사실/NNG+만/JX+으로/JKB+도/JX
알	알/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.126.6.3
미국과 유럽엔 현지인들이 경영하는 두부 공장이 설립됐고, 두부 전문 식당도 등장했다.

미국과	미국/NNP+과/JC
유럽엔	유럽/NNP+에/JKB+ㄴ/JX
현지인들이	현지인/NNG+들/XSN+이/JKS
경영하는	경영/NNG+하/XSV+는/ETM
두부	두부/NNG
공장이	공장/NNG+이/JKS
설립됐고,	설립/NNG+되/XSV+었/EP+고/EC+,/SP
전문	전문/NNG
식당도	식당/NNG+도/JX
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


