# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.378
metadata : {}


# id : NWRW1800000025.378.1.1
[2011 새해 업무보고/보훈처]전몰-순직유족 보상금 7% 인상

[2011	[/SS+2011/SN
새해	새해/NNG
업무보고/보훈처]전몰-순직유족	업무/NNG+보고/NNG+//SP+보훈처/NNG+]/SS+전몰/NNG+-/SO+순직/NNG+유족/NNG
보상금	보상금/NNG
7%	7/SN+%/SW
인상	인상/NNG


# id : NWRW1800000025.378.2.1
국가보훈처가 전몰 및 순직유족 보상금을 7% 인상하는 등 안보희생자에 대한 보상을 강화하기로 했다.

국가보훈처가	국가/NNG+보훈처/NNG+가/JKS
전몰	전몰/NNG
및	및/MAG
순직유족	순직/NNG+유족/NNG
보상금을	보상금/NNG+을/JKO
7%	7/SN+%/SW
인상하는	인상/NNG+하/XSV+는/ETM
등	등/NNB
안보희생자에	안보/NNG+희생자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보상을	보상/NNG+을/JKO
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.378.3.1
22일 보훈처의 대통령 업무보고에 따르면 내년부터 상이1급 중(重)상이자는 매달 9만4000원∼31만2000원의 특별수당을 받게 된다.

22일	22/SN+일/NNB
보훈처의	보훈처/NNG+의/JKG
대통령	대통령/NNG
업무보고에	업무/NNG+보고/NNG+에/JKB
따르면	따르/VV+면/EC
내년부터	내년/NNG+부터/JX
상이1급	상이/NNG+1/SN+급/NNG
중(重)상이자는	중/NA+(/SS+重/SH+)/SS+상이자/NNG+는/JX
매달	매달/MAG
9만4000원∼31만2000원의	9/SN+만/NR+4000/SN+원/NNB+∼/SO+31/SN+만/NR+2000/SN+원/NNB+의/JKG
특별수당을	특별/NNG+수당/NNG+을/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.378.3.2
전몰 및 순직유족 보상금도 7% 인상돼 월 100만 원이 지급된다.

전몰	전몰/NNG
및	및/MAG
순직유족	순직/NNG+유족/NNG
보상금도	보상금/NNG+도/JX
7%	7/SN+%/SW
인상돼	인상/NNG+되/XSV+어/EC
월	월/NNG
100만	100/SN+만/NR
원이	원/NNB+이/JKS
지급된다.	지급/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.378.4.1
종전에는 유족 유형을 구분하지 않고 보상금을 일괄적으로 지급했으나 내년부터는 전몰 및 순직유족 보상금이 일반유족(4% 인상)보다 우대 인상됐다고 보훈처는 설명했다.

종전에는	종전/NNG+에/JKB+는/JX
유족	유족/NNG
유형을	유형/NNG+을/JKO
구분하지	구분/NNG+하/XSV+지/EC
않고	않/VX+고/EC
보상금을	보상금/NNG+을/JKO
일괄적으로	일괄/NNG+적/XSN+으로/JKB
지급했으나	지급/NNG+하/XSV+았/EP+으나/EC
내년부터는	내년/NNG+부터/JX+는/JX
전몰	전몰/NNG
및	및/MAG
순직유족	순직/NNG+유족/NNG
보상금이	보상금/NNG+이/JKS
일반유족(4%	일반/NNG+유족/NNG+(/SS+4/SN+%/SW
인상)보다	인상/NNG+)/SS+보다/JKB
우대	우대/NNG
인상됐다고	인상/NNG+되/XSV+었/EP+다고/EC
보훈처는	보훈처/NNG+는/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.378.4.2
저소득(3인 기준 월 155만5500원) 보훈대상자에게 지급되는 생활수당도 현재 9만∼20만 원에서 15만∼25만 원으로 상향 조정됐다.

저소득(3인	저/XPN+소득/NNG+(/SS+3/SN+인/NNG
기준	기준/NNG
월	월/NNG
155만5500원)	155/SN+만/NR+5500/SN+원/NNB+)/SS
보훈대상자에게	보훈/NNG+대상자/NNG+에게/JKB
지급되는	지급/NNG+되/XSV+는/ETM
생활수당도	생활/NNG+수당/NNG+도/JX
현재	현재/MAG
9만∼20만	9/SN+만/NR+∼/SO+20/SN+만/NR
원에서	원/NNB+에서/JKB
15만∼25만	15/SN+만/NR+∼/SO+25/SN+만/NR
원으로	원/NNB+으로/JKB
상향	상향/NNG
조정됐다.	조정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.378.5.1
6·25참전 유공자에게 제공되는 참전명예수당은 월 9만 원에서 12만 원으로, 무공영예수당은 월 15만 원에서 18만 원으로 각각 인상된다.

6·25참전	6/SN+·/SP+25/SN+참전/NNG
유공자에게	유공자/NNG+에게/JKB
제공되는	제공/NNG+되/XSV+는/ETM
참전명예수당은	참전/NNG+명예/NNG+수당/NNG+은/JX
월	월/NNG
9만	9/SN+만/NR
원에서	원/NNB+에서/JKB
12만	12/SN+만/NR
원으로,	원/NNB+으로/JKB+,/SP
무공영예수당은	무공/NNG+영예/NNG+수당/NNG+은/JX
15만	15/SN+만/NR
18만	18/SN+만/NR
원으로	원/NNB+으로/JKB
각각	각각/MAG
인상된다.	인상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.378.6.1
또 보훈처는 청소년들이 고령 참전유공자를 위문 봉사하는 ‘나라사랑 앞섬이’ 실천 프로그램을 운영하는 등 청소년 안보 교육을 강화하기로 했다.

또	또/MAG
보훈처는	보훈처/NNG+는/JX
청소년들이	청소년/NNG+들/XSN+이/JKS
고령	고령/NNG
참전유공자를	참전/NNG+유공자/NNG+를/JKO
위문	위문/NNG
봉사하는	봉사/NNG+하/XSV+는/ETM
‘나라사랑	‘/SS+나라/NNG+사랑/NNG
앞섬이’	앞섬이/NNG+’/SS
실천	실천/NNG
프로그램을	프로그램/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
등	등/NNB
청소년	청소년/NNG
안보	안보/NNG
교육을	교육/NNG+을/JKO
강화하기로	강화/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.378.6.2
이와 함께 천안함 피격 1주기 추모행사를 내년 3월 국립대전현충원에서 개최하고 6월 25일에는 북한의 포격 도발이 있었던 연평도에서 대학생 6·25전적지 답사 국토대장정 출정식이 열린다.

이와	이/NP+와/JKB
함께	함께/MAG
천안함	천안함/NNP
피격	피격/NNG
1주기	1/SN+주기/NNB
추모행사를	추모/NNG+행사/NNG+를/JKO
내년	내년/NNG
3월	3/SN+월/NNB
국립대전현충원에서	국립대전현충원/NNP+에서/JKB
개최하고	개최/NNG+하/XSV+고/EC
6월	6/SN+월/NNB
25일에는	25/SN+일/NNB+에/JKB+는/JX
북한의	북한/NNP+의/JKG
포격	포격/NNG
도발이	도발/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
연평도에서	연평도/NNP+에서/JKB
대학생	대학/NNG+생/XSN
6·25전적지	6/SN+·/SP+25/SN+전적지/NNG
답사	답사/NNG
국토대장정	국토/NNG+대/XPN+장정/NNG
출정식이	출정식/NNG+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.378.6.3
현충일(6월 6일)에는 전국의 국립묘지에서 호국영령 이름 다시 부르기 행사가 열린다.

현충일(6월	현충일/NNG+(/SS+6/SN+월/NNB
6일)에는	6/SN+일/NNB+)/SS+에/JKB+는/JX
전국의	전국/NNG+의/JKG
국립묘지에서	국립묘지/NNG+에서/JKB
호국영령	호국/NNG+영령/NNG
이름	이름/NNG
다시	다시/MAG
부르기	부르/VV+기/ETN
행사가	행사/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.378.7.1
한편 보훈처는 충청권에 거주하는 고령 국가유공자를 위한 ‘대전보훈요양원’ 건립 기공식을 23일 대전 유성구 죽동 소재 건립용지에서 개최한다.

한편	한편/MAG
보훈처는	보훈처/NNG+는/JX
충청권에	충청/NNP+권/XSN+에/JKB
거주하는	거주/NNG+하/XSV+는/ETM
고령	고령/NNG
국가유공자를	국가/NNG+유공자/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
‘대전보훈요양원’	‘/SS+대전보훈요양원/NNP+’/SS
건립	건립/NNG
기공식을	기공식/NNG+을/JKO
23일	23/SN+일/NNB
대전	대전/NNP
유성구	유성구/NNP
죽동	죽동/NNP
소재	소재/NNG
건립용지에서	건립/NNG+용지/NNG+에서/JKB
개최한다.	개최/NNG+하/XSV+ㄴ다/EF+./SF


