# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.262
metadata : {}


# id : NWRW1800000046.262.1.1
[데스크에서] 정치는 醜學(추학)인가

[데스크에서]	[/SS+데스크/NNG+에서/JKB+]/SS
정치는	정치/NNG+는/JX
醜學(추학)인가	醜學/SH+(/SS+추학/NNG+)/SS+이/VCP+ㄴ가/EF


# id : NWRW1800000046.262.2.1
정치권에 몇 년 몸담았다가 지금은 생업에 종사하는 지인(知人) 두 사람을 최근 만났다.

정치권에	정치/NNG+권/XSN+에/JKB
몇	몇/NR
년	년/NNB
몸담았다가	몸담/VV+았/EP+다가/EC
지금은	지금/NNG+은/JX
생업에	생업/NNG+에/JKB
종사하는	종사/NNG+하/XSV+는/ETM
지인(知人)	지인/NNG+(/SS+知人/SH+)/SS
두	두/MMN
사람을	사람/NNG+을/JKO
최근	최근/NNG
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.262.2.2
국회의원 보좌관 출신으로 현재 직원을 10여명 둔 사업체 대표인 A는 "어느 자리까지 갈 수 있는 능력과 그 자리에서 잘하는 능력은 별개인데 정치를 시작할 때 그걸 몰랐다"고 했다.

국회의원	국회/NNG+의원/NNG
보좌관	보좌관/NNG
출신으로	출신/NNG+으로/JKB
현재	현재/MAG
직원을	직원/NNG+을/JKO
10여명	10/SN+여/XSN+명/NNB
둔	두/VV+ㄴ/ETM
사업체	사업체/NNG
대표인	대표/NNG+이/VCP+ㄴ/ETM
A는	A/SL+는/JX
"어느	"/SS+어느/MMD
자리까지	자리/NNG+까지/JX
갈	가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
능력과	능력/NNG+과/JC
그	그/MMD
자리에서	자리/NNG+에서/JKB
잘하는	잘/MAG+하/XSV+는/ETM
능력은	능력/NNG+은/JX
별개인데	별개/NNG+이/VCP+ㄴ데/EC
정치를	정치/NNG+를/JKO
시작할	시작/NNG+하/XSV+ㄹ/ETM
때	때/NNG
그걸	그거/NP+ㄹ/JKO
몰랐다"고	모르/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.262.2.3
대선 캠프에 있었고 별정직 관료로 일한 B는 "정치는 아무나 하는 게 아니다. 남의 것도 내 것이라고 할 수 있는 탐욕이 있어야 한다. 보통 사람은 절대 못 한다"고 했다.

대선	대선/NNG
캠프에	캠프/NNG+에/JKB
있었고	있/VA+었/EP+고/EC
별정직	별정직/NNG
관료로	관료/NNG+로/JKB
일한	일/NNG+하/XSV+ㄴ/ETM
B는	B/SL+는/JX
"정치는	"/SS+정치/NNG+는/JX
아무나	아무/NP+나/JX
하는	하/VV+는/ETM
게	거/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF
남의	남/NNG+의/JKG
것도	것/NNB+도/JX
내	나/NP+의/JKG
것이라고	것/NNB+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
탐욕이	탐욕/NNG+이/JKS
있어야	있/VA+어야/EC
한다.	하/VX+ㄴ다/EF+./SF
보통	보통/NNG
사람은	사람/NNG+은/JX
절대	절대/MAG
못	못/MAG
한다"고	하/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.262.2.4
둘은 정계 투신 실패의 변(辯)을 이렇게 대신했다.

둘은	둘/NR+은/JX
정계	정계/NNG
투신	투신/NNG
실패의	실패/NNG+의/JKG
변(辯)을	변/NNG+(/SS+辯/SH+)/SS+을/JKO
이렇게	이렇/VA+게/EC
대신했다.	대신/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.262.3.1
그래도 재미는 있었다고 했다.

그래도	그렇/VA+어도/EC
재미는	재미/NNG+는/JX
있었다고	있/VA+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.262.3.2
B는 "내 손에 돈이 들어오지는 않아도 남의 돈(국민 세금) 수백억원을 내 결정으로 움직일 수 있다는 게 보통 매력이 아니다"면서 "중앙 부처 과장급만 돼도 지방에서 칙사 대접을 받는다"고 말했다.

B는	B/SL+는/JX
"내	"/SS+나/NP+의/JKG
손에	손/NNG+에/JKB
돈이	돈/NNG+이/JKS
들어오지는	들어오/VV+지/EC+는/JX
않아도	않/VX+아도/EC
남의	남/NNG+의/JKG
돈(국민	돈/NNG+(/SS+국민/NNG
세금)	세금/NNG+)/SS
수백억원을	수백억/NR+원/NNB+을/JKO
내	나/NP+의/JKG
결정으로	결정/NNG+으로/JKB
움직일	움직이/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
게	거/NNB+이/JKS
보통	보통/MAG
매력이	매력/NNG+이/JKC
아니다"면서	아니/VCN+다/EF+"/SS+면서/EC
"중앙	"/SS+중앙/NNG
부처	부처/NNG
과장급만	과장급/NNG+만/JX
돼도	되/VV+어도/EC
지방에서	지방/NNG+에서/JKB
칙사	칙사/NNG
대접을	대접/NNG+을/JKO
받는다"고	받/VV+는다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.262.3.3
정치학 개론서를 보면 '정치란 가치의 권위적 배분'(데이비드 이스턴)이란 정의(定義)가 있는데 돈과 자리를 나눠줄 권한을 갖는 게 그렇게 큰 매력인 모양이다.

정치학	정치학/NNG
개론서를	개론서/NNG+를/JKO
보면	보/VV+면/EC
'정치란	'/SS+정치/NNG+란/JX
가치의	가치/NNG+의/JKG
권위적	권위/NNG+적/XSN
배분'(데이비드	배분/NNG+'/SS+(/SS+데이비드/NNP
이스턴)이란	이스턴/NNP+)/SS+이/VCP+란/ETM
정의(定義)가	정의/NNG+(/SS+定義/SH+)/SS+가/JKS
있는데	있/VA+는데/EC
돈과	돈/NNG+과/JC
자리를	자리/NNG+를/JKO
나눠줄	나누/VV+어/EC+주/VX+ㄹ/ETM
권한을	권한/NNG+을/JKO
갖는	갖/VV+는/ETM
게	거/NNB+이/JKS
그렇게	그렇/VA+게/EC
큰	크/VA+ㄴ/ETM
매력인	매력/NNG+이/VCP+ㄴ/ETM
모양이다.	모양/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.262.4.1
'정치자금 스캔들'이라 할 성완종 리스트 사건이 끼친 가장 큰 악영향은 정치인 개인이나 정권의 안위 문제가 아니라 정치 전반에 대한 냉소가 국민 사이에 확산되는 것이다.

'정치자금	'/SS+정치/NNG+자금/NNG
스캔들'이라	스캔들/NNG+'/SS+이/VCP+라/EC
할	하/VV+ㄹ/ETM
성완종	성완종/NNP
리스트	리스트/NNG
사건이	사건/NNG+이/JKS
끼친	끼치/VV+ㄴ/ETM
가장	가장/MAG
큰	크/VA+ㄴ/ETM
악영향은	악영향/NNG+은/JX
정치인	정치인/NNG
개인이나	개인/NNG+이나/JC
정권의	정권/NNG+의/JKG
안위	안위/NNG
문제가	문제/NNG+가/JKC
아니라	아니/VCN+라/EC
정치	정치/NNG
전반에	전반/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
냉소가	냉소/NNG+가/JKS
국민	국민/NNG
사이에	사이/NNG+에/JKB
확산되는	확산/NNG+되/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.262.4.2
한 네티즌은 페이스북에 "오랜만에 얻은 야당의 페널티킥 찬스. 그런데 공이 럭비공"이라고 썼다.

한	한/MMN
네티즌은	네티즌/NNG+은/JX
페이스북에	페이스북/NNP+에/JKB
"오랜만에	"/SS+오랜만/NNG+에/JKB
얻은	얻/VV+은/ETM
야당의	야당/NNG+의/JKG
페널티킥	페널티/NNG+킥/NNG
찬스.	찬스/NNG+./SF
그런데	그런데/MAJ
공이	공/NNG+이/JKS
럭비공"이라고	럭비공/NNG+"/SS+이라고/JKQ
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.262.4.3
여야 정치인 모두 자유롭지 않다는 뜻이다.

여야	여야/NNG
정치인	정치인/NNG
모두	모두/MAG
자유롭지	자유/NNG+롭/XSA+지/EC
않다는	않/VX+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.262.4.4
TV 뉴스에서 '성완종 사건' 보도는 의외로 시청률이 많이 나오지 않는다고 한다.

TV	TV/SL
뉴스에서	뉴스/NNG+에서/JKB
'성완종	'/SS+성완종/NNP
사건'	사건/NNG+'/SS
보도는	보도/NNG+는/JX
의외로	의외로/MAG
시청률이	시청/NNG+률/XSN+이/JKS
많이	많이/MAG
나오지	나오/VV+지/EC
않는다고	않/VX+는다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.262.4.5
"정치인이 돈 받은 게 어제오늘 일인가" 하는 냉소 때문이라는 분석이다.

"정치인이	"/SS+정치인/NNG+이/JKS
돈	돈/NNG
받은	받/VV+은/ETM
게	거/NNB+이/JKS
어제오늘	어제오늘/NNG
일인가"	일/NNG+이/VCP+ㄴ가/EF+"/SS
하는	하/VV+는/ETM
냉소	냉소/NNG
때문이라는	때문/NNB+이/VCP+라는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.262.5.1
우리 국민의 정치에 대한 불신은 뿌리 깊다.

우리	우리/NP
국민의	국민/NNG+의/JKG
정치에	정치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불신은	불신/NNG+은/JX
뿌리	뿌리/NNG
깊다.	깊/VA+다/EF+./SF


# id : NWRW1800000046.262.5.2
탁월한 문학평론가였던 고(故) 김현은 인간을 두 유형으로 구분했다.

탁월한	탁월하/VA+ㄴ/ETM
문학평론가였던	문학/NNG+평론가/NNG+이/VCP+었/EP+던/ETM
고(故)	고/MMA+(/SS+故/SH+)/SS
김현은	김현/NNP+은/JX
인간을	인간/NNG+을/JKO
두	두/MMN
유형으로	유형/NNG+으로/JKB
구분했다.	구분/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.262.5.3
'나는 늘 잘한다'고 생각하는 정치가형과 '나는 늘 잘못한다'고 여기는 예술가형이다.

'나는	'/SS+나/NP+는/JX
늘	늘/MAG
잘한다'고	잘/MAG+하/XSV+ㄴ다/EF+'/SS+고/JKQ
생각하는	생각/NNG+하/XSV+는/ETM
정치가형과	정치가/NNG+형/XSN+과/JC
잘못한다'고	잘못/MAG+하/XSV+ㄴ다/EF+'/SS+고/JKQ
여기는	여기/VV+는/ETM
예술가형이다.	예술가/NNG+형/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000046.262.5.4
인간에 대한 이해가 깊었던 이 평론가도 정치인은 자신이 무엇을 잘못했는지 반성(反省)조차 없는 인간으로 보았다.

인간에	인간/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해가	이해/NNG+가/JKS
깊었던	깊/VA+었/EP+던/ETM
이	이/MMD
평론가도	평론가/NNG+도/JX
정치인은	정치인/NNG+은/JX
자신이	자신/NNG+이/JKS
무엇을	무엇/NP+을/JKO
잘못했는지	잘못/MAG+하/XSV+았/EP+는지/EC
반성(反省)조차	반성/NNG+(/SS+反省/SH+)/SS+조차/JX
없는	없/VA+는/ETM
인간으로	인간/NNG+으로/JKB
보았다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.262.5.5
미학(美學)이 아름다움을 탐구하는 학문이라면 정치란 수단 방법을 가리지 않고 권력을 좇는 '추학(醜學)'이라는 비난을 기자가 정치학 전공 대학원생이던 20여년 전부터 들었다.

미학(美學)이	미학/NNG+(/SS+美學/SH+)/SS+이/JKS
아름다움을	아름다움/NNG+을/JKO
탐구하는	탐구/NNG+하/XSV+는/ETM
학문이라면	학문/NNG+이/VCP+라면/EC
정치란	정치/NNG+란/JX
수단	수단/NNG
방법을	방법/NNG+을/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
권력을	권력/NNG+을/JKO
좇는	좇/VV+는/ETM
'추학(醜學)'이라는	'/SS+추학/NNG+(/SS+醜學/SH+)/SS+'/SS+이/VCP+라는/ETM
비난을	비난/NNG+을/JKO
기자가	기자/NNG+가/JKS
정치학	정치학/NNG
전공	전공/NNG
대학원생이던	대학원/NNG+생/XSN+이/VCP+던/ETM
20여년	20/SN+여/XSN+년/NNB
전부터	전/NNG+부터/JX
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.262.6.1
하지만 정치란 본래 추하고 더러운 것이란 냉소가 퍼질 때 더 큰 문제가 벌어진다.

하지만	하지만/MAJ
정치란	정치/NNG+란/JX
본래	본래/NNG
추하고	추하/VA+고/EC
더러운	더럽/VA+ㄴ/ETM
것이란	것/NNB+이/VCP+란/ETM
냉소가	냉소/NNG+가/JKS
퍼질	퍼지/VV+ㄹ/ETM
때	때/NNG
더	더/MAG
큰	크/VA+ㄴ/ETM
문제가	문제/NNG+가/JKS
벌어진다.	벌어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.262.6.2
양극화와 청년 실업, 공무원연금 개혁 같은 난제(難題)를 해결하고 국가 미래를 설계하는 일은 정치의 힘을 통해서만 가능하다.

양극화와	양극/NNG+화/XSN+와/JC
청년	청년/NNG
실업,	실업/NNG+,/SP
공무원연금	공무원/NNG+연금/NNG
개혁	개혁/NNG
같은	같/VA+은/ETM
난제(難題)를	난제/NNG+(/SS+難題/SH+)/SS+를/JKO
해결하고	해결/NNG+하/XSV+고/EC
국가	국가/NNG
미래를	미래/NNG+를/JKO
설계하는	설계/NNG+하/XSV+는/ETM
일은	일/NNG+은/JX
정치의	정치/NNG+의/JKG
힘을	힘/NNG+을/JKO
통해서만	통하/VV+아서/EC+만/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.262.6.3
굽은 것을 펴고 잘못을 바로잡는 힘은 결국 정치에서 나온다.

굽은	굽/VV+은/ETM
것을	것/NNB+을/JKO
펴고	펴/VV+고/EC
잘못을	잘못/NNG+을/JKO
바로잡는	바로잡/VV+는/ETM
힘은	힘/NNG+은/JX
결국	결국/MAG
정치에서	정치/NNG+에서/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.262.6.4
그런데 국민이 정치를 불신할 때 이를 끌고 갈 동력을 잃게 된다.

그런데	그런데/MAJ
국민이	국민/NNG+이/JKS
정치를	정치/NNG+를/JKO
불신할	불신/NNG+하/XSV+ㄹ/ETM
때	때/NNG
이를	이/NP+를/JKO
끌고	끌/VV+고/EC
갈	가/VX+ㄹ/ETM
동력을	동력/NNG+을/JKO
잃게	잃/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.262.6.5
냉소가 깊어지면 뛰어난 인재들이 정치를 외면하고 무책임한 선동가들이 판을 친다.

냉소가	냉소/NNG+가/JKS
깊어지면	깊어지/VV+면/EC
뛰어난	뛰어나/VA+ㄴ/ETM
인재들이	인재/NNG+들/XSN+이/JKS
정치를	정치/NNG+를/JKO
외면하고	외면/NNG+하/XSV+고/EC
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
선동가들이	선동가/NNG+들/XSN+이/JKS
판을	판/NNG+을/JKO
친다.	치/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.262.7.1
권력욕이란 그 자체로 악(惡)은 아니다.

권력욕이란	권력욕/NNG+이/VCP+란/ETM
그	그/MMD
자체로	자체/NNG+로/JKB
악(惡)은	악/NNG+(/SS+惡/SH+)/SS+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.262.7.2
인간을 널리 이롭게 하려는 권력 의지를 갖고 추진력 있게 일하는 정치인이라면 존경할 만하다.

인간을	인간/NNG+을/JKO
널리	널리/MAG
이롭게	이/NNG+롭/XSA+게/EC
하려는	하/VX+려는/ETM
권력	권력/NNG
의지를	의지/NNG+를/JKO
갖고	갖/VV+고/EC
추진력	추진력/NNG
있게	있/VA+게/EC
일하는	일/NNG+하/XSV+는/ETM
정치인이라면	정치인/NNG+이/VCP+라면/EC
존경할	존경/NNG+하/XSV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000046.262.7.3
다소 흠이 있더라도 능력 있는 정치인이 무능한 도덕주의자보다 국민 행복에 더 기여할 수 있다.

다소	다소/MAG
흠이	흠/NNG+이/JKS
있더라도	있/VA+더라도/EC
능력	능력/NNG
있는	있/VA+는/ETM
정치인이	정치인/NNG+이/JKS
무능한	무능/NNG+하/XSA+ㄴ/ETM
도덕주의자보다	도덕주의자/NNG+보다/JKB
국민	국민/NNG
행복에	행복/NNG+에/JKB
더	더/MAG
기여할	기여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.262.7.4
그러나 '깨끗한 정치인'이라는 표현이 형용모순에까지 이르게 된다면 '정치란 바로잡는 일[政者, 正也]'(논어)이라고 어떻게 국민을 설득할 수 있을지 모르겠다.

그러나	그러나/MAJ
'깨끗한	'/SS+깨끗하/VA+ㄴ/ETM
정치인'이라는	정치인/NNG+'/SS+이/VCP+라는/ETM
표현이	표현/NNG+이/JKS
형용모순에까지	형용/NNG+모순/NNG+에/JKB+까지/JX
이르게	이르/VV+게/EC
된다면	되/VV+ㄴ다면/EC
'정치란	'/SS+정치/NNG+란/JX
바로잡는	바로잡/VV+는/ETM
일[政者,	일/NNG+[/SS+政者/SH+,/SP
正也]'(논어)이라고	正也/SH+]/SS+'/SS+(/SS+논어/NNP+)/SS+이라고/JKQ
어떻게	어떻/VA+게/EC
국민을	국민/NNG+을/JKO
설득할	설득/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
모르겠다.	모르/VV+겠/EP+다/EF+./SF


