# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.4
metadata : {}


# id : NWRW1800000032.4.1.1
빚내서 주식투자 ‘위험수위’

빚내서	빚내/VV+어서/EC
주식투자	주식/NNG+투자/NNG
‘위험수위’	‘/SS+위험/NNG+수위/NNG+’/SS


# id : NWRW1800000032.4.2.1
6조3천억대로 최고치 근접

6조3천억대로	6/SN+조/NR+3/SN+천억/NR+대/XSN+로/JKB
최고치	최고/NNG+치/XSN
근접	근접/NNG


# id : NWRW1800000032.4.3.1
주가 지수가 2100을 오르내리면서 개인투자자들이 빚을 내 주식을 사는 신용융자 잔고도 꾸준히 늘어나고 있다.

주가	주가/NNG
지수가	지수/NNG+가/JKS
2100을	2100/SN+을/JKO
오르내리면서	오르내리/VV+면서/EC
개인투자자들이	개인/NNG+투자자/NNG+들/XSN+이/JKS
빚을	빚/NNG+을/JKO
내	내/VV+어/EC
주식을	주식/NNG+을/JKO
사는	살/VV+는/ETM
신용융자	신용/NNG+융자/NNG
잔고도	잔고/NNG+도/JX
꾸준히	꾸준히/MAG
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.4.4.1
25일 금융투자협회 집계를 보면, 신용거래 융자 잔고는 21일 현재 6조3724억원에 이르러 사상 최고치를 기록했던 2007년 6월26일의 7조105억원에 육박하고 있다.

25일	25/SN+일/NNB
금융투자협회	금융투자협회/NNP
집계를	집계/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
신용거래	신용/NNG+거래/NNG
융자	융자/NNG
잔고는	잔고/NNG+는/JX
21일	21/SN+일/NNB
현재	현재/MAG
6조3724억원에	6/SN+조/NR+3724/SN+억/NR+원/NNB+에/JKB
이르러	이르/VV+어/EC
사상	사상/NNG
최고치를	최고/NNG+치/XSN+를/JKO
기록했던	기록/NNG+하/XSV+았/EP+던/ETM
2007년	2007/SN+년/NNB
6월26일의	6/SN+월/NNB+26/SN+일/NNB+의/JKG
7조105억원에	7/SN+조/NR+105/SN+억/NR+원/NNB+에/JKB
육박하고	육박/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.4.4.2
유가증권시장 신용융자 잔고는 4조7833억원으로 사상 최고치를 경신했으며, 코스닥시장은 1조5890억원에 머물러 당시 2조3237억원에는 못미치고 있다.

유가증권시장	유가/NNG+증권/NNG+시장/NNG
신용융자	신용/NNG+융자/NNG
잔고는	잔고/NNG+는/JX
4조7833억원으로	4/SN+조/NR+7833/SN+억/NR+원/NNB+으로/JKB
사상	사상/NNG
최고치를	최고/NNG+치/XSN+를/JKO
경신했으며,	경신/NNG+하/XSV+았/EP+으며/EC+,/SP
코스닥시장은	코스닥/NNP+시장/NNG+은/JX
1조5890억원에	1/SN+조/NR+5890/SN+억/NR+원/NNB+에/JKB
머물러	머무르/VV+어/EC
당시	당시/NNG
2조3237억원에는	2/SN+조/NR+3237/SN+억/NR+원/NNB+에/JKB+는/JX
못미치고	못/MAG+미치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.4.5.1
최근 증시가 조정 양상을 보이며 단기 고점 논란마저 일고 있는 상황에서 신용융자 잔고가 사상 최고치에 근접한 것을 우려하는 목소리가 적지 않다.

최근	최근/MAG
증시가	증시/NNG+가/JKS
조정	조정/NNG
양상을	양상/NNG+을/JKO
보이며	보이/VV+며/EC
단기	단기/NNG
고점	고점/NNG
논란마저	논란/NNG+마저/JX
일고	일/VV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
신용융자	신용/NNG+융자/NNG
잔고가	잔고/NNG+가/JKS
