# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.193
metadata : {}


# id : NWRW1800000056.193.1.1
홍준표, 18일 대구 서문시장서 대선 출마 선언

홍준표,	홍준표/NNP+,/SP
18일	18/SN+일/NNB
대구	대구/NNP
서문시장서	서문시장/NNP+서/JKB
대선	대선/NNG
출마	출마/NNG
선언	선언/NNG


# id : NWRW1800000056.193.2.1
“무너진 보수를 일으켜 세우고, 청년과 서민에게 꿈과 희망을 심어주겠다”

“무너진	“/SS+무너지/VV+ㄴ/ETM
보수를	보수/NNG+를/JKO
일으켜	일으키/VV+어/EC
세우고,	세우/VV+고/EC+,/SP
청년과	청년/NNG+과/JC
서민에게	서민/NNG+에게/JKB
꿈과	꿈/NNG+과/JC
희망을	희망/NNG+을/JKO
심어주겠다”	심/VV+어/EC+주/VX+겠/EP+다/EF+”/SS


# id : NWRW1800000056.193.3.1
보수진영의 유력한 대통령 후보로 손꼽히는 홍준표(63·자유한국당) 경남지사가 18일 대구 서문시장에서 대통령선거 출마를 선언한다.

보수진영의	보수/NNG+진영/NNG+의/JKG
유력한	유력/NNG+하/XSA+ㄴ/ETM
대통령	대통령/NNG
후보로	후보/NNG+로/JKB
손꼽히는	손꼽히/VV+는/ETM
홍준표(63·자유한국당)	홍준표/NNP+(/SS+63/SN+·/SP+자유한국당/NNP+)/SS
경남지사가	경남/NNP+지사/NNG+가/JKS
18일	18/SN+일/NNB
대구	대구/NNP
서문시장에서	서문시장/NNP+에서/JKB
대통령선거	대통령/NNG+선거/NNG
출마를	출마/NNG+를/JKO
선언한다.	선언/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.193.4.1
홍 지사 쪽 관계자는 15일 “홍 지사가 18일 오후 3시 대구 중구 대신동 서문시장에서 대통령선거 출마를 선언할 예정”이라고 밝혔다.

홍	홍/NNP
지사	지사/NNG
쪽	쪽/NNB
관계자는	관계자/NNG+는/JX
15일	15/SN+일/NNB
“홍	“/SS+홍/NNP
지사가	지사/NNG+가/JKS
18일	18/SN+일/NNB
오후	오후/NNG
3시	3/SN+시/NNB
대구	대구/NNP
중구	중구/NNP
대신동	대신동/NNP
서문시장에서	서문시장/NNP+에서/JKB
대통령선거	대통령/NNG+선거/NNG
출마를	출마/NNG+를/JKO
선언할	선언/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.193.4.2
출마선언 관련 행사는 1시간 앞서 오후 2시부터 시작되며, 홍 지사는 출마선언을 한 뒤 토크쇼 형식으로 자신의 구상을 상세히 밝힐 계획이다.

출마선언	출마/NNG+선언/NNG
관련	관련/NNG
행사는	행사/NNG+는/JX
1시간	1/SN+시간/NNB
앞서	앞서/MAG
오후	오후/NNG
2시부터	2/SN+시/NNB+부터/JX
시작되며,	시작/NNG+되/XSV+며/EC+,/SP
홍	홍/NNP
지사는	지사/NNG+는/JX
출마선언을	출마/NNG+선언/NNG+을/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
토크쇼	토크쇼/NNG
형식으로	형식/NNG+으로/JKB
자신의	자신/NNG+의/JKG
구상을	구상/NNG+을/JKO
상세히	상세히/MAG
밝힐	밝히/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.193.5.1
이 관계자는 “서문시장은 대구의 대표적 재래시장으로서, 지난해 11월30일 화재사고로 큰 피해를 본 뒤 새롭게 일어서고 있는 곳이다.

이	이/MMD
관계자는	관계자/NNG+는/JX
“서문시장은	“/SS+서문시장/NNP+은/JX
대구의	대구/NNP+의/JKG
대표적	대표/NNG+적/XSN
재래시장으로서,	재래시장/NNG+으로서/JKB+,/SP
지난해	지난해/NNG
11월30일	11/SN+월/NNB+30/SN+일/NNB
화재사고로	화재/NNG+사고/NNG+로/JKB
큰	크/VA+ㄴ/ETM
피해를	피해/NNG+를/JKO
본	보/VV+ㄴ/ETM
뒤	뒤/NNG
새롭게	새롭/VA+게/EC
일어서고	일어서/VV+고/EC
있는	있/VX+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.193.5.2
무너진 보수와 망가질 위기에 놓인 대한민국을 다시 일으켜 세우고, 청년과 서민에게 꿈과 희망을 심어주겠다는 의지를 나타내기 위해 서문시장을 출마선언 장소로 정했다”고 밝혔다.

무너진	무너지/VV+ㄴ/ETM
보수와	보수/NNG+와/JC
망가질	망가지/VV+ㄹ/ETM
위기에	위기/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
대한민국을	대한민국/NNP+을/JKO
다시	다시/MAG
일으켜	일으키/VV+어/EC
세우고,	세우/VV+고/EC+,/SP
청년과	청년/NNG+과/JC
서민에게	서민/NNG+에게/JKB
꿈과	꿈/NNG+과/JC
희망을	희망/NNG+을/JKO
심어주겠다는	심/VV+어/EC+주/VX+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
나타내기	나타내/VV+기/ETN
위해	위하/VV+아/EC
서문시장을	서문시장/NNP+을/JKO
