# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.69
metadata : {}


# id : NWRW1800000045.69.1.1
[2015 대한민국 창조경제 대상]일자리 20만개 창출 목표로 바쁜 행보

[2015	[/SS+2015/SN
대한민국	대한민국/NNP
창조경제	창조/NNG+경제/NNG
대상]일자리	대상/NNG+]/SS+일자리/NNG
20만개	20/SN+만/NR+개/NNB
창출	창출/NNG
목표로	목표/NNG+로/JKB
바쁜	바쁘/VA+ㄴ/ETM
행보	행보/NNG


# id : NWRW1800000045.69.2.1
부산광역시(시장 서병수)는 일자리 중심 조직 개편과 창조기술산업 혁신을 통한 좋은 일자리 창출로 젊은 인재와 기업이 몰려드는 역동하는 도시로 탈바꿈해 나가고 있다.

부산광역시(시장	부산광역시/NNP+(/SS+시장/NNG
서병수)는	서병수/NNP+)/SS+는/JX
일자리	일자리/NNG
중심	중심/NNG
조직	조직/NNG
개편과	개편/NNG+과/JC
창조기술산업	창조/NNG+기술/NNG+산업/NNG
혁신을	혁신/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
좋은	좋/VA+은/ETM
창출로	창출/NNG+로/JKB
젊은	젊/VA+은/ETM
인재와	인재/NNG+와/JC
기업이	기업/NNG+이/JKS
몰려드는	몰려들/VV+는/ETM
역동하는	역동/NNG+하/XSV+는/ETM
도시로	도시/NNG+로/JKB
탈바꿈해	탈바꿈/NNG+하/XSV+아/EC
나가고	나가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.69.3.1
서병수 부산시장은 “금년을 부산의 경제 체질을 바꾸는 원년으로 삼고, 올해 좋은 일자리 5만 개를 시작으로 민선 6기 임기 내 좋은 일자리 20만 개를 만들어 경제협력개발기구(OECD) 기준(15∼64세) 고용률을 70%까지 끌어올릴 것”이라고 밝혔다.

서병수	서병수/NNP
부산시장은	부산시장/NNG+은/JX
“금년을	“/SS+금년/NNG+을/JKO
부산의	부산/NNP+의/JKG
경제	경제/NNG
체질을	체질/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
원년으로	원년/NNG+으로/JKB
삼고,	삼/VV+고/EC+,/SP
올해	올해/NNG
좋은	좋/VA+은/ETM
일자리	일자리/NNG
5만	5/SN+만/NR
개를	개/NNB+를/JKO
시작으로	시작/NNG+으로/JKB
민선	민선/NNG
6기	6/SN+기/NNG
임기	임기/NNG
내	내/NNB
20만	20/SN+만/NR
만들어	만들/VV+어/EC
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
기준(15∼64세)	기준/NNG+(/SS+15/SN+∼/SO+64/SN+세/NNB+)/SS
고용률을	고용/NNG+률/XSN+을/JKO
70%까지	70/SN+%/SW+까지/JX
끌어올릴	끌어올리/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.69.4.1
실제로 ‘일자리 시장’을 슬로건으로 내세운 서 시장은 △지난해 8월 전국 자치단체 중 가장 먼저 고용노동부와 ‘고용률 70% 달성 업무협약’을 체결하였고 △부산으로 이전하는 공공기관과 지역인재 채용 확대(35%) 협약을 체결하였으며 △노사민정 대표와 함께 국내외 기업 방문과 투자유치에 직접 나서는 등 좋은 일자리 유치를 위한 광폭 행보를 실천해 왔다.

실제로	실제로/MAG
‘일자리	‘/SS+일자리/NNG
시장’을	시장/NNG+’/SS+을/JKO
슬로건으로	슬로건/NNG+으로/JKB
내세운	내세우/VV+ㄴ/ETM
서	서/NNP
시장은	시장/NNG+은/JX
△지난해	△/SW+지난해/NNG
8월	8/SN+월/NNB
전국	전국/NNG
자치단체	자치/NNG+단체/NNG
중	중/NNB
가장	가장/MAG
먼저	먼저/MAG
고용노동부와	고용/NNG+노동부/NNG+와/JC
‘고용률	‘/SS+고용/NNG+률/XSN
70%	70/SN+%/SW
달성	달성/NNG
업무협약’을	업무/NNG+협약/NNG+’/SS+을/JKO
체결하였고	체결/NNG+하/XSV+았/EP+고/EC
△부산으로	△/SW+부산/NNP+으로/JKB
이전하는	이전/NNG+하/XSV+는/ETM
공공기관과	공공/NNG+기관/NNG+과/JC
지역인재	지역/NNG+인재/NNG
채용	채용/NNG
확대(35%)	확대/NNG+(/SS+35/SN+%/SW+)/SS
협약을	협약/NNG+을/JKO
