# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.266
metadata : {}


# id : NWRW1800000040.266.1.1
한전, 태풍 북상중인데도 밀양 송전탑 공사 강행

한전,	한전/NNP+,/SP
태풍	태풍/NNG
북상중인데도	북상/NNG+중/NNB+이/VCP+ㄴ데/EC+도/JX
밀양	밀양/NNP
송전탑	송전탑/NNG
공사	공사/NNG
강행	강행/NNG


# id : NWRW1800000040.266.2.1
200여명 동원 5곳서 땅파기 작업

200여명	200/SN+여/XSN+명/NNB
동원	동원/NNG
5곳서	5/SN+곳/NNG+서/JKB
땅파기	땅파기/NNG
작업	작업/NNG


# id : NWRW1800000040.266.3.1
홍준표도 ‘외부세력’ 공격 가세

홍준표도	홍준표/NNP+도/JX
‘외부세력’	‘/SS+외부/NNG+세력/NNG+’/SS
공격	공격/NNG
가세	가세/NNG


# id : NWRW1800000040.266.4.1
태풍 ‘다나스’의 영향으로 비가 내리는 가운데 한국전력공사(한전)는 경남 밀양의 초고압 송전탑 설치 공사를 일주일째 강행했다.

태풍	태풍/NNG
‘다나스’의	‘/SS+다나스/NNG+’/SS+의/JKG
영향으로	영향/NNG+으로/JKB
비가	비/NNG+가/JKS
내리는	내리/VV+는/ETM
가운데	가운데/NNG
한국전력공사(한전)는	한국전력공사/NNP+(/SS+한전/NNP+)/SS+는/JX
경남	경남/NNP
밀양의	밀양/NNP+의/JKG
초고압	초/XPN+고압/NNG
송전탑	송전탑/NNG
설치	설치/NNG
공사를	공사/NNG+를/JKO
일주일째	일주일/NNG+째/XSN
강행했다.	강행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.266.5.1
한전은 8일 아침 8시부터 200여명을 동원해 밀양시 단장면 구천리, 상동면 도곡리, 부북면 위양리 등 송전탑 건설 현장 5곳에서 땅파기 작업 등 공사를 벌였다.

한전은	한전/NNP+은/JX
8일	8/SN+일/NNB
아침	아침/NNG
8시부터	8/SN+시/NNB+부터/JX
200여명을	200/SN+여/XSN+명/NNB+을/JKO
동원해	동원/NNG+하/XSV+아/EC
밀양시	밀양시/NNP
단장면	단장면/NNP
구천리,	구천리/NNP+,/SP
상동면	상동면/NNP
도곡리,	도곡리/NNP+,/SP
부북면	부북면/NNP
위양리	위양리/NNP
등	등/NNB
송전탑	송전탑/NNG
건설	건설/NNG
현장	현장/NNG
5곳에서	5/SN+곳/NNG+에서/JKB
땅파기	땅파기/NNG
작업	작업/NNG
공사를	공사/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.266.5.2
오후 들어 빗줄기가 굵어지자 단장면 바드리마을의 89번 송전탑을 제외한 나머지 공사는 중단했다.

오후	오후/NNG
들어	들/VV+어/EC
빗줄기가	빗줄기/NNG+가/JKS
굵어지자	굵/VA+어/EC+지/VX+자/EC
단장면	단장면/NNP
바드리마을의	바드리마을/NNP+의/JKG
89번	89/SN+번/NNB
송전탑을	송전탑/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
나머지	나머지/NNG
공사는	공사/NNG+는/JX
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.266.5.3
한전은 누적량 40㎜의 비만 내리지 않으면 공사를 강행하겠다는 태도다.

한전은	한전/NNP+은/JX
누적량	누적량/NNG
40㎜의	40/SN+㎜/SW+의/JKG
비만	비/NNG+만/JX
내리지	내리/VV+지/EC
않으면	않/VX+으면/EC
공사를	공사/NNG+를/JKO
강행하겠다는	강행/NNG+하/XSV+겠/EP+다는/ETM
태도다.	태도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.266.5.4
밀양시는 송전탑 건설을 반대하는 주민들이 농성장으로 만든 4공구 야적장 앞 천막을 철거하려다가 태풍이 다가오자 중단했다.

밀양시는	밀양시/NNP+는/JX
송전탑	송전탑/NNG
건설을	건설/NNG+을/JKO
반대하는	반대/NNG+하/XSV+는/ETM
주민들이	주민/NNG+들/XSN+이/JKS
농성장으로	농성장/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
4공구	4/SN+공구/NNG
야적장	야적장/NNG
앞	앞/NNG
천막을	천막/NNG+을/JKO
철거하려다가	철거/NNG+하/XSV+려다가/EC
태풍이	태풍/NNG+이/JKS
다가오자	다가오/VV+자/EC
