# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.324
metadata : {}


# id : NWRW1800000049.324.1.1
[산업 대개조/이제는실행이다]“조선 빅3, 추가 감원 등 고강도 자구책 내라”

[산업	[/SS+산업/NNG
대개조/이제는실행이다]“조선	대/XPN+개조/NNG+//SP+이제/NNG+는/JX+실행/NNG+이/VCP+다/EF+]/SS+“/SS+조선/NNG
빅3,	빅/NNG+3/SN+,/SP
추가	추가/NNG
감원	감원/NNG
등	등/NNB
고강도	고/XPN+강도/NNG
자구책	자구책/NNG
내라”	내/VV+라/EF+”/SS


# id : NWRW1800000049.324.2.1
정부 구조조정안… “임금도 삭감”… 현대상선 용선료 인하 협상 5월 20일까지 실패땐 법정관리

정부	정부/NNG
구조조정안…	구조/NNG+조정안/NNG+…/SE
“임금도	“/SS+임금/NNG+도/JX
삭감”…	삭감/NNG+”/SS+…/SE
현대상선	현대상선/NNP
용선료	용선료/NNG
인하	인하/NNG
협상	협상/NNG
5월	5/SN+월/NNB
20일까지	20/SN+일/NNB+까지/JX
실패땐	실패/NNG+때/NNG+ㄴ/JX
법정관리	법정/NNG+관리/NNG


# id : NWRW1800000049.324.3.1
정부와 채권단이 대우조선해양 현대중공업 삼성중공업 등 ‘조선 빅3’에 추가 인력 감축을 포함해 지금보다 강도 높은 자구 계획을 요구했다.

정부와	정부/NNG+와/JC
채권단이	채권단/NNG+이/JKS
대우조선해양	대우조선해양/NNP
현대중공업	현대중공업/NNP
삼성중공업	삼성중공업/NNP
등	등/NNB
‘조선	‘/SS+조선/NNG
빅3’에	빅/NNG+3/SN+’/SS+에/JKB
추가	추가/NNG
인력	인력/NNG
감축을	감축/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
지금보다	지금/NNG+보다/JKB
강도	강도/NNG
높은	높/VA+은/ETM
자구	자구/NNG
계획을	계획/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.324.3.2
또 한진해운 현대상선 등 양대 선사에 대해서는 용선료(선박을 빌리는 비용) 인하 협상 시한을 정하고 선주와의 협상이 결렬되면 법정관리 절차를 밟기로 했다.

또	또/MAG
한진해운	한진해운/NNP
현대상선	현대상선/NNP
등	등/NNB
양대	양대/MMA
선사에	선사/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
용선료(선박을	용선료/NNG+(/SS+선박/NNG+을/JKO
빌리는	빌리/VV+는/ETM
비용)	비용/NNG+)/SS
인하	인하/NNG
협상	협상/NNG
시한을	시한/NNG+을/JKO
정하고	정하/VV+고/EC
선주와의	선주/NNG+와/JKB+의/JKG
협상이	협상/NNG+이/JKS
결렬되면	결렬/NNG+되/XSV+면/EC
법정관리	법정/NNG+관리/NNG
절차를	절차/NNG+를/JKO
밟기로	밟/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.324.4.1
정부는 26일 임종룡 금융위원장 주재로 ‘제3차 경쟁력 강화 및 구조조정협의체’ 회의를 열고 이 같은 계획을 확정했다.

정부는	정부/NNG+는/JX
26일	26/SN+일/NNB
임종룡	임종룡/NNP
금융위원장	금융/NNG+위원장/NNG
주재로	주재/NNG+로/JKB
