# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.92
metadata : {}


# id : NWRW1800000056.92.1.1
“우린 탁구뿐 아니라 문화와 인생도 공유했다”

“우린	“/SS+우리/NP+ㄴ/JX
탁구뿐	탁구/NNG+뿐/JX
아니라	아니/VCN+라/EC
문화와	문화/NNG+와/JC
인생도	인생/NNG+도/JX
공유했다”	공유/NNG+하/XSV+았/EP+다/EF+”/SS


# id : NWRW1800000056.92.2.1
[한겨레] 미-중 핑퐁외교 주역 선수들

[한겨레]	[/SS+한겨레/NNP+]/SS
미-중	미/NNP+-/SO+중/NNP
핑퐁외교	핑퐁/NNG+외교/NNG
주역	주역/NNG
선수들	선수/NNG+들/XSN


# id : NWRW1800000056.92.3.1
45년만에 미국서 뭉쳐 친선시합

45년만에	45/SN+년/NNB+만/NNB+에/JKB
미국서	미국/NNP+서/JKB
뭉쳐	뭉치/VV+어/EC
친선시합	친선/NNG+시합/NNG


# id : NWRW1800000056.92.4.1
쑹칭링기금회, 미시간대 등 주최

쑹칭링기금회,	쑹칭링기금회/NNP+,/SP
미시간대	미시간대/NNP
등	등/NNB
주최	주최/NNG


# id : NWRW1800000056.92.5.1
1970년대 데탕트 시대의 문을 열었던 미-중 ‘핑퐁 외교’의 주역들이 45년 만에 다시 뭉쳤다.

1970년대	1970/SN+년대/NNB
데탕트	데탕트/NNG
시대의	시대/NNG+의/JKG
문을	문/NNG+을/JKO
열었던	열/VV+었/EP+던/ETM
미-중	미/NNP+-/SO+중/NNP
‘핑퐁	‘/SS+핑퐁/NNG
외교’의	외교/NNG+’/SS+의/JKG
주역들이	주역/NNG+들/XSN+이/JKS
45년	45/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
뭉쳤다.	뭉치/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.92.6.1
미국 미시간대에서는 18일(현지시각) 1971년과 1972년 개최된 미-중 친선 탁구경기에 참가했던 량거량, 정화이잉, 델 스위리스, 코니 스위리스 등 당시 선수들이 한자리에 모이는 행사가 열렸다고 중국 관영 <차이나데일리>가 20일 보도했다.

미국	미국/NNP
미시간대에서는	미시간대/NNP+에서/JKB+는/JX
18일(현지시각)	18/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
1971년과	1971/SN+년/NNB+과/JC
1972년	1972/SN+년/NNB
개최된	개최/NNG+되/XSV+ㄴ/ETM
미-중	미/NNP+-/SO+중/NNP
친선	친선/NNG
탁구경기에	탁구/NNG+경기/NNG+에/JKB
참가했던	참가/NNG+하/XSV+았/EP+던/ETM
량거량,	량거량/NNP+,/SP
정화이잉,	정화이잉/NNP+,/SP
델	델/NNP
스위리스,	스위리스/NNP+,/SP
코니	코니/NNP
스위리스	스위리스/NNP
등	등/NNB
당시	당시/NNG
선수들이	선수/NNG+들/XSN+이/JKS
한자리에	한자리/NNG+에/JKB
모이는	모이/VV+는/ETM
행사가	행사/NNG+가/JKS
열렸다고	열리/VV+었/EP+다고/EC
중국	중국/NNP
관영	관영/NNG
<차이나데일리>가	</SS+차이나데일리/NNP+>/SS+가/JKS
20일	20/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.92.6.2
4명은 45년 전처럼 친선 탁구경기도 벌였다.

4명은	4/SN+명/NNB+은/JX
45년	45/SN+년/NNB
전처럼	전/NNG+처럼/JKB
친선	친선/NNG
탁구경기도	탁구/NNG+경기/NNG+도/JX
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.92.7.1
냉전이 무르익었던 1971년 일본 나고야에서 열린 제31회 세계 탁구 선수권대회에서 중국 대표팀은 미국 팀에게 베이징 초청 의사를 전했다.

냉전이	냉전/NNG+이/JKS
무르익었던	무르익/VV+었/EP+던/ETM
1971년	1971/SN+년/NNB
일본	일본/NNP
나고야에서	나고야/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
제31회	제/XPN+31/SN+회/NNB
세계	세계/NNG
탁구	탁구/NNG
선수권대회에서	선수/NNG+권/XSN+대회/NNG+에서/JKB
중국	중국/NNP
대표팀은	대표/NNG+팀/NNG+은/JX
미국	미국/NNP
팀에게	팀/NNG+에게/JKB
베이징	베이징/NNP
초청	초청/NNG
의사를	의사/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.92.7.2
한국전쟁에서의 피비린내 나는 충돌 뒤 미-중 사이에 어떤 외교적, 경제적 교류도 없이 20년 가까운 시간이 흐른 시점이었다.

한국전쟁에서의	한국/NNP+전쟁/NNG+에서/JKB+의/JKG
피비린내	피비린내/NNG
나는	나/VV+는/ETM
충돌	충돌/NNG
뒤	뒤/NNG
미-중	미/NNP+-/SO+중/NNP
사이에	사이/NNG+에/JKB
어떤	어떤/MMD
외교적,	외교/NNG+적/XSN+,/SP
경제적	경제/NNG+적/XSN
교류도	교류/NNG+도/JX
없이	없이/MAG
20년	20/SN+년/NNB
가까운	가깝/VA+ㄴ/ETM
시간이	시간/NNG+이/JKS
흐른	흐르/VV+ㄴ/ETM
시점이었다.	시점/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000056.92.7.3
당시 중국 운동 선수들은 ‘선우호 후경쟁’을 내건 중국 외교에서 중요한 구실을 하고 있었다.

당시	당시/NNG
중국	중국/NNP
운동	운동/NNG
선수들은	선수/NNG+들/XSN+은/JX
‘선우호	‘/SS+선우호/NNG
후경쟁’을	후/NNG+경쟁/NNG+’/SS+을/JKO
내건	내걸/VV+ㄴ/ETM
외교에서	외교/NNG+에서/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
구실을	구실/NNG+을/JKO
하고	하/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.92.7.4
4월6일 초청 의사를 밝힌 지 나흘 만인 10일 베이징에 도착한 미국 선수 9명과 이를 수행한 기자들은 1949년 중화인민공화국 건국 이후 베이징을 방문한 첫 미국 대표단으로 기록됐다.

4월6일	4/SN+월/NNB+6/SN+일/NNB
초청	초청/NNG
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
지	지/NNB
나흘	나흘/NNG
만인	만/NNB+이/VCP+ㄴ/ETM
10일	10/SN+일/NNB
베이징에	베이징/NNP+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
미국	미국/NNP
선수	선수/NNG
9명과	9/SN+명/NNB+과/JC
이를	이/NP+를/JKO
수행한	수행/NNG+하/XSV+ㄴ/ETM
기자들은	기자/NNG+들/XSN+은/JX
1949년	1949/SN+년/NNB
중화인민공화국	중화인민공화국/NNP
건국	건국/NNG
이후	이후/NNG
