# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.169
metadata : {}


# id : NWRW1800000022.169.1.1
강북의 봄날 간다?

강북의	강북/NNP+의/JKG
봄날	봄날/NNG
간다?	가/VV+ㄴ다/EF+?/SF


# id : NWRW1800000022.169.1.2
다시, 南高北低로 용인·성남 집값 상승 지속

다시,	다시/MAG+,/SP
南高北低로	南高北低/SH+로/JKB
용인·성남	용인/NNP+·/SP+성남/NNP
집값	집값/NNG
상승	상승/NNG
지속	지속/NNG


# id : NWRW1800000022.169.2.1
작년 금융위기 이후 '북고남저(北高南低)' 현상을 보이던 수도권 아파트값이 다시 '남고북저(南高北低)'의 패턴으로 돌아서고 있다.

작년	작년/NNG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
'북고남저(北高南低)'	'/SS+북고남저/NNG+(/SS+北高南低/SH+)/SS+'/SS
현상을	현상/NNG+을/JKO
보이던	보이/VV+던/ETM
수도권	수도/NNG+권/XSN
아파트값이	아파트값/NNG+이/JKS
다시	다시/MAG
'남고북저(南高北低)'의	'/SS+남고북저/NNG+(/SS+南高北低/SH+)/SS+'/SS+의/JKG
패턴으로	패턴/NNG+으로/JKB
돌아서고	돌아서/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.169.2.2
지난 2월 이후 과천·용인·화성 등 경기 남부지역 아파트값이 조금씩 반등하면서 다시 수도권 아파트 시장의 회복세를 주도하고 있다.

지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
이후	이후/NNG
과천·용인·화성	과천/NNP+·/SP+용인/NNP+·/SP+화성/NNP
등	등/NNB
경기	경기/NNP
남부지역	남부/NNG+지역/NNG
아파트값이	아파트값/NNG+이/JKS
조금씩	조금/NNG+씩/XSN
반등하면서	반등/NNG+하/XSV+면서/EC
다시	다시/MAG
수도권	수도/NNG+권/XSN
아파트	아파트/NNG
시장의	시장/NNG+의/JKG
회복세를	회복세/NNG+를/JKO
주도하고	주도/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.169.3.1
