# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.66
metadata : {}


# id : NWRW1800000032.66.1.1
치아보험 ‘덥석’ 들었다간 낭패

치아보험	치아/NNG+보험/NNG
‘덥석’	‘/SS+덥석/MAG+’/SS
들었다간	들/VV+었/EP+다가/EC+ㄴ/JX
낭패	낭패/NNG


# id : NWRW1800000032.66.2.1
임플란트·틀니 등 보장하지만

임플란트·틀니	임플란트/NNG+·/SP+틀니/NNG
등	등/NNB
보장하지만	보장/NNG+하/XSV+지만/EC


# id : NWRW1800000032.66.3.1
앓던 충치나 미용목적은 안돼

앓던	앓/VV+던/ETM
충치나	충치/NNG+나/JC
미용목적은	미용/NNG+목적/NNG+은/JX
안돼	안/MAG+되/XSV+어/EF


# id : NWRW1800000032.66.4.1
목돈이 드는 치과 치료비 탓에 치아보험에 관심이 쏠리고 있다.

목돈이	목돈/NNG+이/JKS
드는	들/VV+는/ETM
치과	치과/NNG
치료비	치료비/NNG
탓에	탓/NNG+에/JKB
치아보험에	치아/NNG+보험/NNG+에/JKB
관심이	관심/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.66.4.2
치아에 금 등을 씌우는 브리지 치료도 개당 최소 30만~40만원은 줘야 하고 임플란트 비용은 개당 100만~150만원을 훌쩍 넘어 경제적 부담이 크다.

치아에	치아/NNG+에/JKB
금	금/NNG
등을	등/NNB+을/JKO
씌우는	씌우/VV+는/ETM
브리지	브리지/NNG
치료도	치료/NNG+도/JX
개당	개/NNB+당/XSN
최소	최소/NNG
30만~40만원은	30/SN+만/NR+~/SO+40/SN+만/NR+원/NNB+은/JX
줘야	주/VV+어야/EC
하고	하/VX+고/EC
임플란트	임플란트/NNG
비용은	비용/NNG+은/JX
100만~150만원을	100/SN+만/NR+~/SO+150/SN+만/NR+원/NNB+을/JKO
훌쩍	훌쩍/MAG
넘어	넘/VV+어/EC
경제적	경제/NNG+적/XSN
부담이	부담/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000032.66.4.3
치과 치료는 국민건강보험에서 보장하지 않는 비급여 항목에 속하는 경우가 많아 전체 치료비 중 본인부담률이 60% 이상이다.

치과	치과/NNG
치료는	치료/NNG+는/JX
국민건강보험에서	국민/NNG+건강/NNG+보험/NNG+에서/JKB
보장하지	보장/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
비급여	비/XPN+급여/NNG
항목에	항목/NNG+에/JKB
속하는	속하/VV+는/ETM
경우가	경우/NNG+가/JKS
많아	많/VA+아/EC
전체	전체/NNG
치료비	치료비/NNG
중	중/NNB
본인부담률이	본인/NNG+부담/NNG+률/XSN+이/JKS
60%	60/SN+%/SW
이상이다.	이상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.66.5.1
현재 시중에 나와 있는 치아보험으로는 라이나생명의 ‘더(THE)건강한치아보험’과 에이아이에이(AIA)생명의 ‘실속보장치아보험’, 에이스화재의 ‘치아안심보험’이 대표적이다.

현재	현재/MAG
시중에	시중/NNG+에/JKB
나와	나오/VV+아/EC
있는	있/VX+는/ETM
치아보험으로는	치아/NNG+보험/NNG+으로/JKB+는/JX
라이나생명의	라이나생명/NNP+의/JKG
‘더(THE)건강한치아보험’과	‘/SS+더/NNG+(/SS+THE/SL+)/SS+건강/NNG+하/XSA+ㄴ/ETM+치아/NNG+보험/NNG+’/SS+과/JC
에이아이에이(AIA)생명의	에이아이에이/NNP+(/SS+AIA/SL+)/SS+생명/NNG+의/JKG
‘실속보장치아보험’,	‘/SS+실속/NNG+보장/NNG+치아/NNG+보험/NNG+’/SS+,/SP
에이스화재의	에이스화재/NNP+의/JKG
‘치아안심보험’이	‘/SS+치아/NNG+안심/NNG+보험/NNG+’/SS+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000032.66.5.2
라이나생명과 에이아이에이생명의 상품은 국민건강보험에서 보장해주지 않는 임플란트나 브리지(치아를 뽑은 뒤 양옆 치아에 구조물을 연결해 인공치아를 고정시키는 것), 틀니 등의 치료비를 보장해준다.

