# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.417
metadata : {}


# id : NWRW1800000024.417.1.1
국가기관도 김성수<동아일보 창업주>·방응모<조선일보 전 사장> ‘친일’ 인정

국가기관도	국가/NNG+기관/NNG+도/JX
김성수<동아일보	김성수/NNP+</SS+동아일보/NNP
창업주>·방응모<조선일보	창업주/NNG+>/SS+·/SP+방응모/NNP+</SS+조선일보/NNP
전	전/MMD
사장>	사장/NNG+>/SS
‘친일’	‘/SS+친일/NNG+’/SS
인정	인정/NNG


# id : NWRW1800000024.417.2.1
김성수 <동아일보> 창업주와 방응모 전 <조선일보> 사장이 ‘친일반민족행위 진상규명위원회’(약칭 반민규명위·위원장 성대경)에서 ‘친일 반민족 행위자’로 결정된 것으로 알려졌다.

김성수	김성수/NNP
<동아일보>	</SS+동아일보/NNP+>/SS
창업주와	창업주/NNG+와/JC
방응모	방응모/NNP
전	전/MMD
<조선일보>	</SS+조선일보/NNP+>/SS
사장이	사장/NNG+이/JKS
‘친일반민족행위	‘/SS+친일/NNG+반/XPN+민족/NNG+행위/NNG
진상규명위원회’(약칭	진상/NNG+규명/NNG+위원회/NNG+’/SS+(/SS+약칭/NNG
반민규명위·위원장	반민/NNG+규명위/NNG+·/SP+위원장/NNG
성대경)에서	성대경/NNP+)/SS+에서/JKB
‘친일	‘/SS+친일/NNG
반민족	반/XPN+민족/NNG
행위자’로	행위자/NNG+’/SS+로/JKB
결정된	결정/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.417.2.2
민간의 <친일인명사전>에 등재된 데 이어 국가기구에서도 이들의 친일 행적을 공식 인정한 것이다.

민간의	민간/NNG+의/JKG
<친일인명사전>에	</SS+친일/NNG+인명사전/NNG+>/SS+에/JKB
등재된	등재/NNG+되/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
국가기구에서도	국가/NNG+기구/NNG+에서/JKB+도/JX
이들의	이/NP+들/XSN+의/JKG
친일	친일/NNG
행적을	행적/NNG+을/JKO
공식	공식/NNG
인정한	인정/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.417.3.1
11일 반민규명위 안팎의 관계자들 말을 종합하면, 김성수는 일제 통치기구의 주요 외곽단체 간부로서 침략전쟁에 적극 협력하고 징병·징용 선전 등을 한 행위가 인정됐다.

