# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.385
metadata : {}


# id : NWRW1800000028.385.1.1
관광업계 ‘호재’ /항공쪽은 ‘비상’

관광업계	관광업/NNG+계/XSN
‘호재’	‘/SS+호재/NNG+’/SS
/항공쪽은	//SP+항공/NNG+쪽/NNB+은/JX
‘비상’	‘/SS+비상/NNG+’/SS


# id : NWRW1800000028.385.2.1
오는 1일 완전 개통하는 경부고속철도(KTX)는 특히 영남지역 주민들의 삶과 지역경제 등에 큰 영향을 줄 것으로 보인다.

오는	오/VV+는/ETM
1일	1/SN+일/NNB
완전	완전/NNG
개통하는	개통/NNG+하/XSV+는/ETM
경부고속철도(KTX)는	경부고속철도/NNP+(/SS+KTX/SL+)/SS+는/JX
특히	특히/MAG
영남지역	영남지역/NNP
주민들의	주민/NNG+들/XSN+의/JKG
삶과	삶/NNG+과/JC
지역경제	지역/NNG+경제/NNG
등에	등/NNB+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.385.3.1
28일 부산역 등에서 열린 개통식에 참가한 지역 주민들은 “이제 서울과 반나절 생활권에 접어들었다”며 대체로 반겼다.

28일	28/SN+일/NNB
부산역	부산역/NNP
등에서	등/NNB+에서/JKB
열린	열리/VV+ㄴ/ETM
개통식에	개통식/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
지역	지역/NNG
주민들은	주민/NNG+들/XSN+은/JX
“이제	“/SS+이제/MAG
서울과	서울/NNP+과/JKB
반나절	반나절/NNG
생활권에	생활/NNG+권/XSN+에/JKB
접어들었다”며	접어들/VV+었/EP+다/EF+”/SS+며/EC
대체로	대체로/MAG
반겼다.	반기/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.385.3.2
경북 경주 시민들은 버스나 승용차로 60여㎞ 떨어진 대구나 경남 밀양까지 가야 고속철도를 이용할 수 있었지만, 이제는 2시간이면 서울 나들이가 가능해졌다.

경북	경북/NNP
경주	경주/NNP
시민들은	시민/NNG+들/XSN+은/JX
버스나	버스/NNG+나/JC
승용차로	승용차/NNG+로/JKB
60여㎞	60/SN+여/XSN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
대구나	대구/NNP+나/JC
경남	경남/NNP
밀양까지	밀양/NNP+까지/JX
가야	가/VV+아야/EC
고속철도를	고속/NNG+철도/NNG+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었지만,	있/VA+었/EP+지만/EC+,/SP
이제는	이제/NNG+는/JX
2시간이면	2/SN+시간/NNB+이/VCP+면/EC
서울	서울/NNP
나들이가	나들이/NNG+가/JKS
가능해졌다.	가능/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.385.3.3
지금까지 약 3시간30분 이상 걸렸던 것에 견주면 시간을 거의 절반 가까이 줄일 수 있게 된 것이다.

지금까지	지금/NNG+까지/JX
약	약/MMA
3시간30분	3/SN+시간/NNB+30/SN+분/NNB
이상	이상/NNG
걸렸던	걸리/VV+었/EP+던/ETM
것에	것/NNB+에/JKB
견주면	견주/VV+면/EC
시간을	시간/NNG+을/JKO
거의	거의/MAG
절반	절반/NNG
가까이	가까이/MAG
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.385.4.1
새 역사가 들어서는 지역의 자치단체들은 득실 계산에 분주하다.

새	새/MMA
역사가	역사/NNG+가/JKS
들어서는	들어서/VV+는/ETM
지역의	지역/NNG+의/JKG
자치단체들은	자치/NNG+단체/NNG+들/XSN+은/JX
득실	득실/NNG
계산에	계산/NNG+에/JKB
분주하다.	분주/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.385.4.2
