# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.226
metadata : {}


# id : NWRW1800000045.226.1.1
원 없이 던지는 한화 불펜, 이상 신호?

원	원/NNG
없이	없이/MAG
던지는	던지/VV+는/ETM
한화	한화/NNP
불펜,	불펜/NNG+,/SP
이상	이상/NNG
신호?	신호/NNG+?/SF


# id : NWRW1800000045.226.2.1
권혁 투구 수, 2014년 전체 553개 육박… 2014년 29이닝 송창식, 2015년 23이닝 39세 박정진도 벌써 24이닝 넘겨

권혁	권혁/NNP
투구	투구/NNG
수,	수/NNG+,/SP
2014년	2014/SN+년/NNB
전체	전체/NNG
553개	553/SN+개/NNB
육박…	육박/NNG+…/SE
29이닝	29/SN+이닝/NNG
송창식,	송창식/NNP+,/SP
2015년	2015/SN+년/NNB
23이닝	23/SN+이닝/NNG
39세	39/SN+세/NNB
박정진도	박정진/NNP+도/JX
벌써	벌써/MAG
24이닝	24/SN+이닝/NNG
넘겨	넘기/VV+어/EF


# id : NWRW1800000045.226.3.1
탈보트(32)가 10일 프로야구 잠실 경기에서 3회말 퇴장당하기 전부터 그랬다.

탈보트(32)가	탈보트/NNP+(/SS+32/SN+)/SS+가/JKS
10일	10/SN+일/NNB
프로야구	프로/NNG+야구/NNG
잠실	잠실/NNP
경기에서	경기/NNG+에서/JKB
3회말	3/SN+회/NNB+말/NNB
퇴장당하기	퇴장/NNG+당하/XSV+기/ETN
전부터	전/NNG+부터/JX
그랬다.	그렇/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.226.3.2
한화는 프로야구 10개 구단 중 유일하게 구원 투수가 선발 투수보다 더 많은 이닝을 소화한 팀이었다.

한화는	한화/NNP+는/JX
프로야구	프로/NNG+야구/NNG
10개	10/SN+개/NNB
구단	구단/NNG
중	중/NNB
유일하게	유일/NNG+하/XSA+게/EC
구원	구원/NNG
투수가	투수/NNG+가/JKS
선발	선발/NNG
투수보다	투수/NNG+보다/JKB
더	더/MAG
많은	많/VA+은/ETM
이닝을	이닝/NNG+을/JKO
소화한	소화/NNG+하/XSV+ㄴ/ETM
팀이었다.	팀/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000045.226.3.3
이 경기 전까지 선발 투수가 143과 3분의 1이닝을 던지는 동안 불펜 투수는 이보다 1이닝을 더 많이 던졌다.

이	이/MMD
경기	경기/NNG
전까지	전/NNG+까지/JX
선발	선발/NNG
투수가	투수/NNG+가/JKS
143과	143/SN+과/JC
3분의	3/SN+분/XSN+의/JKG
1이닝을	1/SN+이닝/NNG+을/JKO
던지는	던지/VV+는/ETM
동안	동안/NNG
불펜	불펜/NNG
투수는	투수/NNG+는/JX
이보다	이/NP+보다/JKB
더	더/MAG
많이	많이/MAG
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.226.3.4
탈보트가 2이닝밖에 책임지지 못하면서 차이는 5이닝으로 벌어졌다.

탈보트가	탈보트/NNP+가/JKS
2이닝밖에	2/SN+이닝/NNG+밖에/JX
책임지지	책임지/VV+지/EC
못하면서	못하/VX+면서/EC
차이는	차이/NNG+는/JX
5이닝으로	5/SN+이닝/NNG+으로/JKB
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.226.4.1
이 차이의 주역들은 ‘송정권(송창식, 박정진, 권혁)’ 트리오다.

이	이/MMD
차이의	차이/NNG+의/JKG
주역들은	주역/NNG+들/XSN+은/JX
‘송정권(송창식,	‘/SS+송정권/NNP+(/SS+송창식/NNP+,/SP
박정진,	박정진/NNP+,/SP
권혁)’	권혁/NNP+)/SS+’/SS
트리오다.	트리오/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.226.4.2
이 중 ‘현대 야구’에서 가장 보기 드문 형태로 등판하고 있는 투수는 권혁(32)이다.

이	이/MMD
중	중/NNB
‘현대	‘/SS+현대/NNG
야구’에서	야구/NNG+’/SS+에서/JKB
가장	가장/MAG
보기	보/VV+기/ETN
드문	드물/VA+ㄴ/ETM
형태로	형태/NNG+로/JKB
등판하고	등판/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
투수는	투수/NNG+는/JX
