# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.243
metadata : {}


# id : NWRW1800000056.243.1.1
서울시, 종로·을지로 ‘오래가게’ 39곳 소개

서울시,	서울시/NNP+,/SP
종로·을지로	종로/NNP+·/SP+을지로/NNP
‘오래가게’	‘/SS+오래가게/NNG+’/SS
39곳	39/SN+곳/NNG
소개	소개/NNG


# id : NWRW1800000056.243.2.1
30년 이상 운영한 ‘생활문화’, 2대 이상 계승한 ‘전통공예’ 분야 중심

30년	30/SN+년/NNB
이상	이상/NNG
운영한	운영/NNG+하/XSV+ㄴ/ETM
‘생활문화’,	‘/SS+생활/NNG+문화/NNG+’/SS+,/SP
2대	2/SN+대/NNB
계승한	계승/NNG+하/XSV+ㄴ/ETM
‘전통공예’	‘/SS+전통/NNG+공예/NNG+’/SS
분야	분야/NNG
중심	중심/NNG


# id : NWRW1800000056.243.3.1
조선 철종 대에 시작해 156년을 이어온 전통 금박공예점 ‘금박연’(오른쪽 사진), 46년째 한자리를 지키며 30년 전 왔던 여고생이 결혼 뒤 자녀들과 다시 찾을 정도로 오래된 단골 많은 ‘만나분식’(왼쪽)….

조선	조선/NNP
철종	철종/NNP
대에	대/NNG+에/JKB
시작해	시작/NNG+하/XSV+아/EC
156년을	156/SN+년/NNB+을/JKO
이어온	잇/VV+어/EC+오/VX+ㄴ/ETM
전통	전통/NNG
금박공예점	금박/NNG+공예점/NNG
‘금박연’(오른쪽	‘/SS+금박연/NNP+’/SS+(/SS+오른쪽/NNG
사진),	사진/NNG+)/SS+,/SP
46년째	46/SN+년/NNB+째/XSN
한자리를	한자리/NNG+를/JKO
지키며	지키/VV+며/EC
30년	30/SN+년/NNB
전	전/NNG
왔던	오/VV+았/EP+던/ETM
여고생이	여고/NNG+생/XSN+이/JKS
결혼	결혼/NNG
뒤	뒤/NNG
자녀들과	자녀/NNG+들/XSN+과/JKB
다시	다시/MAG
찾을	찾/VV+을/ETM
정도로	정도/NNG+로/JKB
오래된	오래/MAG+되/XSA+ㄴ/ETM
단골	단골/NNG
많은	많/VA+은/ETM
‘만나분식’(왼쪽)….	‘/SS+만나분식/NNP+’/SS+(/SS+왼쪽/NNG+)/SS+…/SE+./SF


# id : NWRW1800000056.243.4.1
서울시는 주변 관광지와 접근성이 좋고, 오래된 가게들이 밀집한 종로와 을지로 일대 ‘오래가게’ 39곳 목록과 ‘오래가게 지도’를 지난 20일 공개했다.

서울시는	서울시/NNP+는/JX
주변	주변/NNG
관광지와	관광지/NNG+와/JC
접근성이	접근/NNG+성/XSN+이/JKS
좋고,	좋/VA+고/EC+,/SP
오래된	오래/MAG+되/XSA+ㄴ/ETM
가게들이	가게/NNG+들/XSN+이/JKS
밀집한	밀집/NNG+하/XSV+ㄴ/ETM
종로와	종로/NNP+와/JC
을지로	을지로/NNP
일대	일대/NNG
‘오래가게’	‘/SS+오래가게/NNG+’/SS
39곳	39/SN+곳/NNG
목록과	목록/NNG+과/JC
‘오래가게	‘/SS+오래가게/NNG
지도’를	지도/NNG+’/SS+를/JKO
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.243.4.2
개업 뒤 30년 이상 운영했거나 2대 이상 전통을 계승한 가게, 무형문화재로 지정된 사람이 운영하는 곳이 선정 대상이다.

개업	개업/NNG
뒤	뒤/NNG
30년	30/SN+년/NNB
이상	이상/NNG
운영했거나	운영/NNG+하/XSV+았/EP+거나/EC
2대	2/SN+대/NNB
전통을	전통/NNG+을/JKO
계승한	계승/NNG+하/XSV+ㄴ/ETM
가게,	가게/NNG+,/SP
무형문화재로	무형/NNG+문화재/NNG+로/JKB
지정된	지정/NNG+되/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
운영하는	운영/NNG+하/XSV+는/ETM
곳이	곳/NNG+이/JKS
선정	선정/NNG
대상이다.	대상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.243.4.3
‘오래된 가게가 오래가기를 바란다’는 의미를 담은 ‘오래가게’는 일본식 한자말 ‘노포’(老鋪)를 대신할 새 명칭으로 시민 공모에서 선정됐다.

‘오래된	‘/SS+오래/MAG+되/XSA+ㄴ/ETM
가게가	가게/NNG+가/JKS
오래가기를	오래가/VV+기/ETN+를/JKO
바란다’는	바라/VV+ㄴ다/EF+’/SS+는/ETM
의미를	의미/NNG+를/JKO
담은	담/VV+은/ETM
‘오래가게’는	‘/SS+오래가게/NNG+’/SS+는/JX
일본식	일본식/NNG
한자말	한자/NNG+말/NNG
‘노포’(老鋪)를	‘/SS+노포/NNG+’/SS+(/SS+老鋪/SH+)/SS+를/JKO
대신할	대신/NNG+하/XSV+ㄹ/ETM
새	새/MMA
명칭으로	명칭/NNG+으로/JKB
시민	시민/NNG
공모에서	공모/NNG+에서/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.243.5.1
시는 시민 추천과 자료 조사 등을 통해 오래된 가게 2838곳의 기초 자료를 수집했고, 전문가 자문·평가를 거쳐 종로와 을지로 일대 171곳을 2차 후보로 발굴했다.

시는	시/NNG+는/JX
시민	시민/NNG
추천과	추천/NNG+과/JC
자료	자료/NNG
조사	조사/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
오래된	오래/MAG+되/XSA+ㄴ/ETM
가게	가게/NNG
2838곳의	2838/SN+곳/NNG+의/JKG
기초	기초/NNG
자료를	자료/NNG+를/JKO
수집했고,	수집/NNG+하/XSV+았/EP+고/EC+,/SP
전문가	전문가/NNG
자문·평가를	자문/NNG+·/SP+평가/NNG+를/JKO
거쳐	거치/VV+어/EC
종로와	종로/NNP+와/JC
을지로	을지로/NNP
일대	일대/NNG
171곳을	171/SN+곳/NNG+을/JKO
2차	2/SN+차/NNB
후보로	후보/NNG+로/JKB
발굴했다.	발굴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.243.5.2
이를 토대로 전문가, 문화해설사, 외국인, 대학생 등이 현장방문과 평가를 하고, 전문가 최종 검토와 가게의 동의를 받아 39곳을 확정했다.

이를	이/NP+를/JKO
토대로	토대/NNG+로/JKB
전문가,	전문가/NNG+,/SP
문화해설사,	문화/NNG+해설사/NNG+,/SP
외국인,	외국인/NNG+,/SP
대학생	대학/NNG+생/XSN
등이	등/NNB+이/JKS
현장방문과	현장/NNG+방문/NNG+과/JC
평가를	평가/NNG+를/JKO
하고,	하/VV+고/EC+,/SP
전문가	전문가/NNG
최종	최종/NNG
검토와	검토/NNG+와/JC
가게의	가게/NNG+의/JKG
동의를	동의/NNG+를/JKO
받아	받/VV+아/EC
39곳을	39/SN+곳/NNG+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.243.6.1
오래가게 39곳은 다방, 고미술 화랑, 떡집, 인장, 시계방, 수공예점, 레코드점, 한의원 등 생활문화와 전통공예 분야를 중심으로 다양한 업종이 모였다.

오래가게	오래가게/NNG
39곳은	39/SN+곳/NNG+은/JX
다방,	다방/NNG+,/SP
고미술	고미술/NNG
화랑,	화랑/NNG+,/SP
떡집,	떡집/NNG+,/SP
인장,	인장/NNG+,/SP
시계방,	시계방/NNG+,/SP
수공예점,	수공예점/NNG+,/SP
레코드점,	레코드점/NNG+,/SP
한의원	한의원/NNG
등	등/NNB
생활문화와	생활/NNG+문화/NNG+와/JC
전통공예	전통/NNG+공예/NNG
분야를	분야/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
업종이	업종/NNG+이/JKS
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.243.6.2
이미 많은 매체에서 기사화된 일반 요식업 분야는 제외했다는 게 서울시의 설명이다.

이미	이미/MAG
많은	많/VA+은/ETM
매체에서	매체/NNG+에서/JKB
기사화된	기사/NNG+화/XSN+되/XSV+ㄴ/ETM
일반	일반/NNG
요식업	요식업/NNG
분야는	분야/NNG+는/JX
제외했다는	제외/NNG+하/XSV+았/EP+다는/ETM
게	거/NNB+이/JKS
서울시의	서울시/NNP+의/JKG
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.243.7.1
시는 21일부터 동영상 커뮤니케이션 앱 ‘스노우’(SNOW)를 통해 ‘오래가게’ 필터를 제공하며, 향후 비아이(BI, 회사의 브랜드 상징)와 이야기책, ‘오래가게’ 탐방 여행기 영상물 등을 제작해 배포할 계획이다.

시는	시/NNG+는/JX
21일부터	21/SN+일/NNB+부터/JX
동영상	동영상/NNG
커뮤니케이션	커뮤니케이션/NNG
앱	앱/NNG
‘스노우’(SNOW)를	‘/SS+스노우/NNP+’/SS+(/SS+SNOW/SL+)/SS+를/JKO
통해	통하/VV+아/EC
‘오래가게’	‘/SS+오래가게/NNG+’/SS
필터를	필터/NNG+를/JKO
제공하며,	제공/NNG+하/XSV+며/EC+,/SP
향후	향후/NNG
비아이(BI,	비아이/NNG+(/SS+BI/SL+,/SP
