# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.72
metadata : {}


# id : NWRW1800000040.72.1.1
전세계적 은행 규제안, 업계 반발에 대폭 후퇴

전세계적	전/MMN+세계/NNG+적/XSN
은행	은행/NNG
규제안,	규제안/NNG+,/SP
업계	업계/NNG
반발에	반발/NNG+에/JKB
대폭	대폭/MAG
후퇴	후퇴/NNG


# id : NWRW1800000040.72.2.1
바젤위 ‘단기유동성 대책’ 4년 늦춰

바젤위	바젤위/NNP
‘단기유동성	‘/SS+단기/NNG+유동/NNG+성/XSN
대책’	대책/NNG+’/SS
4년	4/SN+년/NNB
늦춰	늦추/VV+어/EF


# id : NWRW1800000040.72.3.1
2019년까지 100% 채우도록 완화

2019년까지	2019/SN+년/NNB+까지/JX
100%	100/SN+%/SW
채우도록	채우/VV+도록/EC
완화	완화/NNG


# id : NWRW1800000040.72.4.1
‘금융위기 재발방지’ 애초 취지 무색

‘금융위기	‘/SS+금융/NNG+위기/NNG
재발방지’	재발/NNG+방지/NNG+’/SS
애초	애초/NNG
취지	취지/NNG
무색	무색/XR


# id : NWRW1800000040.72.5.1
2008년에 발생한 금융위기 재발을 막기 위해 추진된 바젤위원회의 규제안이 시작도 하기 전에 대폭 후퇴했다.

2008년에	2008/SN+년/NNB+에/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
금융위기	금융/NNG+위기/NNG
재발을	재발/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
추진된	추진/NNG+되/XSV+ㄴ/ETM
바젤위원회의	바젤위원회/NNP+의/JKG
규제안이	규제안/NNG+이/JKS
시작도	시작/NNG+도/JX
하기	하/VV+기/ETN
전에	전/NNG+에/JKB
대폭	대폭/MAG
후퇴했다.	후퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.72.6.1
바젤위원회가 2015년부터 적용하려고 했던 은행의 단기유동성비율(LCR) 규제안을 4년 늦추기로 수정 승인했다고 6일 <파이낸셜 타임스> 등이 보도했다.

바젤위원회가	바젤위원회/NNP+가/JKS
2015년부터	2015/SN+년/NNB+부터/JX
적용하려고	적용/NNG+하/XSV+려고/EC
했던	하/VX+았/EP+던/ETM
은행의	은행/NNG+의/JKG
단기유동성비율(LCR)	단기/NNG+유동/NNG+성/XSN+비율/NNG+(/SS+LCR/SL+)/SS
규제안을	규제안/NNG+을/JKO
4년	4/SN+년/NNB
늦추기로	늦추/VV+기/ETN+로/JKB
수정	수정/NNG
승인했다고	승인/NNG+하/XSV+았/EP+다고/EC
6일	6/SN+일/NNB
<파이낸셜	</SS+파이낸셜/NNP
타임스>	타임스/NNP+>/SS
등이	등/NNB+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.72.6.2
원래 2015년부터 단기유동성비율을 100%로 맞추기로 했지만, 60%부터 시작해 매년 10%씩 비율을 늘려 2019년에야 100%를 채우도록 수정한 것이다.

원래	원래/MAG
2015년부터	2015/SN+년/NNB+부터/JX
단기유동성비율을	단기/NNG+유동/NNG+성/XSN+비율/NNG+을/JKO
100%로	100/SN+%/SW+로/JKB
맞추기로	맞추/VV+기/ETN+로/JKB
했지만,	하/VV+았/EP+지만/EC+,/SP
60%부터	60/SN+%/SW+부터/JX
시작해	시작/NNG+하/XSV+아/EC
매년	매년/MAG
10%씩	10/SN+%/SW+씩/XSN
비율을	비율/NNG+을/JKO
늘려	늘리/VV+어/EC
2019년에야	2019/SN+년/NNB+에/JKB+야/JX
100%를	100/SN+%/SW+를/JKO
채우도록	채우/VV+도록/EC
수정한	수정/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.72.7.1
단기유동성비율은 신용등급이 떨어지거나 예금인출 사태인 뱅크런이 벌어질 경우에도 한달 정도는 은행이 버틸 수 있도록 당장 현금화할 수 있는 국채나 우량회사채 보유량을 규정한 제도다.

단기유동성비율은	단기/NNG+유동/NNG+성/XSN+비율/NNG+은/JX
신용등급이	신용/NNG+등급/NNG+이/JKS
떨어지거나	떨어지/VV+거나/EC
예금인출	예금/NNG+인출/NNG
사태인	사태/NNG+이/VCP+ㄴ/ETM
뱅크런이	뱅크/NNG+런/NNG+이/JKS
벌어질	벌어지/VV+ㄹ/ETM
경우에도	경우/NNG+에/JKB+도/JX
한달	한/MMN+달/NNB
정도는	정도/NNG+는/JX
은행이	은행/NNG+이/JKS
버틸	버티/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
당장	당장/NNG
현금화할	현금/NNG+화/XSN+하/XSV+ㄹ/ETM
있는	있/VA+는/ETM
국채나	국채/NNG+나/JC
우량회사채	우량/NNG+회사채/NNG
보유량을	보유량/NNG+을/JKO
규정한	규정/NNG+하/XSV+ㄴ/ETM
제도다.	제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.72.7.2
100%라면 30일 동안 빠져나갈 것으로 예상되는 돈 전액을 항상 현금 또는 국채 등으로 보유하고 있어야 한다는 뜻이다.

100%라면	100/SN+%/SW+이/VCP+라면/EC
30일	30/SN+일/NNB
동안	동안/NNG
빠져나갈	빠져나가/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되는	예상/NNG+되/XSV+는/ETM
돈	돈/NNG
전액을	전액/NNG+을/JKO
항상	항상/MAG
현금	현금/NNG
또는	또는/MAG
국채	국채/NNG
등으로	등/NNB+으로/JKB
보유하고	보유/NNG+하/XSV+고/EC
있어야	있/VX+어야/EC
한다는	하/VX+ㄴ다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.72.8.1
바젤위원회는 또 단기유동성비율에 포함되는 자산을 신용등급 BBB- 이상인 회사채와 우량 모기지담보부증권 등까지도 확대하기로 했다.

바젤위원회는	바젤위원회/NNP+는/JX
또	또/MAG
단기유동성비율에	단기/NNG+유동/NNG+성/XSN+비율/NNG+에/JKB
포함되는	포함/NNG+되/XSV+는/ETM
자산을	자산/NNG+을/JKO
신용등급	신용/NNG+등급/NNG
BBB-	BBB/SL+-/SO
이상인	이상/NNG+이/VCP+ㄴ/ETM
회사채와	회사채/NNG+와/JC
우량	우량/NNG
모기지담보부증권	모기지/NNG+담보부/NNG+증권/NNG
등까지도	등/NNB+까지/JX+도/JX
확대하기로	확대/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.72.8.2
시행도 늦추고 보유해야 할 현금성 자산의 안전성도 완화시켜준 셈이다.

시행도	시행/NNG+도/JX
늦추고	늦추/VV+고/EC
보유해야	보유/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
현금성	현금/NNG+성/XSN
자산의	자산/NNG+의/JKG
안전성도	안전/NNG+성/XSN+도/JX
완화시켜준	완화/NNG+시키/XSV+어/EC+주/VX+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.72.8.3
바젤위원회의 의장인 머빈 킹 뱅크오브잉글랜드 총재는 “이번 조처는 규제안을 완화시켜준 것이 아니라 좀 더 현실적으로 만든 것일 뿐”이라고 항변했다.

바젤위원회의	바젤위원회/NNP+의/JKG
의장인	의장/NNG+이/VCP+ㄴ/ETM
머빈	머빈/NNP
킹	킹/NNP
뱅크오브잉글랜드	뱅크오브잉글랜드/NNP
총재는	총재/NNG+는/JX
“이번	“/SS+이번/NNG
조처는	조처/NNG+는/JX
규제안을	규제안/NNG+을/JKO
완화시켜준	완화/NNG+시키/XSV+어/EC+주/VX+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
좀	좀/MAG
더	더/MAG
현실적으로	현실/NNG+적/XSN+으로/JKB
만든	만들/VV+ㄴ/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
뿐”이라고	뿐/NNB+”/SS+이라고/JKQ
항변했다.	항변/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.72.9.1
하지만 은행권에서조차 확 풀린 규제안에 놀란 눈치다.

하지만	하지만/MAJ
은행권에서조차	은행/NNG+권/XSN+에서/JKB+조차/JX
확	확/MAG
풀린	풀리/VV+ㄴ/ETM
규제안에	규제안/NNG+에/JKB
놀란	놀라/VV+ㄴ/ETM
눈치다.	눈치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.72.9.2
이 규제가 적용된다면 당장 현금성 자산을 확보하기 위해 대출을 줄일 수밖에 없다며 볼멘소리를 하던 은행들은 환영의 뜻을 나타냈다.

이	이/MMD
규제가	규제/NNG+가/JKS
적용된다면	적용/NNG+되/XSV+ㄴ다면/EC
당장	당장/NNG
현금성	현금/NNG+성/XSN
자산을	자산/NNG+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
대출을	대출/NNG+을/JKO
줄일	줄이/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다며	없/VA+다며/EC
볼멘소리를	볼멘소리/NNG+를/JKO
하던	하/VV+던/ETM
은행들은	은행/NNG+들/XSN+은/JX
환영의	환영/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
나타냈다.	나타내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.72.9.3
투자자문사인 엑산느 BNP의 은행 분석가 다니엘 데이비스는 “시장에서 예상하던 것보다 더욱 완화된 조처다.

투자자문사인	투자/NNG+자문사/NNG+이/VCP+ㄴ/ETM
엑산느	엑산느/NNP
BNP의	BNP/SL+의/JKG
은행	은행/NNG
분석가	분석가/NNG
다니엘	다니엘/NNP
데이비스는	데이비스/NNP+는/JX
“시장에서	“/SS+시장/NNG+에서/JKB
예상하던	예상/NNG+하/XSV+던/ETM
것보다	것/NNB+보다/JKB
더욱	더욱/MAG
완화된	완화/NNG+되/XSV+ㄴ/ETM
조처다.	조처/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.72.9.4
은행들이 크게 한숨 돌리게 됐다”고 말했다.

은행들이	은행/NNG+들/XSN+이/JKS
크게	크/VA+게/EC
한숨	한/XPN+숨/NNG
돌리게	돌리/VV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.72.10.1
이번 조처는 사상 처음으로 마련된 전세계적인 은행 유동성 기준이 채 시행도 되기 전에 크게 완화됐다는 점에서 논란이 될 것으로 보인다.

이번	이번/NNG
조처는	조처/NNG+는/JX
사상	사상/NNG
처음으로	처음/NNG+으로/JKB
마련된	마련/NNG+되/XSV+ㄴ/ETM
전세계적인	전/MMN+세계/NNG+적/XSN+이/VCP+ㄴ/ETM
은행	은행/NNG
유동성	유동/NNG+성/XSN
기준이	기준/NNG+이/JKS
채	채/MAG
시행도	시행/NNG+도/JX
되기	되/VV+기/ETN
전에	전/NNG+에/JKB
크게	크/VA+게/EC
완화됐다는	완화/NNG+되/XSV+었/EP+다는/ETM
점에서	점/NNG+에서/JKB
논란이	논란/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.72.10.2
<뉴욕타임스>는 2010년 선포된 바젤위원회 규제안이 처음 공식적으로 후퇴한 조처라고 지적했다.

<뉴욕타임스>는	</SS+뉴욕타임스/NNP+>/SS+는/JX
2010년	2010/SN+년/NNB
선포된	선포/NNG+되/XSV+ㄴ/ETM
바젤위원회	바젤위원회/NNP
규제안이	규제안/NNG+이/JKS
처음	처음/NNG
공식적으로	공식/NNG+적/XSN+으로/JKB
후퇴한	후퇴/NNG+하/XSV+ㄴ/ETM
조처라고	조처/NNG+이/VCP+라고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.72.11.1
바젤위원회는 전세계 27개 주요국 중앙은행과 금융규제기구의 대표들이 모여 결성한 단체로, 은행의 자기자본비율과 단기유동성비율 등을 높이는 내용의 ‘바젤Ⅲ’ 규제안을 만들고 있다.

바젤위원회는	바젤위원회/NNP+는/JX
전세계	전/MMN+세계/NNG
27개	27/SN+개/NNB
주요국	주요국/NNG
중앙은행과	중앙은행/NNG+과/JC
금융규제기구의	금융/NNG+규제/NNG+기구/NNG+의/JKG
대표들이	대표/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
결성한	결성/NNG+하/XSV+ㄴ/ETM
단체로,	단체/NNG+로/JKB+,/SP
은행의	은행/NNG+의/JKG
자기자본비율과	자기/NNG+자본/NNG+비율/NNG+과/JC
단기유동성비율	단기/NNG+유동/NNG+성/XSN+비율/NNG
등을	등/NNB+을/JKO
높이는	높이/VV+는/ETM
내용의	내용/NNG+의/JKG
‘바젤Ⅲ’	‘/SS+바젤/NNP+Ⅲ/SL+’/SS
규제안을	규제안/NNG+을/JKO
만들고	만들/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.72.11.2
바젤Ⅲ는 2019년부터 시행될 예정이다.

바젤Ⅲ는	바젤/NNP+Ⅲ/SL+는/JX
2019년부터	2019/SN+년/NNB+부터/JX
시행될	시행/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


